Make,Model,Price,Year,Engine Size,Mileage,Fuel Type,Transmission,Color,Body Type,Wheel Drive,Doors,Seats,Engine Power,Top Speed,Acceleration,CO2 Rating,e_Fuel_Type,e_Model,e_Transmission,e_Color,e_Body_Type,e_Wheel_Drive
bmw,1 Series,16750.0,2019,1496.0,42759.0,Diesel,Manual,BLACK,Hatchback,4X2,5.0,5.0,114.0,124.0,10.5,114.0,0,0,1,7,5,0
bmw,5 Series,15474.0,2013,1997.0,59879.0,Petrol,Auto,WHITE,Saloon,4X2,5.0,5.0,222.0,142.0,7.0,138.0,4,5,0,110,11,0
bmw,X1,16890.0,2018,1995.0,64000.0,Diesel,Auto,WHITE,Estate,4X4,5.0,5.0,188.0,136.0,7.8,123.0,0,40,0,110,4,1
bmw,3 Series,8490.0,2012,1997.0,90970.0,Petrol,Auto,RED,Saloon,4X2,4.0,5.0,182.0,146.0,7.6,141.0,4,3,0,86,11,0
bmw,8 Series,35000.0,2019,2993.0,53700.0,Diesel,Auto,GREY,Coupe,4X2,5.0,5.0,222.0,142.0,7.0,138.0,0,8,0,38,3,0
bmw,5 Series,2990.0,2005,1995.0,110000.0,Diesel,Manual,BLACK,Saloon,4X2,5.0,5.0,222.0,142.0,7.0,138.0,0,5,1,7,11,0
bmw,5 Series,11190.0,2012,1995.0,57579.0,Diesel,Auto,GREY,Saloon,4X2,4.0,5.0,182.0,140.0,8.1,129.0,0,5,0,38,11,0
bmw,2 Series,12000.0,2015,1995.0,71500.0,Diesel,Auto,BLUE,Coupe,4X2,2.0,4.0,141.0,132.0,8.6,120.0,0,1,0,11,3,0
bmw,3 Series,8995.0,2009,2500.0,73000.0,Petrol,Auto,WHITE,Saloon,4X2,4.0,5.0,216.0,154.0,7.1,174.0,4,3,0,110,11,0
bmw,M3,29990.0,2015,2979.0,30000.0,Petrol,Auto,WHITE,Saloon,4X2,5.0,5.0,222.0,142.0,7.0,138.0,4,23,0,110,11,0
