Make,Model,Price,Year,Engine Size,Mileage,Fuel Type,Transmission,Color,Body Type,Wheel Drive,Doors,Seats,Engine Power,Top Speed,Acceleration,CO2 Rating
ford,Galaxy,5999.0,2012,1997.0,98542.0,Diesel,Manual,BLACK,MPV,4X2,5.0,7.0,161.0,126.0,9.8,149.0
ford,EcoSport,6190.0,2015,998.0,81500.0,Petrol,Manual,BLUE,Hatchback,4X2,5.0,5.0,123.0,112.0,12.7,125.0
ford,S-MAX,8295.0,2014,1997.0,71129.0,Diesel,Automatic,BLUE,MPV,4X2,5.0,7.0,138.0,119.0,10.9,149.0
ford,Fiesta,6000.0,2014,998.0,72600.0,Petrol,Manual,BLACK,Hatchback,4X2,3.0,5.0,138.0,125.0,9.0,104.0
ford,Transit Connect,16989.0,2017,1499.0,51000.0,Diesel,Automatic,GREY,Other,4X2,5.0,5.0,118.0,116.0,11.0,129.0
ford,Transit Connect,9995.0,2015,1560.0,104105.0,Diesel,Manual,WHITE,Other,4X2,5.0,5.0,94.0,116.0,11.0,124.0
ford,Focus,4990.0,2008,2521.0,103800.0,Petrol,Manual,WHITE,Hatchback,4X2,3.0,5.0,224.0,150.0,6.8,224.0
ford,Kuga,19480.0,2020,1995.0,47496.0,Diesel,Manual,BLACK,Hatchback,4X2,5.0,5.0,148.0,121.0,11.0,136.0
ford,Focus,4499.0,2006,2521.0,103000.0,Petrol,Manual,BLUE,Hatchback,4X2,5.0,5.0,226.0,152.0,6.5,224.0
ford,Fiesta,12494.0,2015,1596.0,69800.0,Petrol,Manual,RED,Hatchback,4X2,3.0,5.0,180.0,122.0,6.9,138.0
ford,Kuga,11990.0,2018,1498.0,77000.0,Petrol,Automatic,BLACK,Hatchback,4X4,5.0,5.0,176.0,122.0,11.4,208.0
ford,EcoSport,8599.0,2016,1499.0,55989.0,Diesel,Manual,WHITE,Hatchback,4X2,5.0,5.0,94.0,99.0,14.0,115.0
ford,Transit Custom,19788.0,2020,1995.0,39821.0,Diesel,Manual,WHITE,Other,4X2,5.0,5.0,104.0,99.0,11.0,161.0
ford,Transit Custom,31188.0,2020,1995.0,35448.0,Diesel,Automatic,GREY,Other,4X2,5.0,5.0,168.0,99.0,11.0,168.0
ford,Transit Courier,9890.0,2019,1499.0,96114.0,Diesel,Manual,GREY,Other,4X2,5.0,5.0,98.0,109.0,11.0,117.0
ford,Fiesta,7399.0,2017,1084.0,56000.0,Petrol,Manual,RED,Hatchback,4X2,3.0,5.0,84.0,105.0,13.8,101.0
ford,Fiesta,12995.0,2021,999.0,22445.0,Petrol,Manual,BLACK,Hatchback,4X2,5.0,5.0,94.0,110.0,11.0,118.0
ford,Kuga,11000.0,2016,1997.0,75230.0,Diesel,Manual,BLUE,Hatchback,4X2,5.0,5.0,147.0,121.0,10.1,122.0
ford,Focus,4995.0,2013,1560.0,93786.0,Diesel,Manual,WHITE,Hatchback,4X2,5.0,5.0,113.0,120.0,10.9,109.0
ford,Fiesta,5450.0,2014,998.0,73877.0,Petrol,Manual,YELLOW,Hatchback,4X2,3.0,5.0,99.0,112.0,11.2,99.0
ford,Fiesta,7995.0,2019,998.0,92000.0,Petrol,Manual,GREY,Hatchback,4X2,5.0,5.0,98.0,113.0,10.6,110.0
ford,Fiesta,6700.0,2017,1241.0,40818.0,Petrol,Manual,Metallic Paint,Hatchback,4X2,5.0,5.0,80.0,104.0,13.3,120.0
ford,Fiesta,9995.0,2016,1000.0,40808.0,Petrol,Manual,Red,Hatchback,4X2,3.0,5.0,138.0,125.0,9.0,104.0
ford,Puma,18999.0,2020,1000.0,7097.0,Petrol,Manual,Grey,SUV,4X2,5.0,5.0,123.0,119.0,9.8,126.0
ford,EcoSport,15000.0,2020,1000.0,16301.0,Petrol,Manual,Blue,SUV,4X2,5.0,5.0,123.0,111.0,11.0,136.0
ford,Focus,14899.0,2020,1000.0,27761.0,Petrol,Manual,Black,Hatchback,4X2,5.0,5.0,123.0,124.0,11.0,116.0
ford,Focus,15199.0,2021,1000.0,28632.0,Petrol,Manual,Silver,Hatchback,4X2,5.0,5.0,123.0,124.0,11.0,116.0
ford,Kuga,19000.0,2020,1500.0,53692.0,Diesel,Manual,White,SUV,4X2,5.0,5.0,118.0,112.0,11.0,137.0
ford,Puma,16999.0,2021,1000.0,6061.0,Petrol,Manual,Blue,SUV,4X2,5.0,5.0,123.0,126.0,11.0,115.0
ford,Fiesta,16299.0,2021,1000.0,10623.0,Petrol,Manual,White,Hatchback,4X2,5.0,5.0,123.0,126.0,11.0,121.0
ford,Kuga,27495.0,2021,2000.0,11449.0,Diesel,Manual,Red,SUV,4X2,5.0,5.0,148.0,121.0,11.0,134.0
ford,Focus,13999.0,2020,1000.0,28104.0,Petrol,Manual,Silver,Hatchback,4X2,5.0,5.0,123.0,124.0,10.0,127.0
ford,Puma,16470.0,2020,1000.0,10387.0,Petrol,Manual,Blue,SUV,4X2,5.0,5.0,123.0,119.0,11.0,133.0
ford,Focus,13543.0,2019,999.0,35884.0,Petrol,Manual,White,Hatchback,4X2,5.0,5.0,123.0,124.0,10.0,107.0
ford,Kuga,23231.0,2021,1496.0,11518.0,Diesel,Automatic,Grey,Estate,4X2,5.0,5.0,118.0,112.0,11.0,142.0
ford,Puma,16620.0,2021,999.0,20963.0,Petrol,Manual,Red,Hatchback,4X2,5.0,5.0,123.0,119.0,9.8,127.0
ford,Kuga,19287.0,2020,1496.0,22238.0,Diesel,Manual,Silver,Estate,4X2,5.0,5.0,118.0,112.0,11.0,137.0
ford,Focus,23564.0,2023,999.0,2215.0,Petrol,Manual,Grey,Estate,4X2,5.0,5.0,153.0,130.0,11.0,119.0
ford,Kuga,17799.0,2021,1496.0,38069.0,Diesel,Manual,White,Estate,4X2,5.0,5.0,118.0,112.0,11.0,128.0
ford,Transit,17990.0,2015,2198.0,94000.0,Diesel,Manual,Silver,Van,4X2,5.0,5.0,123.0,116.0,11.0,127.0
ford,Capri,18993.0,1985,2792.0,133000.0,Petrol,Manual,Silver,Hatchback,4X2,3.0,5.0,161.0,130.0,7.9,127.0
ford,Fiesta,15800.0,2023,999.0,6377.0,Petrol,Manual,White,Hatchback,4X2,5.0,5.0,123.0,126.0,11.0,116.0
ford,Focus,18992.0,2022,999.0,5758.0,Petrol,Manual,Silver,Hatchback,4X2,5.0,5.0,123.0,124.0,11.0,129.0
ford,Focus,15650.0,2021,999.0,7402.0,Petrol,Manual,Black,Hatchback,4X2,5.0,5.0,123.0,124.0,11.0,117.0
ford,Focus,6850.0,2014,1560.0,86614.0,Diesel,Manual,Silver,Hatchback,4X2,5.0,5.0,113.0,120.0,10.9,109.0
ford,Focus,4500.0,2014,1997.0,139100.0,Diesel,Automatic,White,Hatchback,4X2,5.0,5.0,161.0,134.0,8.9,134.0
ford,Galaxy,5950.0,2012,1997.0,107000.0,Diesel,Automatic,Silver,MPV,4X2,5.0,7.0,163.0,124.0,10.4,159.0
ford,Fiesta,10500.0,2020,999.0,48228.0,Petrol,Manual,Blue,Hatchback,4X2,5.0,5.0,94.0,110.0,11.0,118.0
ford,Kuga,17300.0,2019,1997.0,45662.0,Diesel,Automatic,Black,SUV,4X4,5.0,5.0,177.0,124.0,10.0,161.0
ford,Transit 2.0 350 EcoBlue RWD L3 H1 Euro 6 (s/s) 2dr TOW BAR - TWIN REAR WHEELS,15800.0,2019,1997.0,57000.0,Diesel,Manual,White,van,4X2,5.0,5.0,128.0,116.0,11.0,127.0
