Make,Model,Price,Year,Engine Size,Mileage,Fuel Type,Transmission,Color,Body Type,Wheel Drive,Doors,Seats,Engine Power,Top Speed,Acceleration,CO2 Rating
land,Rover Range Rover Sport,40000.0,2019,1997.0,49095.0,Other,Automatic,GREY,Estate,4X4,5.0,5.0,399.0,137.0,6.3,71.0
land,Rover Discovery,24000.0,2016,2993.0,93810.0,Diesel,Automatic,BLUE,SUV,4X4,5.0,5.0,252.0,112.0,11.7,213.0
land,Rover Range Rover Evoque,13990.0,2016,1999.0,43861.0,Diesel,Manual,GREY,Estate,4X2,5.0,5.0,147.0,113.0,11.2,113.0
land,Rover Discovery Sport,18995.0,2018,1999.0,64768.0,Diesel,Automatic,BLUE,Estate,4X4,5.0,7.0,177.0,117.0,8.9,139.0
land,Rover Freelander,11874.0,2012,2179.0,90000.0,Diesel,Automatic,SILVER,Estate,4X4,5.0,5.0,190.0,118.0,9.5,185.0
land,Rover Range Rover,49995.0,2018,4367.0,33000.0,Diesel,Automatic,GREY,Estate,4X4,5.0,5.0,246.0,127.0,8.0,179.0
land,Rover Range Rover Evoque,39699.0,2022,1500.0,15381.0,Hybrid,Automatic,Grey,SUV,4X4,5.0,5.0,305.0,132.0,6.4,34.0
land,Rover Range Rover Velar,45995.0,2022,2000.0,9500.0,Diesel,Automatic,Red,SUV,4X4,5.0,5.0,201.0,130.0,8.2,172.0
land,Rover Range Rover Evoque,20995.0,2017,1999.0,31954.0,Diesel,Automatic,White,SUV,4X4,5.0,5.0,177.0,121.0,9.0,134.0
land,Rover Discovery Sport,14500.0,2016,1999.0,78498.0,Diesel,Manual,Grey,SUV,4X4,5.0,7.0,177.0,117.0,9.9,139.0
land,Rover Range Rover Evoque,39990.0,2021,1997.0,15108.0,Diesel,Automatic,Grey,SUV,4X4,5.0,5.0,201.0,120.0,8.5,182.0
land,Rover Range Rover Evoque,26400.0,2019,1997.0,18309.0,Petrol,Automatic,Grey,SUV,4X4,5.0,5.0,198.0,134.0,8.5,173.0
land,Rover Range Rover Sport,59495.0,2019,5000.0,44331.0,Petrol,Semiauto,Grey,SUV,4X4,5.0,5.0,568.0,176.0,8.0,290.0
land,Rover Range Rover Evoque,28500.0,2020,2000.0,23821.0,Diesel,Automatic,Black,SUV,4X4,5.0,5.0,178.0,127.0,9.3,182.0
land,Rover Range Rover Evoque,25750.0,2021,2000.0,19752.0,Diesel,Manual,White,SUV,4X2,5.0,5.0,161.0,120.0,10.1,160.0
land,Rover Range Rover Evoque,46299.0,2022,1500.0,5424.0,Hybrid,Automatic,Silver,SUV,4X4,5.0,5.0,305.0,132.0,6.4,34.0
land,Rover Freelander,7250.0,2011,2179.0,82183.0,Diesel,Manual,Grey,Estate,4X2,5.0,5.0,147.0,112.0,11.7,158.0
land,Rover Freelander,9295.0,2011,2179.0,64902.0,Diesel,Manual,Grey,Estate,4X4,5.0,5.0,147.0,112.0,11.7,165.0
land,Rover Discovery Sport,15495.0,2015,2179.0,71898.0,Diesel,Automatic,White,Estate,4X4,5.0,7.0,188.0,117.0,8.9,166.0
land,Rover Range Rover Sport,10990.0,2009,2993.0,89000.0,Diesel,Automatic,Silver,SUV,4X4,5.0,5.0,247.0,120.0,9.3,243.0
land,Rover Range Rover Velar,29450.0,2018,1999.0,37000.0,Diesel,Automatic,Black,Estate,4X4,5.0,5.0,177.0,130.0,8.5,152.0
land,Rover Range Rover Sport,24999.0,2016,2993.0,76650.0,Diesel,Automatic,Grey,SUV,4X4,5.0,5.0,302.0,140.0,7.2,185.0
land,Rover Discovery Sport,35990.0,2021,1497.0,15404.0,Petrol,Automatic,Black,SUV,4X4,5.0,5.0,304.0,130.0,6.6,44.0
land,Rover Range Rover Sport,27750.0,2016,2993.0,52000.0,Diesel,Automatic,White,SUV,4X4,5.0,5.0,302.0,130.0,7.2,185.0
land,Rover Discovery,4500.0,2009,2720.0,160000.0,Diesel,Manual,BLACK,Estate,4X4,5.0,7.0,189.0,112.0,11.0,244.0
land,Rover Discovery,30950.0,2017,2993.0,42000.0,Diesel,Automatic,WHITE,Estate,4X4,5.0,7.0,254.0,130.0,8.0,189.0
land,Rover Discovery Sport,18595.0,2020,1999.0,73000.0,Diesel,Manual,BLACK,Estate,4X2,5.0,5.0,148.0,121.0,11.4,149.0
land,Rover Range Rover Sport,29995.0,2016,2993.0,55250.0,Diesel,Automatic,GREY,Other,4X4,5.0,5.0,302.0,140.0,7.2,185.0
land,Rover Discovery Sport,12495.0,2015,1999.0,93000.0,Diesel,Manual,GREY,Estate,4X4,5.0,7.0,177.0,117.0,9.9,139.0
land,Rover Range Rover Evoque,15990.0,2015,2179.0,59000.0,Diesel,Automatic,SILVER,Estate,4X4,5.0,5.0,188.0,121.0,8.5,159.0
land,Rover Range Rover,27990.0,2016,2993.0,76000.0,Diesel,Automatic,BLUE,Estate,4X4,5.0,5.0,255.0,130.0,7.9,182.0
land,Rover Range Rover Evoque,12499.0,2012,1999.0,118390.0,Petrol,Automatic,WHITE,Estate,4X4,5.0,5.0,241.0,129.0,7.6,199.0
land,Rover Range Rover Sport,39995.0,2018,1997.0,32000.0,Other,Automatic,BLUE,Estate,4X4,5.0,5.0,399.0,137.0,6.3,64.0
