Make,Model,Price,Year,Engine Size,Mileage,Fuel Type,Transmission,Color,Body Type,Wheel Drive,Doors,Seats,Engine Power,Top Speed,Acceleration,CO2 Rating,e_Fuel_Type,e_Model,e_Transmission,e_Color,e_Body_Type,e_Wheel_Drive
mercedes-benz,GLE Class,22490.0,2016,2143.0,65900.0,Diesel,Automatic,SILVER,Estate,4X4,5.0,5.0,201.0,132.0,8.6,156.0,0,31,1,70,6,1
mercedes-benz,A Class,29495.0,2019,1991.0,22175.0,Petrol,Automatic,GREY,Saloon,4X4,4.0,5.0,302.0,155.0,4.8,167.0,6,5,1,29,14,1
mercedes-benz,E Class,36740.0,2022,1950.0,28000.0,Diesel,Automatic,SILVER,Convertible,4X2,2.0,4.0,192.0,142.0,8.0,163.0,0,24,1,70,3,0
mercedes-benz,C Class,4995.0,2011,2143.0,132000.0,Diesel,Automatic,SILVER,Estate,4X2,5.0,5.0,137.0,129.0,9.1,134.0,0,11,1,70,6,0
mercedes-benz,E Class,23989.0,2018,1950.0,67000.0,Diesel,Automatic,BLACK,Coupe,4X2,2.0,4.0,192.0,150.0,7.4,119.0,0,24,1,3,4,0
mercedes-benz,A Class,11590.0,2016,1461.0,67425.0,Diesel,Automatic,GREY,Hatchback,4X2,5.0,5.0,107.0,118.0,11.3,98.0,0,5,1,29,7,0
mercedes-benz,C Class,8389.0,2015,2143.0,100000.0,Diesel,Automatic,SILVER,Coupe,4X2,2.0,4.0,168.0,144.0,8.1,139.0,0,11,1,70,4,0
mercedes-benz,A Class,12999.0,2016,2143.0,71582.0,Diesel,Manual,BLACK,Hatchback,4X2,5.0,5.0,134.0,130.0,9.3,111.0,0,5,2,3,7,0
mercedes-benz,A Class,13495.0,2016,2143.0,83250.0,Diesel,Automatic,BLACK,Hatchback,4X2,5.0,5.0,195.0,138.0,8.0,140.0,0,5,1,3,7,0
mercedes-benz,A Class,11999.0,2017,1461.0,67000.0,Diesel,Manual,GREY,Hatchback,4X2,5.0,5.0,107.0,118.0,11.3,102.0,0,5,2,29,7,0
mercedes-benz,E Class,32990.0,2020,2000.0,23279.0,Diesel,Semiauto,Black,Saloon,4X2,4.0,5.0,192.0,149.0,7.3,164.0,0,24,6,9,14,0
mercedes-benz,A Class,18750.0,2020,1300.0,41250.0,Petrol,Semiauto,Black,Hatchback,4X2,5.0,5.0,134.0,134.0,8.8,121.0,6,5,6,9,7,0
mercedes-benz,SLK,4990.0,2005,1796.0,81000.0,Petrol,Manual,Blue,Convertible,4X2,2.0,2.0,161.0,143.0,7.9,209.0,6,38,2,10,3,0
mercedes-benz,Sprinter 2.0 315 CDI L3 H2 PREMIUM PANEL VAN 150 BHP - AIR CON,34500.0,2022,2000.0,39817.0,Diesel,Manual,White,Van,4X2,5.0,5.0,147.0,100.0,8.0,140.0,0,41,2,80,16,0
mercedes-benz,A Class,18480.0,2018,2100.0,26594.0,Diesel,Semiauto,Black,Hatchback,4X2,5.0,5.0,134.0,130.0,8.8,103.0,0,5,6,9,7,0
mercedes-benz,CLA Class,17300.0,2019,1595.0,44182.0,Petrol,Automatic,Grey,Saloon,4X2,4.0,5.0,154.0,143.0,7.9,146.0,6,13,1,33,14,0
mercedes-benz,Sprinter 2.1 314 CDI Progressive RWD L3 Euro 6 (s/s) 4dr TAIL-LIFT - TIE RAILS,20800.0,2021,2143.0,114000.0,Diesel,Manual,White,van,4X2,5.0,5.0,141.0,100.0,8.0,140.0,0,53,2,80,17,0
mercedes-benz,GLB Class,31935.0,2020,1950.0,8514.0,Diesel,Automatic,Black,Other,4X4,5.0,7.0,188.0,135.0,7.6,164.0,0,29,1,9,9,1
mercedes-benz,A Class,20350.0,2020,1332.0,27667.0,Petrol,Automatic,White,Hatchback,4X2,5.0,5.0,161.0,140.0,8.0,138.0,6,5,1,80,7,0
mercedes-benz,A Class,20695.0,2020,1332.0,22564.0,Hybrid,Automatic,Grey,Hatchback,4X2,5.0,5.0,259.0,146.0,8.0,25.0,4,5,1,33,7,0
mercedes-benz,GLA Class,27248.0,2020,1332.0,33804.0,Petrol,Automatic,White,Other,4X2,5.0,5.0,161.0,130.0,8.0,154.0,6,28,1,80,9,0
mercedes-benz,CLA Class,18487.0,2018,1595.0,27678.0,Petrol,Automatic,Black,Saloon,4X2,4.0,5.0,154.0,143.0,7.9,146.0,6,13,1,9,14,0
mercedes-benz,A Class,21118.0,2020,1332.0,25184.0,Hybrid,Automatic,Black,Saloon,4X2,4.0,5.0,259.0,146.0,8.0,22.0,4,5,1,9,14,0
mercedes-benz,A Class,20990.0,2020,1332.0,21724.0,Petrol,Automatic,Grey,Hatchback,4X2,5.0,5.0,134.0,134.0,8.8,138.0,6,5,1,33,7,0
mercedes-benz,A Class,14999.0,2015,2100.0,45796.0,Diesel,Semiauto,Blue,Hatchback,4X2,5.0,5.0,134.0,130.0,8.8,103.0,0,5,6,10,7,0
mercedes-benz,CLA Class,36999.0,2021,2000.0,28358.0,Petrol,Semiauto,Black,Coupe,4X4,4.0,5.0,302.0,152.0,4.9,194.0,6,13,6,9,4,1
mercedes-benz,CLA Class,18499.0,2018,1600.0,38653.0,Petrol,Manual,Grey,Estate,4X2,5.0,5.0,154.0,139.0,8.5,150.0,6,13,2,33,6,0
mercedes-benz,A Class,22000.0,2021,2000.0,18250.0,Diesel,Semiauto,Grey,Hatchback,4X2,5.0,5.0,147.0,137.0,8.1,131.0,0,5,6,33,7,0
mercedes-benz,C Class,20799.0,2019,2000.0,38594.0,Diesel,Semiauto,Grey,Convertible,4X2,2.0,4.0,192.0,145.0,7.5,126.0,0,11,6,33,3,0
mercedes-benz,CLA Class,38784.0,2023,2000.0,3100.0,Petrol,Semiauto,Black,Coupe,4X4,4.0,5.0,302.0,155.0,8.0,191.0,6,13,6,9,4,1
mercedes-benz,Vito,6250.0,2013,2143.0,104000.0,Diesel,Manual,Red,Van,4X2,5.0,5.0,163.0,118.0,8.0,140.0,0,76,2,66,16,0
mercedes-benz,E Class,6995.0,2013,2143.0,161230.0,Diesel,Automatic,Silver,Saloon,4X2,4.0,5.0,168.0,141.0,8.4,120.0,0,24,1,73,14,0
mercedes-benz,A Class,24495.0,2021,1332.0,5548.0,Petrol,Automatic,Cosmos Black Metallic,Hatchback,4X2,5.0,5.0,161.0,140.0,8.0,138.0,6,5,1,20,7,0
mercedes-benz,A Class,18995.0,2020,1461.0,16850.0,Diesel,Manual,Blue,Hatchback,4X2,5.0,5.0,114.0,126.0,10.6,120.0,0,5,2,10,7,0
mercedes-benz,A Class,19995.0,2019,1461.0,48966.0,Diesel,Automatic,White,Hatchback,4X2,5.0,5.0,114.0,126.0,10.5,103.0,0,5,1,80,7,0
mercedes-benz,C Class,44995.0,2016,3982.0,16000.0,Petrol,Automatic,Grey,Coupe,4X2,2.0,4.0,503.0,155.0,3.9,200.0,6,11,1,33,4,0
mercedes-benz,C Class,12995.0,2015,2143.0,96000.0,Diesel,Automatic,Black,Estate,4X2,5.0,5.0,168.0,142.0,7.6,114.0,0,11,1,9,6,0
mercedes-benz,A Class,12740.0,2017,1461.0,68000.0,Diesel,Manual,Black,Hatchback,4X2,5.0,5.0,107.0,118.0,11.3,102.0,0,5,2,9,7,0
mercedes-benz,B Class,12995.0,2017,1461.0,50000.0,Diesel,Automatic,Black,MPV,4X2,5.0,5.0,107.0,118.0,11.6,107.0,0,10,1,9,8,0
mercedes-benz,S Class,5450.0,2006,2987.0,69000.0,Diesel,Automatic,Silver,Saloon,4X2,5.0,5.0,195.0,138.0,8.0,140.0,0,35,1,73,14,0
mercedes-benz,A Class,17490.0,2018,1332.0,46600.0,Petrol,Automatic,Grey,Hatchback,4X2,5.0,5.0,161.0,140.0,8.0,123.0,6,5,1,33,7,0
mercedes-benz,A Class,10995.0,2013,1595.0,56800.0,Petrol,Automatic,Blue,Hatchback,4X2,5.0,5.0,122.0,126.0,9.1,127.0,6,5,1,10,7,0
mercedes-benz,C Class,13999.0,2016,1598.0,88000.0,Diesel,Automatic,White,Saloon,4X2,4.0,5.0,134.0,134.0,10.2,116.0,0,11,1,80,14,0
mercedes-benz,SLK,13995.0,2013,2143.0,25000.0,Diesel,Automatic,Black,Convertible,4X2,2.0,2.0,205.0,151.0,6.7,132.0,0,38,1,9,3,0
mercedes-benz,B Class,8000.0,2014,1595.0,70313.0,Petrol,Manual,RED,MPV,4X2,5.0,5.0,122.0,118.0,10.4,144.0,6,10,2,65,8,0
mercedes-benz,EQC,35940.0,2020,1000.0,26898.0,Other,Automatic,GREY,Other,4X4,5.0,5.0,402.0,112.0,5.1,140.0,5,25,1,29,9,1
mercedes-benz,EQC,35940.0,2020,1000.0,28252.0,Other,Automatic,GREY,Other,4X4,5.0,5.0,402.0,112.0,5.1,140.0,5,25,1,29,9,1
mercedes-benz,A Class,13995.0,2019,1332.0,75815.0,Petrol,Manual,BLACK,Hatchback,4X2,5.0,5.0,161.0,140.0,8.2,126.0,6,5,2,3,7,0
mercedes-benz,GL Class,28985.0,2017,2987.0,98660.0,Diesel,Automatic,SILVER,Estate,4X4,5.0,7.0,255.0,138.0,7.8,199.0,0,27,1,70,6,1
