Make,Model,Price,Year,Engine Size,Mileage,Fuel Type,Transmission,Color,Body Type,Wheel Drive,Doors,Seats,Engine Power,Top Speed,Acceleration,CO2 Rating,e_Fuel_Type,e_Model,e_Transmission,e_Color,e_Body_Type,e_Wheel_Drive
nissan,Juke,10000.0,2017,1197.0,26000.0,Petrol,Manual,YELLOW,Hatchback,4X2,5.0,5.0,128.0,114.0,11.0,133.0,3,10,2,67,5,0
nissan,X Trail,10620.0,2016,1598.0,81179.0,Diesel,Manual,GREEN,Estate,4X2,5.0,7.0,129.0,117.0,10.5,133.0,0,41,2,20,4,0
nissan,Qashqai,9299.0,2017,1461.0,98000.0,Diesel,Manual,GREY,Hatchback,4X2,5.0,5.0,109.0,113.0,12.4,99.0,0,37,2,21,5,0
nissan,X Trail,10500.0,2016,1598.0,81204.0,Diesel,Manual,GREY,Estate,4X2,5.0,7.0,129.0,117.0,10.5,133.0,0,41,2,21,4,0
nissan,Juke,9750.0,2017,1197.0,43000.0,Petrol,Manual,BLACK,Hatchback,4X2,5.0,5.0,114.0,111.0,11.0,128.0,3,10,2,2,5,0
nissan,Pulsar,8699.0,2018,1198.0,43311.0,Petrol,Manual,SILVER,Hatchback,4X2,5.0,5.0,114.0,118.0,10.7,117.0,3,36,2,57,5,0
nissan,Qashqai,12495.0,2018,1461.0,47812.0,Diesel,Manual,SILVER,Hatchback,4X2,5.0,5.0,114.0,112.0,12.3,100.0,0,37,2,57,5,0
nissan,Navara,22500.0,2020,2299.0,36248.0,Diesel,Manual,WHITE,Other,4X4,5.0,5.0,188.0,114.0,11.2,184.0,0,23,2,65,7,1
nissan,Qashqai,23289.0,2021,1332.0,6.0,Petrol,Manual,Pearl - Storm White,Hatchback,4X2,5.0,5.0,138.0,122.0,11.0,144.0,3,37,2,48,5,0
nissan,Qashqai,20789.0,2022,1332.0,10367.0,Petrol,Manual,Metallic - Blade Silver,Hatchback,4X2,5.0,5.0,138.0,122.0,11.0,143.0,3,37,2,38,5,0
nissan,X Trail,21499.0,2019,1700.0,34766.0,Diesel,Auto,Black,SUV,4X4,5.0,5.0,148.0,118.0,12.7,168.0,0,41,0,7,9,1
nissan,Micra,10999.0,2021,1000.0,20681.0,Petrol,Manual,White,Hatchback,4X2,5.0,5.0,91.0,111.0,11.0,124.0,3,12,2,66,5,0
nissan,Qashqai,13899.0,2019,1300.0,35030.0,Petrol,Manual,Blue,SUV,4X2,5.0,5.0,140.0,120.0,10.9,130.0,3,37,2,11,9,0
nissan,Qashqai,12599.0,2017,1200.0,58818.0,Petrol,Auto,White,SUV,4X2,5.0,5.0,114.0,107.0,11.0,129.0,3,37,0,66,9,0
nissan,Qashqai,12526.0,2018,1600.0,56783.0,Diesel,Manual,Black,SUV,4X2,5.0,5.0,129.0,118.0,11.0,116.0,0,37,2,7,9,0
