Make,Model,Price,Year,Engine Size,Mileage,Fuel Type,Transmission,Color,Body Type,Wheel Drive,Doors,Seats,Engine Power,Top Speed,Acceleration,CO2 Rating,e_Fuel_Type,e_Model,e_Transmission,e_Color,e_Body_Type,e_Wheel_Drive
peugeot,208,7976.0,2018,1560.0,67757.0,Diesel,Manual,RED,Hatchback,4X2,5.0,5.0,98.0,116.0,10.7,90.0,0,7,2,52,4,0
peugeot,208,4999.0,2014,1560.0,91000.0,Diesel,Manual,BLUE,Hatchback,4X2,3.0,5.0,115.0,118.0,10.8,99.0,0,7,2,6,4,0
peugeot,108,5250.0,2014,1200.0,62406.0,Petrol,Manual,RED,Hatchback,4X2,5.0,4.0,80.0,105.0,11.4,99.0,3,2,2,52,4,0
peugeot,2008,10999.0,2018,1560.0,44251.0,Diesel,Manual,GREY,Hatchback,4X2,5.0,5.0,99.0,112.0,11.6,97.0,0,4,2,23,4,0
peugeot,3008,13999.0,2018,1500.0,55000.0,Diesel,Manual,BLACK,Hatchback,4X2,5.0,5.0,129.0,119.0,10.8,109.0,0,8,2,5,4,0
peugeot,308,6889.0,2016,1200.0,52000.0,Petrol,Manual,GREY,Hatchback,4X2,5.0,5.0,112.0,114.0,12.0,116.0,3,10,2,23,4,0
peugeot,108,9695.0,2019,998.0,8138.0,Petrol,Manual,RED,Hatchback,4X2,5.0,5.0,112.0,114.0,12.0,116.0,3,2,2,52,4,0
peugeot,407,2695.0,2007,1997.0,81000.0,Diesel,Automatic,GOLD,Saloon,4X2,4.0,5.0,134.0,127.0,10.7,189.0,0,11,1,21,12,0
peugeot,208,6995.0,2016,1560.0,54500.0,Diesel,Manual,BLACK,Hatchback,4X2,5.0,5.0,98.0,116.0,10.7,90.0,0,7,2,5,4,0
peugeot,2008,13995.0,2020,1200.0,63922.0,Petrol,Manual,BLUE,Hatchback,4X2,5.0,5.0,129.0,122.0,12.0,132.0,3,4,2,6,4,0
peugeot,5008,19950.0,2019,1500.0,47777.0,Diesel,Automatic,GREEN,Hatchback,4X2,5.0,7.0,129.0,118.0,11.8,105.0,0,13,1,22,4,0
peugeot,3008,18250.0,2019,1600.0,27926.0,Petrol,Semiauto,Grey,SUV,4X2,5.0,5.0,178.0,136.0,8.0,131.0,3,8,6,26,11,0
peugeot,208,14690.0,2022,1199.0,7273.0,Petrol,Manual,Yellow,Hatchback,4X2,5.0,5.0,74.0,106.0,12.0,119.0,3,7,2,68,4,0
peugeot,208,9942.0,2019,1200.0,31267.0,Petrol,Manual,Black,Hatchback,4X2,5.0,5.0,82.0,109.0,13.5,110.0,3,7,2,11,4,0
peugeot,3008,13098.0,2018,1600.0,56907.0,Diesel,Manual,Red,SUV,4X2,5.0,5.0,118.0,117.0,12.0,104.0,0,8,2,53,11,0
peugeot,308,23043.0,2022,1200.0,12230.0,Petrol,Semiauto,Black,Hatchback,4X2,5.0,5.0,129.0,130.0,12.0,130.0,3,10,6,11,4,0
peugeot,308,21758.0,2022,1200.0,13284.0,Petrol,Semiauto,Black,Hatchback,4X2,5.0,5.0,129.0,130.0,12.0,128.0,3,10,6,11,4,0
peugeot,208,15094.0,2021,1200.0,28690.0,Petrol,Semiauto,Black,Hatchback,4X2,5.0,5.0,99.0,117.0,12.0,122.0,3,7,6,11,4,0
peugeot,5008,22053.0,2020,1500.0,29513.0,Diesel,Manual,Grey,SUV,4X2,5.0,7.0,129.0,119.0,11.1,142.0,0,13,2,26,11,0
peugeot,208,15983.0,2020,1500.0,6057.0,Diesel,Manual,Grey,Hatchback,4X2,5.0,5.0,101.0,117.0,10.2,110.0,0,7,2,26,4,0
peugeot,5008,30591.0,2022,1200.0,8533.0,Petrol,Semiauto,Grey,SUV,4X2,5.0,7.0,129.0,117.0,12.0,152.0,3,13,6,26,11,0
peugeot,308,13470.0,2020,1200.0,5215.0,Petrol,Manual,Black,Hatchback,4X2,5.0,5.0,129.0,124.0,9.1,128.0,3,10,2,11,4,0
