Make,Model,Price,Year,Engine Size,Mileage,Fuel Type,Transmission,Color,Body Type,Wheel Drive,Doors,Seats,Engine Power,Top Speed,Acceleration,CO2 Rating,e_Fuel_Type,e_Model,e_Transmission,e_Color,e_Body_Type,e_Wheel_Drive
toyota,Alphard,8995.0,2023,2360.0,38000.0,Petrol,Auto,WHITE,Other,4X2,5.0,5.0,122.0,107.0,12.0,112.0,3,0,0,67,5,0
toyota,Avensis,11000.0,2016,1598.0,28371.0,Diesel,Manual,GREY,Saloon,4X2,4.0,5.0,110.0,112.0,11.4,109.0,0,3,2,22,8,0
toyota,C-HR,17299.0,2018,1798.0,15000.0,Other,Auto,SILVER,Hatchback,4X2,5.0,5.0,122.0,105.0,11.0,86.0,2,5,0,53,3,0
toyota,Hilux,19794.0,2015,2982.0,73000.0,Diesel,Manual,WHITE,Other,4X4,5.0,5.0,169.0,106.0,12.0,203.0,0,17,2,67,5,1
toyota,Hilux,27540.0,2020,2393.0,59872.0,Diesel,Auto,SILVER,Other,4X4,5.0,5.0,147.0,106.0,12.0,183.0,0,17,0,53,5,1
toyota,Hilux,32394.0,2020,2393.0,34000.0,Diesel,Auto,BLACK,Other,4X4,5.0,5.0,147.0,106.0,12.0,183.0,0,17,0,2,5,1
toyota,Aygo,9990.0,2015,998.0,19000.0,Petrol,Auto,SILVER,Hatchback,4X2,5.0,4.0,68.0,99.0,15.5,97.0,3,4,0,53,3,0
toyota,Corolla,24533.0,2022,1800.0,12392.0,Hybrid,Auto,Silver,Hatchback,4X2,5.0,5.0,121.0,112.0,12.0,112.0,1,7,0,58,3,0
toyota,C-HR,14178.0,2017,1200.0,51523.0,Petrol,Manual,Silver,SUV,4X2,5.0,5.0,114.0,118.0,10.9,136.0,3,5,2,58,7,0
toyota,Aygo,12146.0,2020,1000.0,16321.0,Petrol,Manual,Grey,Hatchback,4X2,5.0,4.0,69.0,99.0,13.8,114.0,3,4,2,25,3,0
toyota,RAV4,38478.0,2022,2500.0,10234.0,Hybrid,Auto,Other,SUV,4X2,5.0,5.0,219.0,112.0,12.0,130.0,1,51,0,40,7,0
toyota,Corolla,18546.0,2020,1800.0,19551.0,Hybrid,Auto,Black,Hatchback,4X2,5.0,5.0,121.0,112.0,12.0,101.0,1,7,0,5,3,0
toyota,Corolla,20995.0,2020,1800.0,14086.0,Hybrid,Auto,Silver,Hatchback,4X2,5.0,5.0,121.0,112.0,12.0,112.0,1,7,0,58,3,0
toyota,Yaris,17748.0,2021,1500.0,11005.0,Hybrid,Auto,White,Hatchback,4X2,5.0,5.0,114.0,109.0,12.0,92.0,1,57,0,69,3,0
toyota,Avensis,11178.0,2017,1600.0,61750.0,Diesel,Manual,Black,Estate,4X2,5.0,5.0,110.0,115.0,11.7,116.0,0,3,2,5,2,0
toyota,RAV4,30295.0,2020,2500.0,16777.0,Hybrid,Auto,Silver,SUV,4X4,5.0,5.0,219.0,112.0,8.4,101.0,1,51,0,58,7,1
toyota,Aygo,12636.0,2020,1000.0,26500.0,Petrol,Semi-Auto,White,Hatchback,4X2,5.0,4.0,69.0,99.0,15.2,119.0,3,4,4,69,3,0
toyota,Yaris,15795.0,2020,1500.0,7450.0,Petrol,Manual,Blue,Hatchback,4X2,5.0,5.0,110.0,108.0,11.0,141.0,3,57,2,7,3,0
toyota,Aygo,17269.0,2023,1000.0,3177.0,Petrol,Auto,Red,Hatchback,4X2,5.0,4.0,71.0,94.0,12.0,113.0,3,4,0,48,3,0
toyota,Aygo,12993.0,2021,1000.0,8950.0,Petrol,Semi-Auto,Black,Hatchback,4X2,5.0,4.0,68.0,99.0,15.2,119.0,3,4,4,5,3,0
toyota,RAV4,30219.0,2020,2500.0,29888.0,Hybrid,Auto,Blue,SUV,4X4,5.0,5.0,219.0,112.0,8.4,131.0,1,51,0,7,7,1
toyota,Yaris,17577.0,2020,1500.0,16777.0,Hybrid,Auto,Silver,Hatchback,4X2,5.0,5.0,114.0,109.0,12.0,92.0,1,57,0,58,3,0
toyota,Aygo,15248.0,2022,1000.0,3850.0,Petrol,Manual,Green,Hatchback,4X2,5.0,4.0,71.0,98.0,12.0,110.0,3,4,2,24,3,0
toyota,Yaris,17021.0,2021,1500.0,19292.0,Hybrid,Auto,White,Hatchback,4X2,5.0,5.0,114.0,109.0,12.0,92.0,1,57,0,69,3,0
toyota,Aygo,11675.0,2021,1000.0,3916.0,Petrol,Manual,Red,Hatchback,4X2,5.0,4.0,69.0,99.0,13.8,112.0,3,4,2,48,3,0
toyota,Auris,15500.0,2018,1798.0,21428.0,Petrol Hybrid,Auto,Grey,Hatchback,4X2,5.0,5.0,134.0,112.0,12.0,94.0,5,2,0,25,3,0
toyota,Aygo,8300.0,2019,998.0,41007.0,Petrol,Manual,Grey,Hatchback,4X2,5.0,4.0,68.0,99.0,13.8,93.0,3,4,2,25,3,0
toyota,Yaris,10900.0,2017,1497.0,44624.0,Petrol Hybrid,Auto,Blue,Hatchback,4X2,5.0,5.0,72.0,103.0,11.8,75.0,5,57,0,7,3,0
toyota,Aygo,20995.0,2023,998.0,1173.0,Petrol,Manual,Grey,Hatchback,4X2,5.0,4.0,71.0,98.0,12.0,110.0,3,4,2,25,3,0
toyota,C-HR,34995.0,2023,1987.0,8.0,Petrol Hybrid,Auto,Red,SUV,4X2,5.0,5.0,181.0,112.0,12.0,119.0,5,5,0,48,7,0
toyota,Yaris,17495.0,2021,1490.0,5223.0,Petrol Hybrid,Auto,Blue,Hatchback,4X2,5.0,5.0,114.0,109.0,12.0,92.0,5,57,0,7,3,0
toyota,Aygo,20995.0,2023,998.0,10.0,Petrol,Auto,Green,Hatchback,4X2,5.0,4.0,71.0,94.0,12.0,113.0,3,4,0,24,3,0
toyota,Aygo,9995.0,2021,998.0,5500.0,Petrol,Manual,Black,Hatchback,4X2,5.0,4.0,68.0,99.0,13.8,114.0,3,4,2,5,3,0
toyota,Yaris,34995.0,2020,1618.0,10961.0,Petrol,Manual,Red,Hatchback,4X4,3.0,4.0,257.0,143.0,12.0,186.0,3,57,2,48,3,1
toyota,GR86,34995.0,2022,2387.0,1516.0,Petrol,Manual,Blue,Coupe,4X2,2.0,4.0,231.0,140.0,12.0,200.0,3,13,2,7,1,0
toyota,Proace 2.0D 140 Icon Van,28194.0,2022,1997.0,9000.0,Diesel,Manual,White,Van,4X2,5.0,5.0,142.0,106.0,12.0,112.0,0,38,2,69,10,0
toyota,Proace City 1.5D 100 Icon Van (6 Speed),25995.0,2023,1499.0,4500.0,Diesel,Manual,Grey,Van,4X2,5.0,5.0,101.0,102.0,12.0,112.0,0,45,2,25,10,0
toyota,Yaris,14250.0,2020,1497.0,4300.0,Hybrid,Auto,Blue,Hatchback,4X2,5.0,5.0,99.0,102.0,11.8,112.0,1,57,0,7,3,0
