Make,Model,Price,Year,Engine Size,Mileage,Fuel Type,Transmission,Color,Body Type,Wheel Drive,Doors,Seats,Engine Power,Top Speed,Acceleration,CO2 Rating,e_Fuel_Type,e_Model,e_Transmission,e_Color,e_Body_Type,e_Wheel_Drive
vauxhall,Corsa,4488.0,2014,1229.0,77000.0,Petrol,Manual,WHITE,Hatchback,4X2,3.0,5.0,84.0,107.0,13.9,129.0,3,26,2,143,7,0
vauxhall,Corsa,3990.0,2013,1229.0,83314.0,Petrol,Manual,BROWN,Hatchback,4X2,5.0,5.0,83.0,107.0,13.6,129.0,3,26,2,9,7,0
vauxhall,Astra,7374.0,2016,1399.0,83345.0,Petrol,Manual,BLACK,Hatchback,4X2,5.0,5.0,147.0,134.0,8.3,128.0,3,3,2,5,7,0
vauxhall,Astra,6799.0,2014,1956.0,53400.0,Diesel,Automatic,BROWN,Estate,4X2,5.0,5.0,162.0,129.0,9.8,154.0,0,3,1,9,6,0
vauxhall,GTC,5500.0,2012,1956.0,67250.0,Diesel,Automatic,WHITE,Hatchback,4X2,3.0,5.0,162.0,129.0,9.2,151.0,0,31,1,143,7,0
vauxhall,Insignia,4995.0,2016,1598.0,99479.0,Diesel,Manual,WHITE,Hatchback,4X2,5.0,5.0,134.0,130.0,10.9,99.0,0,34,2,143,7,0
vauxhall,Corsa,7470.0,2019,1398.0,32525.0,Petrol,Automatic,SILVER,Hatchback,4X2,5.0,5.0,89.0,106.0,13.9,143.0,3,26,1,119,7,0
vauxhall,Zafira,5690.0,2013,1364.0,79361.0,Petrol,Manual,GREY,MPV,4X2,5.0,7.0,138.0,124.0,10.8,154.0,3,74,2,41,9,0
vauxhall,Corsa,6990.0,2018,1364.0,69978.0,Petrol,Manual,GREY,Hatchback,4X2,5.0,5.0,99.0,115.0,11.0,119.0,3,26,2,41,7,0
vauxhall,Mokka,6795.0,2015,1686.0,68524.0,Diesel,Manual,WHITE,Hatchback,4X2,5.0,5.0,129.0,119.0,10.0,120.0,0,36,2,143,7,0
