Make,Model,Price,Year,Engine Size,Mileage,Fuel Type,Transmission,Color,Body Type,Wheel Drive,Doors,Seats,Engine Power,Top Speed,Acceleration,CO2 Rating
volkswagen,Polo,7370.0,2016,1197.0,96877.0,Petrol,Manual,SILVER,Hatchback,4X2,5.0,5.0,88.0,114.0,10.8,107.0
volkswagen,Passat,9351.0,2014,1968.0,96660.0,Diesel,Automatic,SILVER,Estate,4X4,5.0,5.0,174.0,131.0,8.7,155.0
volkswagen,Golf,13699.0,2017,1395.0,32300.0,Petrol,Automatic,SILVER,MPV,4X2,5.0,5.0,147.0,132.0,8.9,125.0
volkswagen,Golf,9490.0,2015,1968.0,69000.0,Diesel,Manual,GREY,Hatchback,4X2,5.0,5.0,147.0,131.0,8.6,106.0
volkswagen,Touran,10995.0,2015,1400.0,51180.0,Petrol,Automatic,WHITE,MPV,4X2,5.0,5.0,142.0,125.0,10.0,130.0
volkswagen,Golf,13490.0,2019,1598.0,72000.0,Diesel,Automatic,WHITE,Hatchback,4X2,5.0,5.0,114.0,123.0,10.5,104.0
volkswagen,Polo,7750.0,2014,999.0,47000.0,Petrol,Manual,WHITE,Hatchback,4X2,3.0,5.0,59.0,100.0,15.5,106.0
volkswagen,Golf,3995.0,2011,1598.0,84992.0,Diesel,Manual,BLUE,Hatchback,4X2,5.0,5.0,103.0,117.0,11.3,119.0
volkswagen,Up,6995.0,2014,999.0,52379.0,Petrol,Manual,RED,Hatchback,4X2,5.0,4.0,59.0,99.0,14.4,105.0
volkswagen,Passat,16495.0,2017,1968.0,73059.0,Diesel,Automatic,WHITE,Estate,4X2,5.0,5.0,188.0,145.0,7.9,120.0
volkswagen,Scirocco,7490.0,2014,1968.0,112000.0,Diesel,Manual,BLUE,Coupe,4X2,2.0,4.0,138.0,129.0,9.3,118.0
volkswagen,Golf,12450.0,2015,1395.0,36619.0,Petrol,Automatic,GREY,Hatchback,4X2,5.0,5.0,123.0,126.0,9.3,116.0
volkswagen,Amarok,27594.0,2018,2967.0,53000.0,Diesel,Automatic,GREY,Other,4X4,4.0,5.0,221.0,119.0,10.0,212.0
volkswagen,Polo,3440.0,2007,1198.0,47500.0,Petrol,Manual,Blue,Hatchback,4X2,5.0,5.0,54.0,94.0,17.5,138.0
volkswagen,Tiguan,17499.0,2020,1968.0,56187.0,Diesel,Automatic,BLUE,Estate,4X2,5.0,5.0,147.0,125.0,9.3,131.0
volkswagen,Up,6999.0,2017,999.0,31154.0,Petrol,Manual,YELLOW,Hatchback,4X2,5.0,4.0,59.0,101.0,14.4,101.0
volkswagen,Tiguan,34995.0,2023,1500.0,5682.0,Petrol,Semiauto,Black,SUV,4X2,5.0,5.0,148.0,126.0,10.0,158.0
volkswagen,Shuttle,33995.0,2019,2000.0,34000.0,Diesel,Semiauto,Grey,MPV,4X2,5.0,8.0,147.0,112.0,12.2,174.0
