Make,Model,Price,Year,Engine Size,Mileage,Fuel Type,Transmission,Color,Body Type,Wheel Drive,Doors,Seats,Engine Power,Top Speed,Acceleration,CO2 Rating
alfa,Romeo Stelvio,67991.0,2019,2891cc,"26,146 miles",Petrol,Automatic,GREY,Estate,,,,,,,
alfa,Romeo Giulia,16450.0,2017,2143cc,"34,000 miles",Diesel,Automatic,RED,Saloon,4X2,4.0,4.0,148 bhp,137 mph,,109 g/km
alfa,Romeo Giulietta,16049.0,2020,1368cc,"14,031 miles",Petrol,,Blue,Hatchback,4X2,5.0,5.0,118 bhp,121 mph,9.4 seconds,168 g/km
alfa,Romeo Stelvio,47490.0,2020,2.9L,"19,298 miles",Petrol,Semiauto,Red,SUV,4X4,5.0,5.0,504 bhp,176 mph,,
alfa,Romeo Mito,4595.0,2012,1368cc,"107,000 miles",Petrol,Manual,Grey,Hatchback,4X2,3.0,4.0,168 bhp,136 mph,7.5 seconds,139 g/km
alfa,Romeo Giulietta,14995.0,2014,1742cc,"57,000 miles",Petrol,Automatic,RED,Hatchback,,,,,,,
alfa,Romeo Giulietta,5595.0,2016,1368cc,"111,184 miles",Petrol,Manual,GREY,Hatchback,4X2,5.0,5.0,118 bhp,121 mph,9.4 seconds,144 g/km
alfa,Romeo Mito,3350.0,2010,1598cc,"71,333 miles",Diesel,Manual,RED,Hatchback,4X2,3.0,4.0,118 bhp,123 mph,9.9 seconds,126 g/km
alfa,Romeo Mito,2995.0,2009,1368cc,"117,000 miles",Petrol,Manual,GREY,Hatchback,4X2,3.0,4.0,118 bhp,123 mph,8.8 seconds,145 g/km
alfa,Romeo Giulia,23599.0,2020,1995cc,"39,088 miles",Petrol,,Blue,Saloon,4X2,4.0,4.0,198 bhp,146 mph,,176 g/km
alfa,Romeo Giulietta,15990.0,2019,1956cc,"23,884 miles",Diesel,Automatic,Black,Hatchback,4X2,5.0,5.0,170 bhp,133 mph,,130 g/km
alfa,Romeo Giulietta,5699.0,2011,1956cc,"60,056 miles",Diesel,Manual,Bianco,Hatchback,4X2,5.0,5.0,138 bhp,127 mph,9.0 seconds,119 g/km
alfa,Romeo Giulia,42263.0,2019,2.9L,"24,250 miles",Petrol,Semiauto,Black,Saloon,4X2,4.0,4.0,504 bhp,191 mph,3.9 seconds,206 g/km
alfa,Romeo Giulietta,12200.0,2019,1368cc,"37,715 miles",Petrol,Manual,WHITE,Hatchback,4X2,5.0,5.0,118 bhp,121 mph,9.4 seconds,164 g/km
alfa,Romeo GTV,3495.0,2002,1970cc,"138,000 miles",Petrol,Manual,Blue,Coupe,4X2,2.0,4.0,147 bhp,137 mph,8.5 seconds,220 g/km
alfa,Romeo Giulietta,8950.0,2015,1956cc,"55,000 miles",Diesel,Automatic,Red,Hatchback,4X2,5.0,5.0,172 bhp,136 mph,7.8 seconds,113 g/km
alfa,Romeo Giulietta,12049.0,2019,1368cc,"36,513 miles",Petrol,,White,Hatchback,4X2,5.0,5.0,118 bhp,121 mph,,164 g/km
alfa,Romeo Stelvio,36649.0,2022,2L,"18,682 miles",Petrol,Semiauto,Grey,SUV,4X4,5.0,5.0,276 bhp,143 mph,,197 g/km
alfa,Romeo Giulietta,9499.0,2019,1368cc,"50,875 miles",Petrol,Manual,White,Hatchback,4X2,5.0,5.0,118 bhp,121 mph,9.4 seconds,164 g/km
alfa,Romeo 147,9995.0,2005,3170cc,"56,000 miles",Petrol,Automatic,Silver,Hatchback,4X2,3.0,5.0,247 bhp,153 mph,6.3 seconds,0 g/km
