Make,Model,Price,Year,Engine Size,Mileage,Fuel Type,Transmission,Color,Body Type,Wheel Drive,Doors,Seats,Engine Power,Top Speed,Acceleration,CO2 Rating
audi,A3,17795.0,2017,1984cc,"82,000 miles",Petrol,Automatic,GREY,Hatchback,4X4,5.0,5.0,306 bhp,155 mph,4.6 seconds,152 g/km
audi,TT,10500.0,2013,1798cc,"64,000 miles",Petrol,Automatic,WHITE,Coupe,4X2,2.0,4.0,158 bhp,140 mph,7.2 seconds,147 g/km
audi,A5,18995.0,2017,1968cc,"28,000 miles",Diesel,Automatic,RED,Convertible,4X2,2.0,4.0,188 bhp,144 mph,,124 g/km
audi,Q3,13995.0,2016,2000cc,"73,219 miles",Petrol,Automatic,WHITE,Other,,,,,,,
audi,A1,10790.0,2016,1395cc,"73,412 miles",Petrol,Manual,BLACK,Hatchback,4X2,3.0,4.0,147 bhp,134 mph,7.8 seconds,117 g/km
audi,A5,10495.0,2015,2967cc,"96,269 miles",Diesel,Automatic,SILVER,Hatchback,4X2,5.0,5.0,201 bhp,146 mph,7.1 seconds,129 g/km
audi,A3,26490.0,2017,1984cc,"40,000 miles",Petrol,Automatic,GREY,Hatchback,4X4,5.0,5.0,306 bhp,155 mph,4.6 seconds,150 g/km
audi,TT,8493.0,2013,1968cc,"64,400 miles",Diesel,Manual,BLACK,Coupe,4X4,2.0,4.0,168 bhp,140 mph,7.6 seconds,139 g/km
audi,Q3,20995.0,2015,2480cc,"40,250 miles",Petrol,Automatic,BLUE,Estate,4X4,5.0,5.0,306 bhp,155 mph,5.5 seconds,206 g/km
audi,A1,9995.0,2016,999cc,"69,981 miles",Petrol,Manual,BLACK,Hatchback,4X2,3.0,4.0,94 bhp,116 mph,10.9 seconds,97 g/km
audi,Q5,16950.0,2016,1968cc,"78,840 miles",Diesel,Automatic,WHITE,Estate,4X4,5.0,5.0,188 bhp,130 mph,8.4 seconds,157 g/km
audi,A1,8495.0,2014,1390cc,"98,431 miles",Petrol,Manual,BLACK,Hatchback,4X2,5.0,5.0,121 bhp,126 mph,9.0 seconds,126 g/km
audi,Q5,29498.0,2019,2L,"30,355 miles",Diesel,Semiauto,Grey,SUV,4X4,5.0,5.0,188 bhp,137 mph,8.1 seconds,146 g/km
audi,Q5,28490.0,2019,2L,"30,894 miles",Petrol,Semiauto,Grey,SUV,4X4,5.0,5.0,241 bhp,147 mph,6.4 seconds,165 g/km
audi,A1,23490.0,2022,1L,"9,695 miles",Petrol,Semiauto,Grey,Hatchback,4X2,5.0,5.0,109 bhp,126 mph,,135 g/km
audi,Q5,45990.0,2023,2L,"1,950 miles",Diesel,Semiauto,Blue,SUV,4X4,5.0,5.0,201 bhp,137 mph,,172 g/km
audi,A3,29990.0,2023,1.5L,"9,890 miles",Petrol,Semiauto,Grey,Saloon,4X2,4.0,5.0,148 bhp,144 mph,,133 g/km
audi,Q5,27490.0,2019,2L,"36,202 miles",Diesel,Semiauto,Black,SUV,4X4,5.0,5.0,188 bhp,137 mph,8.1 seconds,146 g/km
audi,Q3,33490.0,2020,2L,"19,945 miles",Petrol,Semiauto,Grey,SUV,4X4,5.0,5.0,226 bhp,144 mph,6.5 seconds,171 g/km
audi,TT,29990.0,2023,2L,"5,745 miles",Petrol,Semiauto,Grey,Coupe,4X2,2.0,4.0,194 bhp,153 mph,,154 g/km
audi,A6,43999.0,2023,2L,"6,876 miles",Diesel,Semiauto,Grey,Estate,4X4,5.0,5.0,201 bhp,152 mph,,158 g/km
audi,A6,41999.0,2023,2L,"5,246 miles",Petrol,Semiauto,Grey,Estate,4X2,5.0,5.0,201 bhp,155 mph,,175 g/km
audi,A6,43999.0,2023,2L,"6,897 miles",Diesel,Semiauto,Black,Estate,4X4,5.0,5.0,201 bhp,152 mph,,158 g/km
audi,A3,24499.0,2022,1L,"7,124 miles",Petrol,Manual,Black,Hatchback,4X2,5.0,5.0,109 bhp,127 mph,,132 g/km
audi,Q2,22900.0,2020,1.5L,"19,088 miles",Petrol,Semiauto,Black,SUV,4X2,5.0,5.0,148 bhp,132 mph,,138 g/km
audi,A1,25995.0,2021,2L,"7,950 miles",Petrol,Semiauto,Black,Hatchback,4X2,5.0,5.0,198 bhp,146 mph,,153 g/km
audi,A1,24995.0,2021,1.5L,"9,998 miles",Petrol,Semiauto,Red,Hatchback,4X2,5.0,5.0,148 bhp,137 mph,,143 g/km
audi,Q5,45995.0,2021,3L,"22,350 miles",Diesel,Semiauto,Blue,SUV,4X4,5.0,5.0,336 bhp,155 mph,,218 g/km
audi,Q2,18999.0,2020,1L,"18,635 miles",Petrol,Manual,White,Estate,4X2,5.0,5.0,114 bhp,122 mph,10.1 seconds,141 g/km
audi,A3,29990.0,2020,1984cc,"27,500 miles",Petrol,Automatic,Unknown,Hatchback,4X4,5.0,5.0,296 bhp,155 mph,4.7 seconds,186 g/km
audi,TT,45990.0,2020,2480cc,"31,302 miles",Petrol,Automatic,Unknown,Coupe,4X4,2.0,4.0,395 bhp,155 mph,3.7 seconds,209 g/km
audi,A3,16300.0,2017,1984cc,"37,253 miles",Petrol,Automatic,Blue,Hatchback,4X2,3.0,5.0,188 bhp,152 mph,6.7 seconds,130 g/km
audi,A6,23690.0,2019,1968cc,"52,305 miles",Diesel,Automatic,Grey,Estate,4X2,5.0,5.0,201 bhp,152 mph,8.3 seconds,124 g/km
audi,A5,27714.0,2021,1968cc,"23,654 miles",Diesel,Automatic,Blue,Hatchback,4X2,5.0,5.0,161 bhp,140 mph,,137 g/km
audi,A3,23085.0,2022,1498cc,"12,381 miles",Petrol,Manual,Blue,Hatchback,4X2,5.0,5.0,148 bhp,139 mph,,136 g/km
audi,A5,16551.0,2017,1968cc,"77,120 miles",Diesel,Automatic,Red,Hatchback,4X2,5.0,5.0,188 bhp,130 mph,,112 g/km
audi,A4,23682.0,2020,1984cc,"11,557 miles",Petrol,Automatic,Grey,Saloon,4X2,4.0,5.0,147 bhp,140 mph,8.9 seconds,134 g/km
audi,A5,26000.0,2018,3L,"46,831 miles",Petrol,Semiauto,Blue,Hatchback,4X4,5.0,5.0,350 bhp,155 mph,,174 g/km
audi,A3,17390.0,2019,1.5L,"39,951 miles",Petrol,Manual,Blue,Hatchback,4X2,5.0,5.0,148 bhp,136 mph,8.2 seconds,125 g/km
audi,A3,30550.0,2021,2L,"42,585 miles",Petrol,Semiauto,Blue,Hatchback,4X4,5.0,5.0,306 bhp,155 mph,,184 g/km
audi,A1,16450.0,2020,1L,"34,146 miles",Petrol,Manual,White,Hatchback,4X2,5.0,5.0,114 bhp,126 mph,9.5 seconds,131 g/km
audi,Q5,48299.0,2023,2L,"3,690 miles",Diesel,Semiauto,Blue,SUV,4X4,5.0,5.0,201 bhp,137 mph,,172 g/km
audi,Q5,45199.0,2022,2L,"11,765 miles",Diesel,Semiauto,White,SUV,4X4,5.0,5.0,201 bhp,137 mph,,174 g/km
audi,A1,12900.0,2015,2L,"71,307 miles",Petrol,Manual,Red,Hatchback,4X4,3.0,4.0,228 bhp,155 mph,5.8 seconds,166 g/km
audi,Q3,25990.0,2021,2L,"10,411 miles",Diesel,Semiauto,Black,SUV,4X2,5.0,5.0,147 bhp,128 mph,,142 g/km
audi,A4,9779.0,2016,1400cc,"74,000 miles",Petrol,Manual,White,Saloon,4X2,4.0,5.0,147 bhp,130 mph,8.7 seconds,126 g/km
audi,A4,23000.0,1968cc,"24,000 miles",Diesel,Automatic,Grey,Saloon,51.4 mpg,4X2,4.0,5.0,161 bhp,142 mph,8.2 seconds,145 g/km
audi,A4,15995.0,2017,1.4L,"58,550 miles",Petrol,Manual,White,Estate,4X2,5.0,5.0,147 bhp,130 mph,,139 g/km
audi,A3,12999.0,2017,1598cc,"75,425 miles",Diesel,Manual,Grey,Saloon,4X2,4.0,5.0,114 bhp,127 mph,,107 g/km
audi,Q7,47950.0,2021,2967cc,"25,130 miles",Diesel,Automatic,Black,SUV,4X4,5.0,7.0,281 bhp,150 mph,,210 g/km
audi,Q3,11750.0,2015,1968cc,"87,000 miles",Diesel,Manual,White,SUV,4X2,5.0,5.0,147 bhp,126 mph,9.6 seconds,122 g/km
audi,Q3,6500.0,2012,1968cc,"130,000 miles",Diesel,Automatic,White,SUV,4X4,5.0,5.0,176 bhp,132 mph,8.2 seconds,156 g/km
audi,A3,9450.0,2016,999cc,"89,000 miles",Petrol,Manual,Black,Hatchback,4X2,3.0,5.0,114 bhp,128 mph,9.4 seconds,107 g/km
audi,TT,13990.0,2015,1968cc,"62,000 miles",Diesel,Manual,White,Coupe,4X2,2.0,4.0,181 bhp,149 mph,7.1 seconds,116 g/km
audi,RS6,43995.0,2015,3993cc,"51,000 miles",Petrol,Automatic,Sepang Blue,Estate,4X4,5.0,5.0,552 bhp,155 mph,3.9 seconds,223 g/km
audi,Q5,22795.0,2019,1968cc,"87,222 miles",Diesel,Automatic,Grey,Estate,4X4,5.0,5.0,188 bhp,137 mph,8.1 seconds,148 g/km
audi,Q2,18995.0,2020,1598cc,"50,198 miles",Diesel,Manual,Blue,Estate,4X2,5.0,5.0,114 bhp,122 mph,10.3 seconds,158 g/km
audi,A4,10995.0,2016,1968cc,"124,000 miles",Diesel,Automatic,Black,Saloon,4X4,4.0,5.0,188 bhp,146 mph,7.2 seconds,118 g/km
audi,A1,6000.0,2013,1390cc,"83,000 miles",Petrol,Manual,White,Hatchback,4X2,3.0,4.0,122 bhp,126 mph,8.9 seconds,124 g/km
audi,TT,5275.0,2009,1984cc,"107,000 miles",Petrol,Automatic,Grey,Convertible,4X2,2.0,2.0,201 bhp,147 mph,6.5 seconds,186 g/km
audi,A4,21300.0,2019,1984cc,"31,700 miles",Petrol,Automatic,Grey,Saloon,4X2,4.0,5.0,147 bhp,140 mph,8.9 seconds,135 g/km
audi,A6,21995.0,2019,1968cc,"55,289 miles",Diesel,Automatic,Black,Saloon,4X2,4.0,5.0,201 bhp,152 mph,8.1 seconds,118 g/km
audi,A4,23340.0,2019,1984cc,"36,000 miles",Petrol,Automatic,BLACK,Saloon,4X2,4.0,5.0,188 bhp,150 mph,7.3 seconds,137 g/km
audi,A5,5995.0,2012,1968cc,"99,000 miles",Diesel,Manual,GREY,Hatchback,4X2,5.0,4.0,177 bhp,142 mph,8.5 seconds,120 g/km
audi,Q7,12399.0,2011,2967cc,"77,270 miles",Diesel,Automatic,WHITE,Estate,4X4,5.0,7.0,241 bhp,135 mph,7.9 seconds,195 g/km
audi,A4,14199.0,2019,1968cc,"86,885 miles",Diesel,Automatic,GREY,Saloon,4X2,4.0,5.0,147 bhp,136 mph,8.9 seconds,118 g/km
audi,Q5,13295.0,2013,2967cc,"137,486 miles",Diesel,Automatic,BLACK,Estate,4X4,5.0,5.0,308 bhp,155 mph,5.1 seconds,179 g/km
audi,Q2,15349.0,2019,1598cc,"45,250 miles",Diesel,,Red,SUV,4X2,5.0,5.0,114 bhp,122 mph,10.3 seconds,122 g/km
audi,Q2,18049.0,2020,999cc,"29,432 miles",Petrol,,Black,SUV,4X2,5.0,5.0,114 bhp,122 mph,10.1 seconds,135 g/km
