Make,Model,Price,Year,Engine Size,Mileage,Fuel Type,Transmission,Color,Body Type,Wheel Drive,Doors,Seats,Engine Power,Top Speed,Acceleration,CO2 Rating
bentley,Continental,26250.0,2007,5998cc,"49,000 miles",Petrol,Automatic,Silver,Saloon,4X4,4.0,5.0,553 bhp,195 mph,4.9 seconds,410 g/km
bentley,Continental,27950.0,2009,5998cc,"46,000 miles",Petrol,Automatic,Beige,Saloon,4X4,4.0,5.0,556 bhp,194 mph,5.2 seconds,396 g/km
bentley,Bentayga,69950.0,2016,6L,"55,000 miles",Petrol,Automatic,GRANITE GREY,SUV,4X4,5.0,5.0,599 bhp,187 mph,4.1 seconds,296 g/km
bentley,Continental,155991.0,2021,3996cc,"5,941 miles",Petrol,Automatic,BLACK,Coupe,4X4,2.0,4.0,541 bhp,198 mph,,275 g/km
bentley,Flying Spur,45900.0,2014,"35,000 miles",Petrol,Automatic,GREY,Saloon,19 mpg,4X4,4.0,5.0,616 bhp,200 mph,4.6 seconds,343 g/km
bentley,Continental,34990.0,2013,5998cc,"90,000 miles",Petrol,Auto,Red,Coupe,4X4,2.0,4.0,620 bhp,204 mph,4.2 seconds,338 g/km
bentley,Continental,41995.0,1993,6750cc,"56,000 miles",Petrol,Automatic,Silver/Blue,Saloon,4X2,2.0,4.0,386 bhp,155 mph,5.9 seconds,0 g/km
bentley,Bentayga,79995.0,2019,3996cc,"34,500 miles",Petrol,Automatic,SILVER,Estate,4X4,5.0,5.0,541 bhp,180 mph,4.5 seconds,260 g/km
bentley,Continental,108950.0,2018,6L,"31,100 miles",Petrol,Semiauto,Grey,Coupe,4X4,2.0,4.0,626 bhp,207 mph,3.7 seconds,278 g/km
bentley,Continental,129999.0,2020,6L,"23,000 miles",Petrol,Semiauto,Grey,Coupe,4X4,2.0,4.0,626 bhp,207 mph,3.7 seconds,308 g/km
bentley,Continental,134750.0,2019,6L,"25,219 miles",Petrol,Automatic,BLUE,Convertible,,,,,,,
bentley,Continental,214995.0,2023,4L,"1,000 miles",Petrol,Automatic,STORM GREY,Coupe,4X4,2.0,4.0,541 bhp,198 mph,,275 g/km
bentley,Continental,117900.0,2019,6L,"8,632 miles",Petrol,Automatic,OYNX BLACK,Coupe,4X4,2.0,4.0,626 bhp,207 mph,3.7 seconds,278 g/km
bentley,Continental,235990.0,2024,4L,"1,217 miles",Petrol,Automatic,Onyx Black,Coupe,,,,,,,
bentley,Flying Spur,225995.0,2024,4L,"1,323 miles",Petrol,Automatic,Onyx,Saloon,,,,,,,
bentley,Bentayga,212950.0,2023,4L,"1,100 miles",Petrol,Automatic,Cambrian Grey,Estate,,,,,,,
bentley,Continental,117950.0,2019,6L,"16,994 miles",Petrol,Semiauto,Blue,Coupe,4X4,2.0,4.0,626 bhp,207 mph,3.7 seconds,278 g/km
