Make,Model,Price,Year,Engine Size,Mileage,Fuel Type,Transmission,Color,Body Type,Wheel Drive,Doors,Seats,Engine Power,Top Speed,Acceleration,CO2 Rating
bmw,1 Series,16750.0,2019,1496cc,"42,759 miles",Diesel,Manual,BLACK,Hatchback,4X2,5.0,5.0,114 bhp,124 mph,10.5 seconds,114 g/km
bmw,5 Series,15474.0,2013,1997cc,"59,879 miles",Petrol,Automatic,WHITE,Saloon,,,,,,,
bmw,X1,16890.0,2018,1995cc,"64,000 miles",Diesel,Automatic,WHITE,Estate,4X4,5.0,5.0,188 bhp,136 mph,7.8 seconds,123 g/km
bmw,3 Series,8490.0,2012,1997cc,"90,970 miles",Petrol,Automatic,RED,Saloon,4X2,4.0,5.0,182 bhp,146 mph,7.6 seconds,141 g/km
bmw,8 Series,35000.0,2019,2993cc,"53,700 miles",Diesel,Automatic,GREY,Coupe,,,,,,,
bmw,5 Series,2990.0,2005,1995cc,"110,000 miles",Diesel,Manual,BLACK,Saloon,,,,,,,
bmw,5 Series,11190.0,2012,1995cc,"57,579 miles",Diesel,Automatic,GREY,Saloon,4X2,4.0,5.0,182 bhp,140 mph,8.1 seconds,129 g/km
bmw,X3,49995.0,2019,2993cc,"20,101 miles",Petrol,Automatic,WHITE,Estate,4X4,5.0,5.0,504 bhp,155 mph,4.1 seconds,239 g/km
bmw,2 Series,12000.0,2015,1995cc,"71,500 miles",Diesel,Automatic,BLUE,Coupe,4X2,2.0,4.0,141 bhp,132 mph,8.6 seconds,120 g/km
bmw,3 Series,8995.0,2009,2500cc,"73,000 miles",Petrol,Automatic,WHITE,Saloon,4X2,4.0,5.0,216 bhp,154 mph,7.1 seconds,174 g/km
bmw,M3,29990.0,2015,2979cc,"30,000 miles",Petrol,Automatic,WHITE,Saloon,,,,,,,
bmw,X6,21989.0,2016,2993cc,"76,817 miles",Diesel,Automatic,SILVER,Coupe,4X4,4.0,5.0,308 bhp,149 mph,5.8 seconds,165 g/km
bmw,3 Series,22495.0,2020,1998cc,"50,000 miles",Petrol,Automatic,GREY,Saloon,4X2,4.0,5.0,181 bhp,149 mph,7.1 seconds,127 g/km
bmw,i3,13695.0,2016,647cc,"19,000 miles",Other,Automatic,WHITE,Hatchback,4X2,5.0,4.0,168 bhp,93 mph,7.9 seconds,13 g/km
bmw,X1,16798.0,2017,2L,"51,109 miles",Diesel,Semiauto,White,SUV,4X4,5.0,5.0,188 bhp,136 mph,7.6 seconds,129 g/km
bmw,X3,27499.0,2018,3L,"36,542 miles",Diesel,Semiauto,Black,SUV,4X4,5.0,5.0,261 bhp,149 mph,5.8 seconds,158 g/km
bmw,X6,52999.0,2020,3L,"23,297 miles",Diesel,Semiauto,White,SUV,4X4,4.0,5.0,394 bhp,155 mph,5.2 seconds,217 g/km
bmw,X3,51999.0,2023,3L,"3,204 miles",Diesel,Semiauto,Grey,SUV,4X4,5.0,5.0,282 bhp,152 mph,,164 g/km
bmw,2 Series,17999.0,2019,1.5L,"20,919 miles",Petrol,Manual,Blue,Coupe,4X2,2.0,4.0,134 bhp,130 mph,8.8 seconds,140 g/km
bmw,X3,31999.0,2020,2L,"34,500 miles",Diesel,Semiauto,Silver,SUV,4X4,5.0,5.0,188 bhp,132 mph,8.0 seconds,172 g/km
