Make,Model,Price,Year,Engine Size,Mileage,Fuel Type,Transmission,Color,Body Type,Wheel Drive,Doors,Seats,Engine Power,Top Speed,Acceleration,CO2 Rating
citroen,C4 Cactus,8490.0,2015,1200cc,"60,400 miles",Petrol,Automatic,BLACK,Hatchback,4X2,5.0,5.0,80 bhp,107 mph,15.0 seconds,100 g/km
citroen,Grand C4 Picasso,8799.0,2014,1560cc,"60,000 miles",Diesel,Manual,GREY,MPV,4X2,5.0,7.0,113 bhp,117 mph,12.1 seconds,105 g/km
citroen,DS3,4695.0,2013,1560cc,"79,100 miles",Diesel,Manual,WHITE,Hatchback,4X2,3.0,5.0,113 bhp,118 mph,10.8 seconds,99 g/km
citroen,C5 Aircross,16499.0,2020,1499cc,"51,500 miles",Diesel,Automatic,Black,Hatchback,4X2,5.0,5.0,129 bhp,117 mph,,139 g/km
citroen,C3,6495.0,2016,1.2L,"53,200 miles",Petrol,Manual,Red,Hatchback,4X2,5.0,5.0,80 bhp,108 mph,12.3 seconds,107 g/km
citroen,C3,2000.0,2009,1560cc,"110,900 miles",Diesel,Manual,Beige,MPV,4X2,5.0,5.0,90 bhp,107 mph,14.7 seconds,119 g/km
citroen,C4 Cactus,11990.0,1199cc,"23,168 miles",Petrol,Manual,Black,SUV,51.4 mpg,4X2,5.0,5.0,109 bhp,122 mph,9.3 seconds,106 g/km
citroen,DS4,4800.0,2014,1997cc,"96,000 miles",Diesel,Manual,White,Hatchback,4X2,5.0,5.0,161 bhp,132 mph,8.6 seconds,130 g/km
citroen,Berlingo,22995.0,2023,1.2L,50 miles,Petrol,Manual,Grey,van,4X2,,,109 bhp,107 mph,,
citroen,C3,12495.0,2020,1.2L,"13,040 miles",Petrol,Manual,Grey,SUV,4X2,5.0,5.0,109 bhp,114 mph,10.1 seconds,143 g/km
citroen,C1,8495.0,2020,1L,"22,415 miles",Petrol,Manual,Green,Hatchback,4X2,5.0,4.0,71 bhp,99 mph,14.0 seconds,109 g/km
citroen,C5 Aircross,13695.0,2019,1.2L,"33,200 miles",Petrol,Manual,Red,SUV,4X2,5.0,5.0,128 bhp,121 mph,10.5 seconds,121 g/km
citroen,C5 Aircross,15795.0,2019,1.2L,"23,157 miles",Petrol,Manual,Red,SUV,4X2,5.0,5.0,128 bhp,121 mph,10.5 seconds,119 g/km
citroen,Grand C4 Picasso,12874.0,2017,1.2L,"33,958 miles",Petrol,Manual,Black,MPV,4X2,5.0,7.0,129 bhp,125 mph,10.1 seconds,116 g/km
citroen,C4,16495.0,2019,1.5L,"33,865 miles",Diesel,Manual,Grey,MPV,4X2,5.0,7.0,129 bhp,123 mph,10.9 seconds,109 g/km
citroen,C3,20941.0,2023,1.2L,10 miles,Petrol,Semiauto,Grey,SUV,4X2,5.0,5.0,129 bhp,121 mph,,144 g/km
citroen,C3,15621.0,2023,1.2L,10 miles,Petrol,Manual,Grey,Hatchback,4X2,5.0,5.0,82 bhp,103 mph,,124 g/km
citroen,C4,24128.0,2023,1.2L,10 miles,Petrol,Semiauto,Blue,Hatchback,4X2,5.0,5.0,128 bhp,124 mph,,130 g/km
citroen,C4,12200.0,2018,1499cc,"57,158 miles",Diesel,Manual,Blue,Estate,4X2,5.0,7.0,129 bhp,123 mph,10.9 seconds,106 g/km
citroen,C3,11601.0,2020,1.2L,"41,742 miles",Petrol,Manual,Grey,SUV,4X2,5.0,5.0,109 bhp,114 mph,10.1 seconds,109 g/km
citroen,C3,11587.0,2020,1.2L,"14,287 miles",Petrol,Manual,White,Hatchback,4X2,5.0,5.0,82 bhp,105 mph,,130 g/km
citroen,C3,16278.0,2022,1.2L,"10,777 miles",Petrol,Semiauto,Grey,Hatchback,4X2,5.0,5.0,109 bhp,120 mph,,134 g/km
citroen,C3,17500.0,2023,1.2L,805 miles,Petrol,Manual,Grey,SUV,4X2,5.0,5.0,109 bhp,114 mph,,134 g/km
citroen,C3,16974.0,2023,1.2L,2 miles,Petrol,Manual,White,Hatchback,4X2,5.0,5.0,109 bhp,123 mph,,123 g/km
citroen,C5 Aircross,26285.0,2023,1.2L,1 miles,Petrol,Manual,White,SUV,4X2,5.0,5.0,129 bhp,121 mph,,142 g/km
citroen,C5,33330.0,2023,1.6L,40 miles,Hybrid,Semiauto,Grey,Saloon,4X2,4.0,5.0,221 bhp,145 mph,,30 g/km
citroen,C5,26654.0,2022,1.6L,68 miles,Petrol,Semiauto,Blue,Saloon,4X2,4.0,5.0,178 bhp,143 mph,,147 g/km
citroen,C3,17807.0,2023,1.2L,33 miles,Petrol,Manual,Blue,Hatchback,4X2,5.0,5.0,109 bhp,123 mph,,123 g/km
citroen,C5 Aircross,23633.0,2022,1.2L,10 miles,Petrol,Manual,Blue,SUV,4X2,5.0,5.0,129 bhp,121 mph,,141 g/km
citroen,C5 Aircross,26626.0,2023,1.2L,193 miles,Petrol,Manual,Blue,SUV,4X2,5.0,5.0,129 bhp,121 mph,,143 g/km
citroen,C3,17372.0,2022,1.2L,"2,500 miles",Petrol,Semiauto,Blue,Hatchback,4X2,5.0,5.0,109 bhp,120 mph,,136 g/km
citroen,Berlingo,19490.0,2023,1500cc,10 miles,Diesel,Manual,Black,Other,4X2,,,101 bhp,102 mph,,
citroen,C4 Cactus,7495.0,2016,1560cc,"84,391 miles",Diesel,Manual,Black,Hatchback,4X2,5.0,5.0,98 bhp,114 mph,10.6 seconds,95 g/km
citroen,C3,9995.0,2018,1199cc,"14,000 miles",Petrol,Manual,Blue,Hatchback,4X2,5.0,5.0,81 bhp,105 mph,13.2 seconds,110 g/km
citroen,C4 Cactus,10950.0,2019,1199cc,"21,925 miles",Petrol,Manual,Blue,Hatchback,,,,,,,
citroen,C3,11995.0,2020,1199cc,"21,014 miles",Petrol,Manual,Grey,Hatchback,,,,,,,
citroen,C4 Picasso,2495.0,2008,1560cc,"81,400 miles",Diesel,Manual,Silver,MPV,4X2,5.0,5.0,107 bhp,112 mph,12.5 seconds,155 g/km
citroen,C3,3495.0,2012,1560cc,"77,061 miles",Diesel,Manual,Blue,MPV,4X2,5.0,5.0,91 bhp,108 mph,21.7 seconds,112 g/km
citroen,Grand C4 Picasso,7700.0,2015,1560cc,"94,000 miles",Diesel,Automatic,Grey,MPV,4X2,5.0,7.0,113 bhp,117 mph,12.6 seconds,105 g/km
citroen,C4,17049.0,2020,1199cc,"42,415 miles",Petrol,,Grey,MPV,4X2,5.0,7.0,129 bhp,124 mph,,145 g/km
citroen,C4,16899.0,2021,1199cc,"17,877 miles",Petrol,,Blue,Hatchback,4X2,5.0,5.0,129 bhp,129 mph,,121 g/km
citroen,C5 Aircross,20049.0,2021,1199cc,"21,267 miles",Petrol,,Red,SUV,4X2,5.0,5.0,128 bhp,122 mph,,150 g/km
citroen,C3,12649.0,2018,1560cc,"33,178 miles",Diesel,,Black,SUV,4X2,5.0,5.0,118 bhp,114 mph,,107 g/km
citroen,C3,13049.0,2021,1199cc,"23,725 miles",Petrol,,Grey,Hatchback,4X2,5.0,5.0,82 bhp,105 mph,,124 g/km
citroen,C3,9749.0,2017,1199cc,"39,136 miles",Petrol,,Grey,Hatchback,4X2,5.0,5.0,108 bhp,117 mph,,103 g/km
