Make,Model,Price,Year,Engine Size,Mileage,Fuel Type,Transmission,Color,Body Type,Wheel Drive,Doors,Seats,Engine Power,Top Speed,Acceleration,CO2 Rating
cupra,Formentor,30250.0,0L,"19,000 miles",Petrol,Automatic,Magnetic Grey (Metallic),SUV,217.3 mpg,4X2,5.0,5.0,201 bhp,127 mph,,29 g/km
cupra,Formentor,36850.0,2023,2L,"4,502 miles",Petrol,Semiauto,Grey,SUV,4X4,5.0,5.0,306 bhp,155 mph,,193 g/km
cupra,Formentor,41970.0,2023,1984cc,204 miles,Petrol,Automatic,Black,SUV,4X4,5.0,4.0,306 bhp,155 mph,,195 g/km
cupra,Formentor,28440.0,2023,1.5L,"5,881 miles",Petrol,Semiauto,Grey,SUV,4X2,5.0,5.0,148 bhp,126 mph,,155 g/km
cupra,Formentor,35000.0,2023,2L,12 miles,Petrol,Semiauto,Red,SUV,4X2,5.0,5.0,241 bhp,148 mph,,174 g/km
cupra,Leon,27203.0,2023,1.5L,"3,000 miles",Hybrid,Semiauto,White,Hatchback,4X2,5.0,5.0,147 bhp,133 mph,,135 g/km
cupra,Formentor,37990.0,2023,2L,"5,998 miles",Petrol,Semiauto,Grey,SUV,4X4,5.0,5.0,306 bhp,155 mph,,192 g/km
cupra,Leon,26000.0,2023,1.5L,"4,998 miles",Petrol,Manual,Grey,Hatchback,4X2,5.0,5.0,147 bhp,133 mph,,134 g/km
cupra,Formentor,32590.0,2023,1.4L,"7,998 miles",Hybrid,Semiauto,Grey,SUV,4X2,5.0,5.0,201 bhp,127 mph,,27 g/km
cupra,Formentor,28990.0,2023,1.5L,"4,998 miles",Petrol,Manual,Grey,SUV,4X2,5.0,5.0,148 bhp,127 mph,,147 g/km
cupra,Formentor,28000.0,2022,1.4L,"15,240 miles",Hybrid,Semiauto,White,SUV,4X2,5.0,5.0,201 bhp,127 mph,,29 g/km
cupra,Formentor,21796.0,2022,1.5L,"11,900 miles",Petrol,Manual,Grey,SUV,4X2,5.0,5.0,148 bhp,127 mph,,143 g/km
cupra,Leon,24767.0,2020,1.4L,"24,000 miles",Hybrid,Semiauto,Black,Hatchback,4X2,5.0,5.0,241 bhp,140 mph,,31 g/km
cupra,Formentor,28490.0,2023,1.5L,"8,826 miles",Petrol,Semiauto,Grey,SUV,4X2,5.0,5.0,148 bhp,126 mph,,155 g/km
cupra,Formentor,39990.0,2023,1.4L,10 miles,Hybrid,Semiauto,Grey,SUV,4X2,5.0,5.0,241 bhp,130 mph,,33 g/km
cupra,Formentor,30390.0,2021,2L,"18,856 miles",Petrol,Semiauto,Red,SUV,4X4,5.0,5.0,306 bhp,155 mph,,193 g/km
cupra,Ateca,34297.0,2023,2L,"4,633 miles",Petrol,Semiauto,Grey,SUV,4X4,5.0,5.0,296 bhp,155 mph,,202 g/km
