Make,Model,Price,Year,Engine Size,Mileage,Fuel Type,Transmission,Color,Body Type,Wheel Drive,Doors,Seats,Engine Power,Top Speed,Acceleration,CO2 Rating
dacia,Sandero,2250.0,2013,1149cc,"95,000 miles",Petrol,Manual,WHITE,Hatchback,4X2,5.0,5.0,74 bhp,97 mph,14.5 seconds,135 g/km
dacia,Sandero Stepway,9500.0,2021,999cc,"96,966 miles",Petrol,Manual,ORANGE,Hatchback,4X2,5.0,5.0,90 bhp,109 mph,,131 g/km
dacia,Duster,14556.0,2022,1L,"19,881 miles",Hybrid,Manual,Blue,SUV,4X2,5.0,5.0,99 bhp,104 mph,,145 g/km
dacia,Sandero Stepway,9604.0,2020,0.9L,"19,697 miles",Petrol,Manual,Grey,Hatchback,4X2,5.0,5.0,90 bhp,106 mph,16.7 seconds,148 g/km
dacia,Duster,18699.0,1333cc,"18,346 miles",Petrol,Automatic,White,SUV,44.8 mpg,4X2,5.0,5.0,147 bhp,124 mph,,142 g/km
dacia,Duster,9279.0,2019,1500cc,"84,400 miles",Diesel,Manual,Glacier White,SUV,4X2,5.0,5.0,114 bhp,111 mph,10.5 seconds,111 g/km
dacia,Sandero Stepway,10899.0,2020,898cc,"24,029 miles",Petrol,,Black,Hatchback,4X2,5.0,5.0,90 bhp,106 mph,11.1 seconds,141 g/km
dacia,Logan MCV,4495.0,2016,1149cc,"87,000 miles",Petrol,Manual,White,Estate,4X2,5.0,5.0,72 bhp,100 mph,10.4 seconds,130 g/km
dacia,Sandero Stepway,10049.0,2019,898cc,"19,383 miles",Petrol,,Blue,Hatchback,4X2,5.0,5.0,90 bhp,106 mph,11.1 seconds,127 g/km
dacia,Sandero Stepway,16087.0,2023,1L,"2,177 miles",Hybrid,Manual,Blue,Hatchback,,,,,,,
dacia,Duster,10596.0,2018,1.2L,"33,575 miles",Petrol,Manual,Black,SUV,,,,,,,
dacia,Duster,11207.0,2020,1L,"39,163 miles",Hybrid,Manual,Orange,SUV,,,,,,,
dacia,Duster,16015.0,2022,1.3L,"21,000 miles",Petrol,Manual,Grey,SUV,4X2,5.0,5.0,129 bhp,120 mph,,141 g/km
dacia,Sandero,9199.0,2020,0.9L,"15,006 miles",Petrol,Manual,White,Hatchback,4X2,5.0,5.0,90 bhp,109 mph,11.1 seconds,134 g/km
dacia,Duster,12099.0,2019,1.3L,"39,346 miles",Petrol,Manual,Grey,SUV,4X2,5.0,5.0,130 bhp,118 mph,11.1 seconds,139 g/km
dacia,Duster,9899.0,2019,1L,"28,837 miles",Petrol,Manual,White,SUV,4X2,5.0,5.0,99 bhp,104 mph,12.5 seconds,126 g/km
dacia,Sandero Stepway,15495.0,2021,1L,"6,196 miles",Petrol,Automatic,White,Hatchback,4X2,5.0,5.0,90 bhp,101 mph,,139 g/km
dacia,Sandero Stepway,8817.0,2017,0.9L,"22,199 miles",Petrol,Manual,White,Hatchback,4X2,5.0,5.0,88 bhp,104 mph,,115 g/km
dacia,Sandero Stepway,7995.0,2019,898cc,"25,506 miles",Petrol,Manual,White,Hatchback,4X2,5.0,5.0,90 bhp,106 mph,16.7 seconds,127 g/km
dacia,Sandero,9480.0,2000,999cc,"6,791 miles",Other,Manual,White,Hatchback,4X2,5.0,5.0,99 bhp,113 mph,,116 g/km
dacia,Sandero Stepway,13495.0,2021,999cc,"16,871 miles",Petrol,Manual,WHITE,Hatchback,4X2,5.0,5.0,90 bhp,107 mph,,127 g/km
dacia,Duster,9999.0,2019,999cc,"37,990 miles",Petrol,,Orange,SUV,4X2,5.0,5.0,99 bhp,104 mph,12.5 seconds,120 g/km
dacia,Sandero,10290.0,999cc,"6,029 miles",Bi Fuel,Manual,White,Hatchback,46.3 mpg,4X2,5.0,5.0,99 bhp,113 mph,,116 g/km
dacia,Sandero,7199.0,898cc,"31,341 miles",Petrol,Manual,White,Hatchback,57.6 mpg,4X2,5.0,5.0,90 bhp,175 mph,11.1 seconds,121 g/km
dacia,Duster,13200.0,2020,1.3L,"30,764 miles",Petrol,Manual,Orange,SUV,4X2,5.0,5.0,129 bhp,109 mph,11.1 seconds,149 g/km
dacia,Duster,14700.0,2021,1.3L,"14,076 miles",Petrol,Manual,White,SUV,4X2,5.0,5.0,129 bhp,120 mph,,141 g/km
dacia,Sandero Stepway,14450.0,2022,1L,"14,000 miles",Petrol,Manual,White,Hatchback,4X2,5.0,5.0,90 bhp,107 mph,,127 g/km
dacia,Sandero Stepway,9984.0,2020,0.9L,"10,038 miles",Petrol,Manual,Blue,Hatchback,4X2,5.0,5.0,90 bhp,106 mph,16.7 seconds,141 g/km
dacia,Sandero Stepway,11273.0,2021,0.9L,"17,000 miles",Petrol,Manual,White,Hatchback,4X2,5.0,5.0,90 bhp,106 mph,11.1 seconds,141 g/km
dacia,Duster,13932.0,2020,1L,"12,643 miles",Hybrid,Manual,Blue,SUV,4X2,5.0,5.0,99 bhp,107 mph,,129 g/km
dacia,Sandero,7975.0,2019,0.9L,"19,059 miles",Petrol,Manual,Black,Hatchback,4X2,5.0,5.0,90 bhp,175 mph,11.1 seconds,121 g/km
dacia,Logan MCV,10395.0,2020,0.9L,"10,947 miles",Petrol,Manual,Blue,Estate,4X2,5.0,5.0,90 bhp,109 mph,11.1 seconds,135 g/km
dacia,Sandero,7313.0,2016,0.9L,"12,036 miles",Petrol,Manual,White,Hatchback,4X2,5.0,5.0,88 bhp,109 mph,11.1 seconds,109 g/km
dacia,Sandero Stepway,15201.0,2021,1L,"11,157 miles",Petrol,Automatic,Red,Hatchback,4X2,5.0,5.0,90 bhp,101 mph,,
dacia,Sandero Stepway,12777.0,2021,1L,"20,721 miles",Petrol,Manual,Blue,Hatchback,4X2,5.0,5.0,90 bhp,107 mph,,127 g/km
dacia,Sandero,5495.0,2020,0.9L,"72,375 miles",Petrol,Manual,Grey,Hatchback,4X2,5.0,5.0,90 bhp,175 mph,11.1 seconds,121 g/km
dacia,Sandero Stepway,10200.0,2019,0.9L,"11,065 miles",Petrol,Manual,Black,Hatchback,4X2,5.0,5.0,90 bhp,106 mph,11.1 seconds,125 g/km
dacia,Sandero Stepway,11019.0,2021,0.9L,"11,031 miles",Petrol,Manual,Grey,Hatchback,4X2,5.0,5.0,90 bhp,106 mph,11.1 seconds,141 g/km
dacia,Duster,14305.0,2021,1L,"12,049 miles",Hybrid,Manual,Blue,SUV,4X2,5.0,5.0,99 bhp,107 mph,,145 g/km
dacia,Duster,12517.0,2019,1.6L,"17,220 miles",Petrol,Manual,Orange,SUV,4X2,5.0,5.0,113 bhp,107 mph,11.9 seconds,149 g/km
dacia,Duster,12599.0,2017,1.5L,"18,152 miles",Diesel,Semiauto,Grey,SUV,4X2,5.0,5.0,107 bhp,105 mph,,116 g/km
dacia,Duster,12095.0,2020,1L,"34,428 miles",Petrol,Manual,White,SUV,4X2,5.0,5.0,99 bhp,104 mph,12.5 seconds,140 g/km
dacia,Sandero,5995.0,2017,0.9L,"52,000 miles",Petrol,Manual,White,Hatchback,4X2,5.0,5.0,88 bhp,109 mph,,109 g/km
dacia,Duster,17995.0,2023,1L,"6,000 miles",Hybrid,Manual,White,SUV,4X2,5.0,5.0,90 bhp,103 mph,,145 g/km
dacia,Duster,13595.0,2019,1.3L,"18,000 miles",Petrol,Manual,Brown,SUV,4X2,5.0,5.0,129 bhp,109 mph,11.1 seconds,139 g/km
dacia,Duster,12916.0,2021,1L,"18,480 miles",Petrol,Manual,Black,SUV,4X2,5.0,5.0,91 bhp,107 mph,,141 g/km
dacia,Duster,10999.0,2019,1L,"58,858 miles",Petrol,Manual,Orange,SUV,4X2,5.0,5.0,99 bhp,104 mph,12.5 seconds,126 g/km
dacia,Sandero Stepway,6880.0,2000,898cc,"44,389 miles",Petrol,Manual,White,Hatchback,4X2,5.0,5.0,88 bhp,104 mph,,115 g/km
dacia,Sandero Stepway,6745.0,2016,898cc,"45,000 miles",Petrol,Manual,Blue,Hatchback,4X2,5.0,5.0,88 bhp,104 mph,11.1 seconds,115 g/km
dacia,Sandero,2495.0,2014,1149cc,"91,000 miles",Petrol,Manual,White,Hatchback,4X2,5.0,5.0,74 bhp,97 mph,14.5 seconds,135 g/km
dacia,Duster,9485.0,2019,1598cc,"49,872 miles",Petrol,Manual,Grey,Estate,,,,,,,
dacia,Logan MCV,6989.0,2019,998cc,"61,258 miles",Petrol,Manual,GREY,Estate,4X2,5.0,5.0,72 bhp,98 mph,15.5 seconds,124 g/km
dacia,Sandero,10398.0,2021,1L,"6,413 miles",Petrol,Manual,White,Hatchback,4X2,5.0,5.0,66 bhp,98 mph,,121 g/km
