Make,Model,Price,Year,Engine Size,Mileage,Fuel Type,Transmission,Color,Body Type,Wheel Drive,Doors,Seats,Engine Power,Top Speed,Acceleration,CO2 Rating
hyundai,i10,6180.0,2015,998cc,"41,370 miles",Petrol,Manual,WHITE,Hatchback,4X2,5.0,5.0,64 bhp,96 mph,14.9 seconds,108 g/km
hyundai,i40,8500.0,2016,1685cc,"78,791 miles",Diesel,Manual,SILVER,Estate,4X2,5.0,5.0,139 bhp,126 mph,10.3 seconds,123 g/km
hyundai,IX35,6997.0,2014,1685cc,"74,400 miles",Diesel,Manual,BLACK,Estate,4X2,5.0,5.0,114 bhp,108 mph,12.4 seconds,147 g/km
hyundai,IONIQ,16788.0,2020,1L,"30,000 miles",Other,Automatic,BLUE,Hatchback,4X2,5.0,5.0,134 bhp,103 mph,9.7 seconds,0 g/km
hyundai,Kona,12750.0,2020,998cc,"36,925 miles",Petrol,Manual,WHITE,Hatchback,4X2,5.0,5.0,118 bhp,112 mph,12.0 seconds,126 g/km
hyundai,i20,7999.0,2016,998cc,"50,281 miles",Petrol,Manual,RED,Hatchback,4X2,5.0,5.0,99 bhp,116 mph,10.7 seconds,104 g/km
hyundai,i20,12299.0,2020,1.2L,"11,511 miles",Petrol,Manual,White,Hatchback,4X2,5.0,5.0,83 bhp,106 mph,12.8 seconds,134 g/km
hyundai,Bayon,16750.0,2021,1L,"5,492 miles",Hybrid,Semiauto,Other,SUV,4X2,5.0,5.0,99 bhp,112 mph,,119 g/km
hyundai,Tucson,12750.0,2018,1.6L,"43,498 miles",Petrol,Manual,Blue,SUV,4X2,5.0,5.0,130 bhp,113 mph,11.5 seconds,147 g/km
hyundai,i40,9420.0,2016,1.7L,"55,137 miles",Diesel,Manual,Black,Estate,4X2,5.0,5.0,139 bhp,124 mph,10.5 seconds,114 g/km
hyundai,i20,15222.0,2022,1L,"14,525 miles",Hybrid,Manual,Black,Hatchback,4X2,5.0,5.0,99 bhp,117 mph,,116 g/km
hyundai,Tucson,15400.0,2020,1.6L,"21,491 miles",Petrol,Manual,Grey,SUV,4X2,5.0,5.0,130 bhp,113 mph,11.5 seconds,183 g/km
hyundai,Tucson,16250.0,2021,1.6L,"22,392 miles",Petrol,Manual,Blue,SUV,,,,,,,
hyundai,i30,33999.0,2023,2L,5 miles,Petrol,Semiauto,Grey,Hatchback,4X2,5.0,5.0,276 bhp,155 mph,,191 g/km
hyundai,i20,12183.0,2019,1248cc,"8,708 miles",Petrol,Manual,Red,Hatchback,4X2,5.0,5.0,83 bhp,106 mph,12.8 seconds,118 g/km
hyundai,Kona,15899.0,2019,998cc,"18,573 miles",Petrol,Manual,Orange,SUV,4X2,5.0,5.0,118 bhp,112 mph,12.0 seconds,127 g/km
hyundai,Tucson,14055.0,2017,1685cc,"46,780 miles",Diesel,Manual,Grey,SUV,4X2,5.0,5.0,114 bhp,109 mph,,119 g/km
hyundai,i20,2995.0,2010,1248cc,"61,900 miles",Petrol,Manual,White,Hatchback,4X2,3.0,5.0,76 bhp,103 mph,12.9 seconds,124 g/km
hyundai,Tucson,13600.0,2020,1591cc,"40,680 miles",Petrol,Manual,Black,SUV,4X2,5.0,5.0,130 bhp,113 mph,11.5 seconds,183 g/km
hyundai,i20,6595.0,2016,1248cc,"68,000 miles",Petrol,Manual,Red,Hatchback,4X2,5.0,5.0,82 bhp,106 mph,13.1 seconds,112 g/km
hyundai,IONIQ,15329.0,2021,1.6L,"45,160 miles",Hybrid,Automatic,Grey,Hatchback,4X2,5.0,5.0,139 bhp,115 mph,10.8 seconds,102 g/km
hyundai,Tucson,8991.0,2015,1.7L,"61,271 miles",Diesel,Manual,Blue,SUV,4X2,5.0,5.0,114 bhp,109 mph,13.7 seconds,119 g/km
hyundai,i10,12014.0,2021,1L,"15,248 miles",Petrol,Manual,White,Hatchback,4X2,5.0,5.0,66 bhp,97 mph,,119 g/km
hyundai,i20,17995.0,2022,1L,"6,732 miles",Hybrid,Semiauto,White,Hatchback,4X2,5.0,5.0,99 bhp,115 mph,,117 g/km
hyundai,Tucson,25920.0,2021,1.6L,"30,727 miles",Hybrid,Semiauto,Red,SUV,4X4,5.0,5.0,177 bhp,125 mph,,162 g/km
hyundai,i10,9500.0,2015,1248cc,"16,000 miles",Petrol,Automatic,Blue,Hatchback,4X2,5.0,5.0,86 bhp,101 mph,13.8 seconds,142 g/km
hyundai,i30,7995.0,2019,1598cc,"80,782 miles",Diesel,Manual,Blue,Hatchback,4X2,5.0,5.0,113 bhp,118 mph,11.0 seconds,101 g/km
hyundai,Kona,11998.0,2018,998cc,"62,618 miles",Petrol,Manual,Orange,SUV,4X2,5.0,5.0,118 bhp,112 mph,12.0 seconds,127 g/km
hyundai,Kona,13299.0,2021,998cc,"42,610 miles",Other,Manual,White,Hatchback,4X2,5.0,5.0,118 bhp,112 mph,,135 g/km
hyundai,Kona,13599.0,2021,998cc,"38,357 miles",Other,Manual,Black,Hatchback,4X2,5.0,5.0,118 bhp,112 mph,,135 g/km
hyundai,Getz,2250.0,2003,1341cc,"37,000 miles",Petrol,Manual,Green,Hatchback,4X2,3.0,5.0,81 bhp,102 mph,11.5 seconds,150 g/km
hyundai,i30,10000.0,2014,1591cc,"27,000 miles",Petrol,Automatic,Blue,Hatchback,4X2,5.0,5.0,118 bhp,119 mph,11.9 seconds,159 g/km
hyundai,Kona,19995.0,2023,"3,954 miles",Petrol,Manual,Atlas White,Other,47.1 mpg,4X2,5.0,5.0,118 bhp,112 mph,,135 g/km
