Make,Model,Price,Year,Engine Size,Mileage,Fuel Type,Transmission,Color,Body Type,Wheel Drive,Doors,Seats,Engine Power,Top Speed,Acceleration,CO2 Rating
iveco,Daily 2.3D HPI 14V 35S 3750 LWB Euro 6 (s/s) 2dr AIR CON - TAIL-LIFT,18500.0,2021,2287cc,"71,000 miles",Diesel,Manual,White,van,4X2,,,134 bhp,80 mph,,
iveco,Daily,18995.0,2020,2287cc,"38,999 miles",Diesel,Automatic,White,Van,4X2,,,134 bhp,93 mph,,
iveco,Daily,25188.0,2021,2287cc,"26,000 miles",Diesel,Manual,WHITE,Other,4X2,,,134 bhp,93 mph,,
iveco,Daily,11995.0,2015,2998cc,"155,810 miles",Diesel,Manual,White,Van,4X2,,,143 bhp,,,
iveco,Daily,20450.0,2020,2287cc,"24,600 miles",Diesel,Manual,White,Van,4X2,,,134 bhp,93 mph,,
iveco,Daily,15795.0,2014,2998cc,"67,708 miles",Diesel,Manual,WHITE,Other,4X2,,,143 bhp,,,
iveco,Daily,18990.0,2020,2287cc,"37,922 miles",Diesel,Manual,White,Van,4X2,,,134 bhp,93 mph,,
iveco,Daily,18000.0,2016,2287cc,"63,332 miles",Diesel,Manual,WHITE,Other,4X2,,,125 bhp,,,
iveco,Daily 50c15 4x2 Day Cab 5.2ton Hgv 2200l Stainless Vacuum Tanker Truck Lorry,16994.0,2017,2.998L,"115,000 miles",Diesel,Manual,White,Van,4X2,,,148 bhp,,,
iveco,Daily 50c15 4x2 Day Cab 5.2ton Hgv 2200l Stainless Vacuum Tanker Truck Lorry,16494.0,2017,2.998L,"138,000 miles",Diesel,Manual,White,Van,4X2,,,148 bhp,,,
iveco,Daily 50c15 4x2 Day Cab 5.2ton Hgv 2200l Stainless Vacuum Tanker Truck Lorry,17494.0,2017,2.998L,"114,000 miles",Diesel,Manual,White,Van,4X2,,,148 bhp,,,
iveco,Daily,18950.0,2020,2287cc,"26,750 miles",Diesel,Manual,White,Van,4X2,,,134 bhp,93 mph,,
iveco,Daily,13194.0,2019,2287cc,"70,000 miles",Diesel,Manual,SILVER,Other,4X2,,,115 bhp,93 mph,,
iveco,Daily,16750.0,2018,2998cc,"130,000 miles",Diesel,Automatic,Blue,Van,4X2,,,178 bhp,,,
iveco,Daily,21900.0,2020,2287cc,"27,528 miles",Diesel,Manual,White,Van,4X2,,,134 bhp,93 mph,,
iveco,Daily,9993.0,2015,2287cc,"148,000 miles",Diesel,Manual,White,Van,4X2,,,125 bhp,,,
iveco,Daily,14993.0,2016,2287cc,"94,000 miles",Diesel,Manual,White,Van,4X2,,,125 bhp,,,
iveco,Daily,49990.0,2018,3000cc,"30,305 miles",Diesel,Automatic,White,Other,4X2,,,178 bhp,,,
iveco,Eurocargo 75e16k 4x2 Day Cab 7.5ton Hgv 11ft5 Tipper Truck Lorry,17494.0,2017,4.485L,"135,000 miles",Diesel,Manual,White,Van,4X2,,,158 bhp,,,
iveco,Daily 70c18 4x2 Day Cab 7.2ton Hgv 4750wb 18ft Box With Tail Lift Truck Lorry,12994.0,2018,2.998L,"124,000 miles",Diesel,Automatic,White,Van,4X2,,,178 bhp,,,
iveco,Daily 2.3 35S14V Automatic Medium Wheel Base High Roof Panel Van Euro 6 Ulez Complaint 135 BHP - air con,15999.0,2018,2.29L,"100,915 miles",Diesel,Manual,White,Van,4X2,,,134 bhp,93 mph,,
iveco,Daily 2.3 35S14V Automatic Medium Wheel Base High Roof Panel Van Euro 6 Ulez Complaint 135 BHP - air con,15999.0,2018,2.29L,"100,915 miles",Diesel,Manual,White,Van,4X2,,,134 bhp,93 mph,,
iveco,Daily 70c18 4x2 Day Cab 7.2ton Hgv 4750wb 18ft Box With Tail Lift Truck Lorry,12494.0,2018,2.998L,"155,000 miles",Diesel,Automatic,White,Van,4X2,,,178 bhp,,,
iveco,Daily,21995.0,2020,2287cc,"30,000 miles",Diesel,Automatic,White,Van,4X2,,,134 bhp,93 mph,,
iveco,Daily,25995.0,2020,2287cc,"14,000 miles",Diesel,Manual,White,Van,4X2,,,134 bhp,93 mph,,
iveco,Daily,6995.0,2011,0L,0 miles,Other,Automatic,Silver,Van,4X2,,,143 bhp,,,
iveco,Daily,7990.0,2012,0L,"140,000 miles",Diesel,Automatic,Other,Van,4X2,,,168 bhp,,,
iveco,Daily,4550.0,2006,2300cc,"143,000 miles",Diesel,Manual,Blue,Van,4X2,,,117 bhp,,,
iveco,Daily 2.3D HPI 14V 35C 3000 SWB Euro 6 (s/s) 2dr (DRW) AIR CON - TWIN REAR WHEELS,22590.0,2021,2287cc,"49,000 miles",Diesel,Manual,White,van,4X2,,,134 bhp,80 mph,,
iveco,Daily 2.3D HPI 14V Business 35C 3450 MWB Euro 6 (s/s) 2dr (DRW) SWING LIFT CRANE - TOW BAR,20790.0,2020,2287cc,"26,000 miles",Diesel,Manual,White,van,4X2,,,134 bhp,93 mph,,
iveco,Daily 2.3 35S 135 LUTON BOX TAIL-LIFT EU6 AIR CON - TAIL-LIFT,18500.0,2021,2287cc,"76,000 miles",Diesel,Manual,White,van,4X2,,,134 bhp,80 mph,,
iveco,Daily,11500.0,2018,2287cc,"130,000 miles",Diesel,Automatic,White,Van,4X2,,,134 bhp,93 mph,,
iveco,Daily,14895.0,2016,2287cc,"56,200 miles",Diesel,Manual,White,Van,4X2,,,125 bhp,,,
