Make,Model,Price,Year,Engine Size,Mileage,Fuel Type,Transmission,Color,Body Type,Wheel Drive,Doors,Seats,Engine Power,Top Speed,Acceleration,CO2 Rating
jeep,Compass,18499.0,2020,1368cc,"18,387 miles",Petrol,Automatic,RED,Estate,4X4,5.0,5.0,168 bhp,124 mph,9.5 seconds,209 g/km
jeep,Cherokee,10995.0,2015,2184cc,"87,492 miles",Diesel,Automatic,Bright White,Estate,4X4,5.0,5.0,197 bhp,127 mph,8.5 seconds,150 g/km
jeep,Renegade,15899.0,2019,999cc,"18,832 miles",Petrol,,Black,SUV,4X2,5.0,5.0,118 bhp,115 mph,11.2 seconds,138 g/km
jeep,Renegade,13849.0,2018,1332cc,"42,072 miles",Petrol,,Black,SUV,4X2,5.0,5.0,148 bhp,122 mph,9.4 seconds,144 g/km
jeep,Wrangler,39999.0,2019,2L,"17,128 miles",Petrol,Automatic,Blue,SUV,,,,,,,
jeep,Renegade,9489.0,2016,1.6L,"68,383 miles",Diesel,Manual,Grey,Other,4X2,5.0,5.0,118 bhp,111 mph,10.2 seconds,115 g/km
jeep,Compass,12300.0,2019,1368cc,"37,411 miles",Petrol,Manual,Grey,SUV,4X2,5.0,5.0,138 bhp,119 mph,9.9 seconds,155 g/km
jeep,Compass,8000.0,2013,2143cc,"32,019 miles",Diesel,Manual,RED,Estate,4X4,5.0,5.0,161 bhp,125 mph,10.9 seconds,172 g/km
jeep,Renegade,19700.0,2000,"19,002 miles",Petrol,Automatic,Blue,SUV,40.4 mpg,4X2,5.0,5.0,148 bhp,122 mph,,
jeep,Renegade,8990.0,2015,1.6L,"76,700 miles",Diesel,Manual,Grey,Estate,4X2,5.0,5.0,118 bhp,111 mph,10.2 seconds,120 g/km
jeep,Renegade,17749.0,2019,1.3L,"14,011 miles",Petrol,Automatic,Red,SUV,4X2,5.0,5.0,148 bhp,122 mph,9.4 seconds,144 g/km
jeep,Grand Cherokee,2495.0,2006,2987cc,"113,000 miles",Diesel,Automatic,Black,SUV,4X4,5.0,5.0,216 bhp,124 mph,9.7 seconds,270 g/km
jeep,Compass,13500.0,2019,1368cc,"48,263 miles",Petrol,Manual,BLACK,Estate,4X2,5.0,5.0,138 bhp,119 mph,9.9 seconds,155 g/km
jeep,Renegade,7599.0,2016,1598cc,"90,500 miles",Diesel,Manual,BLACK,Estate,4X2,5.0,5.0,118 bhp,111 mph,10.2 seconds,115 g/km
jeep,Wrangler,29989.0,2017,3604cc,"48,930 miles",Petrol,Automatic,WHITE,Convertible,4X4,4.0,5.0,280 bhp,112 mph,8.9 seconds,273 g/km
jeep,Renegade,11995.0,2016,1368cc,"31,700 miles",Petrol,Manual,WHITE,Estate,4X2,5.0,5.0,138 bhp,112 mph,10.9 seconds,140 g/km
jeep,Renegade,11995.0,2016,1368cc,"40,100 miles",Petrol,Manual,GREY,Estate,4X2,5.0,5.0,138 bhp,112 mph,10.9 seconds,140 g/km
jeep,Grand Cherokee,78000.0,2023,2L,"1,600 miles",Hybrid,Automatic,Other,SUV,4X4,5.0,5.0,375 bhp,130 mph,,59 g/km
jeep,Compass,15499.0,2020,2L,"27,363 miles",Diesel,Manual,White,SUV,4X4,5.0,5.0,138 bhp,118 mph,10.1 seconds,181 g/km
jeep,Renegade,16495.0,2020,1300cc,"41,768 miles",Petrol,Automatic,STING GREY,SUV,4X2,5.0,5.0,148 bhp,122 mph,,162 g/km
jeep,Grand Cherokee,29995.0,2000,6417cc,"35,000 miles",Petrol,Automatic,Black,SUV,4X4,5.0,5.0,461 bhp,160 mph,5.0 seconds,315 g/km
jeep,Renegade,19685.0,2021,1332cc,"18,111 miles",Petrol,Automatic,Grey,Hatchback,4X2,5.0,5.0,148 bhp,122 mph,,156 g/km
jeep,Renegade,16995.0,2019,1.6L,"36,321 miles",Diesel,Automatic,White,SUV,4X2,5.0,5.0,118 bhp,110 mph,10.2 seconds,129 g/km
jeep,Compass,14500.0,2020,1.4L,"15,207 miles",Petrol,Manual,Other,SUV,4X2,5.0,5.0,138 bhp,119 mph,9.9 seconds,173 g/km
jeep,Grand Cherokee,17950.0,2018,2987cc,"111,000 miles",Diesel,Automatic,Black,Estate,4X4,5.0,5.0,247 bhp,126 mph,,184 g/km
jeep,Renegade,13598.0,2019,1598cc,"49,501 miles",Diesel,Manual,Grey,SUV,4X2,5.0,5.0,118 bhp,110 mph,10.2 seconds,129 g/km
jeep,Renegade,16382.0,2020,1.3L,"39,998 miles",Petrol,Automatic,Other,SUV,4X2,5.0,5.0,148 bhp,122 mph,,139 g/km
jeep,Renegade,13999.0,2020,1.6L,"14,500 miles",Diesel,Automatic,Blue,SUV,4X2,5.0,5.0,118 bhp,110 mph,10.2 seconds,148 g/km
jeep,Renegade,14285.0,0L,"25,818 miles",Petrol,Manual,RED,SUV,46.3 mpg,4X2,5.0,5.0,118 bhp,115 mph,11.2 seconds,130 g/km
jeep,Renegade,9895.0,2015,1368cc,"39,272 miles",Petrol,Manual,WHITE,Estate,4X2,5.0,5.0,138 bhp,112 mph,10.9 seconds,140 g/km
jeep,Compass,20949.0,2021,1368cc,"7,590 miles",Petrol,,White,SUV,4X4,5.0,5.0,168 bhp,124 mph,9.5 seconds,209 g/km
jeep,Compass,23000.0,2021,1.4L,"10,151 miles",Petrol,Automatic,Colorado Red/Brilliant Black,4x4,4X4,5.0,5.0,168 bhp,127 mph,,210 g/km
jeep,Renegade,18995.0,2021,1L,"15,224 miles",Petrol,Manual,Grey,SUV,4X2,5.0,5.0,118 bhp,115 mph,,151 g/km
jeep,Compass,18000.0,2019,1.4L,"10,013 miles",Petrol,Manual,Red,SUV,4X2,5.0,5.0,138 bhp,119 mph,9.9 seconds,155 g/km
jeep,Compass,18395.0,2019,1.4L,"13,190 miles",Petrol,Automatic,Other,SUV,4X4,5.0,5.0,168 bhp,124 mph,9.5 seconds,190 g/km
jeep,Renegade,17729.0,2019,1.3L,"10,154 miles",Petrol,Automatic,White,SUV,4X2,5.0,5.0,148 bhp,122 mph,9.4 seconds,144 g/km
jeep,Wrangler,62495.0,2023,2L,200 miles,Petrol,Automatic,Orange,SUV,4X4,4.0,5.0,268 bhp,99 mph,,268 g/km
jeep,Wrangler,22995.0,2015,3604cc,"27,500 miles",Petrol,Automatic,Orange,Estate,4X4,2.0,5.0,281 bhp,112 mph,8.1 seconds,0 g/km
jeep,Grand Cherokee,10999.0,2013,2987cc,"103,000 miles",Diesel,Automatic,White,SUV,4X4,5.0,5.0,239 bhp,126 mph,8.2 seconds,218 g/km
jeep,Grand Cherokee,16995.0,2016,3000cc,"73,575 miles",Diesel,Automatic,White,Other,4X4,5.0,5.0,247 bhp,126 mph,8.2 seconds,184 g/km
jeep,Compass,12996.0,2019,1.4L,"40,273 miles",Petrol,Manual,White,SUV,4X2,5.0,5.0,138 bhp,119 mph,9.9 seconds,155 g/km
jeep,Compass,16990.0,2020,1368cc,"28,000 miles",Petrol,Manual,Colorado Red/Black Roof,Estate,4X2,5.0,5.0,138 bhp,119 mph,9.9 seconds,172 g/km
jeep,Wrangler,47950.0,2021,1995cc,"11,405 miles",Petrol,Automatic,ORANGE,Convertible,4X4,4.0,5.0,268 bhp,99 mph,,270 g/km
jeep,Renegade,8995.0,2016,1368cc,"62,563 miles",Petrol,Manual,GREY,Estate,4X2,5.0,5.0,138 bhp,112 mph,10.9 seconds,140 g/km
jeep,Grand Cherokee,19000.0,2016,2987cc,"64,000 miles",Diesel,Automatic,White,SUV,4X4,5.0,5.0,247 bhp,126 mph,8.2 seconds,198 g/km
jeep,Renegade,8000.0,2016,1368cc,"54,175 miles",Petrol,Manual,YELLOW,Estate,4X2,5.0,5.0,138 bhp,112 mph,10.9 seconds,140 g/km
jeep,Renegade,11649.0,2018,1368cc,"35,247 miles",Petrol,,Red,SUV,4X2,5.0,5.0,138 bhp,112 mph,10.9 seconds,140 g/km
jeep,Renegade,8950.0,2016,1368cc,"66,155 miles",Petrol,Manual,Black,Hatchback,4X2,5.0,5.0,138 bhp,112 mph,10.9 seconds,140 g/km
jeep,Renegade,7990.0,2016,1598cc,"72,934 miles",Petrol,Manual,Black,SUV,4X2,5.0,5.0,109 bhp,111 mph,11.8 seconds,141 g/km
jeep,Grand Cherokee,17450.0,2015,2987cc,"63,264 miles",Diesel,Automatic,Black,Estate,4X4,5.0,5.0,247 bhp,126 mph,8.2 seconds,198 g/km
