Make,Model,Price,Year,Engine Size,Mileage,Fuel Type,Transmission,Color,Body Type,Wheel Drive,Doors,Seats,Engine Power,Top Speed,Acceleration,CO2 Rating
mercedes-benz,GLE Class,22490.0,2016,2143cc,"65,900 miles",Diesel,Automatic,SILVER,Estate,4X4,5.0,5.0,201 bhp,132 mph,8.6 seconds,156 g/km
mercedes-benz,A Class,29495.0,2019,1991cc,"22,175 miles",Petrol,Automatic,GREY,Saloon,4X4,4.0,5.0,302 bhp,155 mph,4.8 seconds,167 g/km
mercedes-benz,E Class,36740.0,2022,1950cc,"28,000 miles",Diesel,Automatic,SILVER,Convertible,4X2,2.0,4.0,192 bhp,142 mph,,163 g/km
mercedes-benz,C Class,4995.0,2011,2143cc,"132,000 miles",Diesel,Automatic,SILVER,Estate,4X2,5.0,5.0,137 bhp,129 mph,9.1 seconds,134 g/km
mercedes-benz,E Class,23989.0,2018,1950cc,"67,000 miles",Diesel,Automatic,BLACK,Coupe,4X2,2.0,4.0,192 bhp,150 mph,7.4 seconds,119 g/km
mercedes-benz,E Class,84990.0,2021,3982cc,"7,000 miles",Petrol,Automatic,WHITE,Saloon,4X4,4.0,5.0,603 bhp,186 mph,,277 g/km
mercedes-benz,A Class,11590.0,2016,1461cc,"67,425 miles",Diesel,Automatic,GREY,Hatchback,4X2,5.0,5.0,107 bhp,118 mph,11.3 seconds,98 g/km
mercedes-benz,G Class,69990.0,2010,5439cc,"13,500 miles",Petrol,Automatic,BLACK,Estate,4X4,5.0,5.0,503 bhp,130 mph,5.5 seconds,372 g/km
mercedes-benz,C Class,8389.0,2015,2143cc,"100,000 miles",Diesel,Automatic,SILVER,Coupe,4X2,2.0,4.0,168 bhp,144 mph,8.1 seconds,139 g/km
mercedes-benz,GLE Class,49500.0,2020,2925cc,"32,000 miles",Diesel,Automatic,WHITE,Estate,4X4,5.0,7.0,326 bhp,149 mph,5.8 seconds,220 g/km
mercedes-benz,A Class,12999.0,2016,2143cc,"71,582 miles",Diesel,Manual,BLACK,Hatchback,4X2,5.0,5.0,134 bhp,130 mph,9.3 seconds,111 g/km
mercedes-benz,A Class,13495.0,2016,2143cc,"83,250 miles",Diesel,Automatic,BLACK,Hatchback,,,,,,,
mercedes-benz,A Class,11999.0,2017,1461cc,"67,000 miles",Diesel,Manual,GREY,Hatchback,4X2,5.0,5.0,107 bhp,118 mph,11.3 seconds,102 g/km
mercedes-benz,E Class,32990.0,2020,2L,"23,279 miles",Diesel,Semiauto,Black,Saloon,4X2,4.0,5.0,192 bhp,149 mph,7.3 seconds,164 g/km
mercedes-benz,V Class,49850.0,2019,2.2L,"19,374 miles",Diesel,Semiauto,White,MPV,4X2,5.0,8.0,188 bhp,129 mph,9.1 seconds,177 g/km
mercedes-benz,A Class,18750.0,2020,1.3L,"41,250 miles",Petrol,Semiauto,Black,Hatchback,4X2,5.0,5.0,134 bhp,134 mph,8.8 seconds,121 g/km
mercedes-benz,SLK,4990.0,2005,1796cc,"81,000 miles",Petrol,Manual,Blue,Convertible,4X2,2.0,2.0,161 bhp,143 mph,7.9 seconds,209 g/km
mercedes-benz,Sprinter 2.0 315 CDI L3 H2 PREMIUM PANEL VAN 150 BHP - AIR CON,34500.0,2022,2L,"39,817 miles",Diesel,Manual,White,Van,4X2,,,147 bhp,100 mph,,
mercedes-benz,Sprinter 2.0 315 CDI L3 H2 PREMIUM PANEL VAN 150 BHP - AIR CON,34500.0,2022,2L,"39,817 miles",Diesel,Manual,White,Van,4X2,,,147 bhp,100 mph,,
mercedes-benz,A Class,18480.0,2018,2.1L,"26,594 miles",Diesel,Semiauto,Black,Hatchback,4X2,5.0,5.0,134 bhp,130 mph,8.8 seconds,103 g/km
mercedes-benz,CLA Class,17300.0,2019,1595cc,"44,182 miles",Petrol,Automatic,Grey,Saloon,4X2,4.0,5.0,154 bhp,143 mph,7.9 seconds,146 g/km
mercedes-benz,Sprinter 2.1 314 CDI Progressive RWD L3 Euro 6 (s/s) 4dr TAIL-LIFT - TIE RAILS,20800.0,2021,2143cc,"114,000 miles",Diesel,Manual,White,van,4X2,,,141 bhp,100 mph,,
mercedes-benz,GLB Class,31935.0,2020,1950cc,"8,514 miles",Diesel,Automatic,Black,Other,4X4,5.0,7.0,188 bhp,135 mph,7.6 seconds,164 g/km
mercedes-benz,A Class,20350.0,2020,1332cc,"27,667 miles",Petrol,Automatic,White,Hatchback,4X2,5.0,5.0,161 bhp,140 mph,8.0 seconds,138 g/km
mercedes-benz,A Class,20695.0,2020,1332cc,"22,564 miles",Hybrid,Automatic,Grey,Hatchback,4X2,5.0,5.0,259 bhp,146 mph,,25 g/km
mercedes-benz,GLA Class,27248.0,2020,1332cc,"33,804 miles",Petrol,Automatic,White,Other,4X2,5.0,5.0,161 bhp,130 mph,,154 g/km
mercedes-benz,CLA Class,18487.0,2018,1595cc,"27,678 miles",Petrol,Automatic,Black,Saloon,4X2,4.0,5.0,154 bhp,143 mph,7.9 seconds,146 g/km
mercedes-benz,A Class,21118.0,2020,1332cc,"25,184 miles",Hybrid,Automatic,Black,Saloon,4X2,4.0,5.0,259 bhp,146 mph,,22 g/km
mercedes-benz,A Class,20990.0,2020,1332cc,"21,724 miles",Petrol,Automatic,Grey,Hatchback,4X2,5.0,5.0,134 bhp,134 mph,8.8 seconds,138 g/km
mercedes-benz,A Class,14999.0,2015,2.1L,"45,796 miles",Diesel,Semiauto,Blue,Hatchback,4X2,5.0,5.0,134 bhp,130 mph,8.8 seconds,103 g/km
mercedes-benz,CLA Class,36999.0,2021,2L,"28,358 miles",Petrol,Semiauto,Black,Coupe,4X4,4.0,5.0,302 bhp,152 mph,4.9 seconds,194 g/km
mercedes-benz,CLA Class,18499.0,2018,1.6L,"38,653 miles",Petrol,Manual,Grey,Estate,4X2,5.0,5.0,154 bhp,139 mph,8.5 seconds,150 g/km
mercedes-benz,A Class,22000.0,2021,2L,"18,250 miles",Diesel,Semiauto,Grey,Hatchback,4X2,5.0,5.0,147 bhp,137 mph,8.1 seconds,131 g/km
mercedes-benz,C Class,20799.0,2019,2L,"38,594 miles",Diesel,Semiauto,Grey,Convertible,4X2,2.0,4.0,192 bhp,145 mph,7.5 seconds,126 g/km
mercedes-benz,CLA Class,38784.0,2023,2L,"3,100 miles",Petrol,Semiauto,Black,Coupe,4X4,4.0,5.0,302 bhp,155 mph,,191 g/km
mercedes-benz,Vito,6250.0,2013,2143cc,"104,000 miles",Diesel,Manual,Red,Van,4X2,,,163 bhp,118 mph,0 seconds,
