Make,Model,Price,Year,Engine Size,Mileage,Fuel Type,Transmission,Color,Body Type,Wheel Drive,Doors,Seats,Engine Power,Top Speed,Acceleration,CO2 Rating
mini,Hatch,8380.0,2015,1198cc,"48,150 miles",Petrol,Manual,GREY,Hatchback,4X2,3.0,4.0,101 bhp,121 mph,9.9 seconds,108 g/km
mini,Hatch,13500.0,2020,1499cc,"56,000 miles",Petrol,Manual,BLACK,Hatchback,4X2,3.0,4.0,134 bhp,130 mph,8.0 seconds,122 g/km
mini,One,4499.0,2010,1598cc,"68,500 miles",Petrol,Manual,RED,Convertible,4X2,2.0,4.0,98 bhp,112 mph,11.3 seconds,133 g/km
mini,Clubman,3995.0,2012,1600cc,"119,802 miles",Diesel,Manual,BLACK,Estate,4X2,5.0,5.0,90 bhp,113 mph,11.8 seconds,103 g/km
mini,Clubman,21998.0,2020,2L,"12,451 miles",Petrol,Semiauto,Silver,Estate,4X2,5.0,5.0,189 bhp,142 mph,7.2 seconds,155 g/km
mini,Hatch,14260.0,2019,1.5L,"17,170 miles",Petrol,Manual,Green,Hatchback,4X2,3.0,4.0,134 bhp,130 mph,8.0 seconds,115 g/km
mini,Countryman,9999.0,2015,1.6L,"44,838 miles",Petrol,Manual,Grey,Hatchback,4X2,5.0,5.0,122 bhp,118 mph,10.5 seconds,137 g/km
mini,Hatch,21215.0,2020,1998cc,"17,212 miles",Petrol,Automatic,Grey,Hatchback,4X2,5.0,5.0,189 bhp,146 mph,6.8 seconds,151 g/km
mini,Countryman,19975.0,2019,1499cc,"26,710 miles",Petrol,Automatic,Silver,Hatchback,4X2,5.0,5.0,134 bhp,124 mph,9.7 seconds,122 g/km
mini,Hatch,8595.0,2017,1496cc,"68,000 miles",Diesel,Manual,Black,Hatchback,4X2,5.0,5.0,114 bhp,126 mph,9.4 seconds,97 g/km
mini,Clubman,8979.0,2018,2000cc,"98,000 miles",Diesel,Manual,Pure Burgundy,Estate,4X2,5.0,5.0,147 bhp,132 mph,,112 g/km
mini,Hatch,7950.0,2017,1496cc,"73,305 miles",Diesel,Manual,White,Hatchback,4X2,3.0,4.0,94 bhp,118 mph,11.0 seconds,89 g/km
mini,Hatch,2495.0,2011,1598cc,"103,000 miles",Petrol,Manual,Orange,Hatchback,4X2,3.0,4.0,122 bhp,126 mph,9.1 seconds,127 g/km
mini,Cooper,3490.0,2007,1598cc,"84,000 miles",Petrol,Automatic,Black,Convertible,4X2,2.0,4.0,118 bhp,113 mph,11.2 seconds,182 g/km
mini,Hatch,10000.0,2015,1496cc,"56,000 miles",Diesel,Automatic,Black,Hatchback,4X2,5.0,5.0,114 bhp,125 mph,9.5 seconds,102 g/km
mini,Cooper,2990.0,2009,1598cc,"101,466 miles",Petrol,Manual,Yellow,Convertible,4X2,2.0,4.0,121 bhp,123 mph,9.8 seconds,137 g/km
mini,Countryman,15990.0,2019,1995cc,"71,552 miles",Diesel,Manual,White,SUV,4X2,5.0,5.0,147 bhp,129 mph,9.1 seconds,111 g/km
mini,Clubman,4495.0,2010,1600cc,"105,518 miles",Petrol,Manual,Silver,Other,4X2,5.0,5.0,122 bhp,125 mph,9.8 seconds,129 g/km
mini,Hatch,3495.0,2007,1598cc,"80,000 miles",Petrol,Manual,WHITE,Hatchback,4X2,3.0,4.0,173 bhp,140 mph,7.1 seconds,164 g/km
