Make,Model,Price,Year,Engine Size,Mileage,Fuel Type,Transmission,Color,Body Type,Wheel Drive,Doors,Seats,Engine Power,Top Speed,Acceleration,CO2 Rating
mitsubishi,Outlander,8695.0,2009,2360cc,"50,732 miles",Petrol,Automatic,Grey,Estate,4X4,5.0,7.0,168 bhp,118 mph,10.8 seconds,222 g/km
mitsubishi,Outlander,13450.0,2016,1998cc,"69,845 miles",Other,Automatic,WHITE,Estate,4X4,5.0,5.0,200 bhp,106 mph,,41 g/km
mitsubishi,Outlander,19749.0,2020,2360cc,"27,863 miles",Hybrid,,Black,SUV,4X4,5.0,5.0,221 bhp,106 mph,10.5 seconds,46 g/km
mitsubishi,Outlander,20449.0,2020,2360cc,"35,683 miles",Hybrid,,Red,SUV,4X4,5.0,5.0,221 bhp,106 mph,10.5 seconds,46 g/km
mitsubishi,Outlander,15349.0,2017,2268cc,"64,919 miles",Diesel,,Red,SUV,4X4,5.0,7.0,147 bhp,118 mph,,154 g/km
mitsubishi,Outlander,19699.0,2018,1998cc,"20,795 miles",Hybrid,,Grey,SUV,4X4,5.0,5.0,200 bhp,106 mph,,41 g/km
mitsubishi,Outlander,18549.0,2019,2360cc,"27,529 miles",Hybrid,,Red,SUV,4X4,5.0,5.0,206 bhp,106 mph,10.5 seconds,40 g/km
mitsubishi,ASX,14995.0,2018,1560cc,"52,976 miles",Diesel,Manual,Brown,SUV,4X4,5.0,5.0,113 bhp,111 mph,11.5 seconds,132 g/km
mitsubishi,ASX,16199.0,2020,2L,"6,000 miles",Petrol,Manual,Blue,Hatchback,4X2,5.0,5.0,147 bhp,118 mph,10.2 seconds,171 g/km
mitsubishi,Outlander,19980.0,2020,2360cc,"22,000 miles",Petrol Plug-in Hybrid,Automatic,White,SUV,4X4,5.0,5.0,221 bhp,106 mph,10.5 seconds,46 g/km
mitsubishi,Outlander,19200.0,2020,2L,"36,773 miles",Petrol,Semiauto,White,SUV,4X4,5.0,7.0,147 bhp,118 mph,13.3 seconds,196 g/km
mitsubishi,Outlander,18995.0,2020,2360cc,"38,779 miles",Petrol,Automatic,Sterling Silver Metallic,Estate,4X4,5.0,5.0,221 bhp,106 mph,10.5 seconds,46 g/km
