Make,Model,Price,Year,Engine Size,Mileage,Fuel Type,Transmission,Color,Body Type,Wheel Drive,Doors,Seats,Engine Power,Top Speed,Acceleration,CO2 Rating
peugeot,208,7976.0,2018,1560cc,"67,757 miles",Diesel,Manual,RED,Hatchback,4X2,5.0,5.0,98 bhp,116 mph,10.7 seconds,90 g/km
peugeot,208,4999.0,2014,1560cc,"91,000 miles",Diesel,Manual,BLUE,Hatchback,4X2,3.0,5.0,115 bhp,118 mph,10.8 seconds,99 g/km
peugeot,108,5250.0,2014,1200cc,"62,406 miles",Petrol,Manual,RED,Hatchback,4X2,5.0,4.0,80 bhp,105 mph,11.4 seconds,99 g/km
peugeot,2008,10999.0,2018,1560cc,"44,251 miles",Diesel,Manual,GREY,Hatchback,4X2,5.0,5.0,99 bhp,112 mph,11.6 seconds,97 g/km
peugeot,3008,13999.0,2018,1500cc,"55,000 miles",Diesel,Manual,BLACK,Hatchback,4X2,5.0,5.0,129 bhp,119 mph,10.8 seconds,109 g/km
peugeot,308,6889.0,2016,1200cc,"52,000 miles",Petrol,Manual,GREY,Hatchback,,,,,,,
peugeot,108,9695.0,2019,998cc,"8,138 miles",Petrol,Manual,RED,Hatchback,,,,,,,
peugeot,407,2695.0,2007,1997cc,"81,000 miles",Diesel,Automatic,GOLD,Saloon,4X2,4.0,5.0,134 bhp,127 mph,10.7 seconds,189 g/km
peugeot,208,6995.0,2016,1560cc,"54,500 miles",Diesel,Manual,BLACK,Hatchback,4X2,5.0,5.0,98 bhp,116 mph,10.7 seconds,90 g/km
peugeot,2008,13995.0,2020,1200cc,"63,922 miles",Petrol,Manual,BLUE,Hatchback,4X2,5.0,5.0,129 bhp,122 mph,,132 g/km
peugeot,5008,19950.0,2019,1500cc,"47,777 miles",Diesel,Automatic,GREEN,Hatchback,4X2,5.0,7.0,129 bhp,118 mph,11.8 seconds,105 g/km
peugeot,3008,18250.0,2019,1.6L,"27,926 miles",Petrol,Semiauto,Grey,SUV,4X2,5.0,5.0,178 bhp,136 mph,8.0 seconds,131 g/km
peugeot,308,13590.0,1199cc,"45,151 miles",Petrol,Automatic,Blue,Hatchback,48.7 mpg,4X2,5.0,5.0,129 bhp,127 mph,9.8 seconds,105 g/km
peugeot,3008,14495.0,1199cc,"44,434 miles",Petrol,Manual,White,SUV,55.4 mpg,4X2,5.0,5.0,129 bhp,117 mph,9.5 seconds,117 g/km
peugeot,208,14690.0,2022,1199cc,"7,273 miles",Petrol,Manual,Yellow,Hatchback,4X2,5.0,5.0,74 bhp,106 mph,,119 g/km
peugeot,208,9942.0,2019,1.2L,"31,267 miles",Petrol,Manual,Black,Hatchback,4X2,5.0,5.0,82 bhp,109 mph,13.5 seconds,110 g/km
peugeot,3008,13098.0,2018,1.6L,"56,907 miles",Diesel,Manual,Red,SUV,4X2,5.0,5.0,118 bhp,117 mph,,104 g/km
peugeot,308,23043.0,2022,1.2L,"12,230 miles",Petrol,Semiauto,Black,Hatchback,4X2,5.0,5.0,129 bhp,130 mph,,130 g/km
peugeot,308,21758.0,2022,1.2L,"13,284 miles",Petrol,Semiauto,Black,Hatchback,4X2,5.0,5.0,129 bhp,130 mph,,128 g/km
