Make,Model,Price,Year,Engine Size,Mileage,Fuel Type,Transmission,Color,Body Type,Wheel Drive,Doors,Seats,Engine Power,Top Speed,Acceleration,CO2 Rating
porsche,911,69990.0,2017,2981cc,"20,000 miles",Petrol,Automatic,WHITE,Convertible,4X4,2.0,4.0,414 bhp,187 mph,4.2 seconds,184 g/km
porsche,Panamera,25990.0,2010,4806cc,"70,000 miles",Petrol,Automatic,BLACK,Hatchback,4X4,5.0,4.0,493 bhp,188 mph,4.2 seconds,286 g/km
porsche,Cayenne,68995.0,2023,2995cc,"5,041 miles",Petrol,Automatic,SILVER,Estate,4X4,5.0,5.0,336 bhp,152 mph,,267 g/km
porsche,Cayman,13000.0,2007,3387cc,"93,469 miles",Petrol,Manual,SILVER,Coupe,4X2,2.0,2.0,295 bhp,171 mph,5.4 seconds,254 g/km
porsche,Boxster,12995.0,2006,2.687L,"40,000 miles",Petrol,Manual,Blue,Convertible,,,,,,,
porsche,Macan,57990.0,2021,2894cc,"16,938 miles",Petrol,Automatic,White,Estate,4X4,5.0,5.0,375 bhp,161 mph,,250 g/km
porsche,Macan,28676.0,2016,3L,"58,600 miles",Diesel,Semiauto,Grey,SUV,4X4,5.0,5.0,255 bhp,142 mph,6.3 seconds,162 g/km
porsche,Cayenne,23495.0,2014,2967cc,"72,000 miles",Diesel,Automatic,Black,SUV,,,,,,,
porsche,Cayenne,29995.0,2015,3604cc,"52,750 miles",Petrol,Automatic,Blue,SUV,4X4,5.0,5.0,414 bhp,160 mph,5.5 seconds,229 g/km
porsche,Macan,35999.0,2016,2997cc,"60,100 miles",Petrol,Automatic,WHITE,Estate,4X4,5.0,5.0,355 bhp,159 mph,5.2 seconds,212 g/km
porsche,Macan,29995.0,2017,2967cc,"56,145 miles",Diesel,Automatic,BLACK,Estate,4X4,5.0,5.0,255 bhp,142 mph,6.3 seconds,162 g/km
porsche,718,66000.0,2022,3995cc,"3,992 miles",Petrol,Manual,Silver,Coupe,,,,,,,
porsche,Cayenne,56000.0,2020,2995cc,"47,300 miles",Petrol Plug-in Hybrid,Automatic,Grey,SUV,4X4,5.0,5.0,456 bhp,157 mph,5.1 seconds,88 g/km
porsche,911,188900.0,2022,3996cc,"2,531 miles",Petrol,Manual,White,Hatchback,4X2,2.0,2.0,504 bhp,199 mph,,294 g/km
porsche,Macan,45995.0,2019,2995cc,"20,399 miles",Petrol,Automatic,Grey,SUV,4X4,5.0,5.0,350 bhp,157 mph,5.3 seconds,200 g/km
porsche,Macan,32495.0,2016,3L,"60,000 miles",Petrol,Semiauto,Silver,SUV,4X4,5.0,5.0,355 bhp,159 mph,5.2 seconds,212 g/km
porsche,Cayenne,19995.0,2015,2967cc,"98,441 miles",Diesel,Automatic,Jet Black,SUV,4X4,5.0,5.0,259 bhp,137 mph,7.3 seconds,179 g/km
porsche,Cayenne,104999.0,2023,3996cc,10 miles,Petrol,,Carrara White Metallic,,,,,,,,
porsche,Cayenne,16990.0,2013,2967cc,"80,000 miles",Diesel,Automatic,White,SUV,4X4,5.0,5.0,241 bhp,136 mph,7.6 seconds,189 g/km
porsche,Boxster,16950.0,2009,3436cc,"79,000 miles",Petrol,Manual,Red,Convertible,4X2,2.0,2.0,306 bhp,170 mph,5.3 seconds,223 g/km
porsche,911,51995.0,2017,2981cc,"54,000 miles",Petrol,Automatic,Black,Coupe,,,,,,,
porsche,911,27950.0,2003,3600cc,"64,239 miles",Petrol,Manual,SILVER,Convertible,4X4,2.0,2.0,315 bhp,174 mph,5.3 seconds,277 g/km
porsche,718,37900.0,2016,1988cc,"28,000 miles",Petrol,Automatic,BLUE,Convertible,4X2,2.0,2.0,295 bhp,170 mph,4.9 seconds,158 g/km
porsche,911,102450.0,2021,2981cc,"22,000 miles",Petrol,Manual,GREY,Coupe,4X2,2.0,4.0,444 bhp,191 mph,,
