Make,Model,Price,Year,Engine Size,Mileage,Fuel Type,Transmission,Color,Body Type,Wheel Drive,Doors,Seats,Engine Power,Top Speed,Acceleration,CO2 Rating
renault,Captur,6799.0,2014,1461cc,"69,000 miles",Diesel,Manual,GREY/BLACK,Hatchback,4X2,5.0,5.0,88 bhp,106 mph,13.1 seconds,95 g/km
renault,Captur,11000.0,2018,898cc,"27,532 miles",Petrol,Manual,BLUE/SILVER,Other,4X2,5.0,5.0,88 bhp,106 mph,13.1 seconds,123 g/km
renault,Clio,6995.0,2013,1461cc,"75,625 miles",Diesel,Manual,GREY,Hatchback,4X2,5.0,5.0,90 bhp,112 mph,11.9 seconds,90 g/km
renault,Kadjar,8795.0,2017,1461cc,"105,378 miles",Diesel,Manual,WHITE,Hatchback,4X2,5.0,5.0,109 bhp,113 mph,11.9 seconds,99 g/km
renault,Captur,15400.0,1461cc,"10,048 miles",Diesel,Manual,White,Hatchback,58.9 mpg,4X2,5.0,5.0,94 bhp,110 mph,,125 g/km
renault,Kadjar,14970.0,2019,1.3L,"19,417 miles",Petrol,Manual,Red,SUV,4X2,5.0,5.0,157 bhp,130 mph,9.9 seconds,135 g/km
renault,Captur,16490.0,2020,1.3L,"9,100 miles",Petrol,Semiauto,Other,SUV,4X2,5.0,5.0,129 bhp,120 mph,,142 g/km
renault,Austral,34890.0,2023,1.2L,"2,507 miles",Hybrid,Semiauto,Other,SUV,4X2,5.0,5.0,200 bhp,108 mph,,106 g/km
renault,Captur,13594.0,2020,1L,"14,302 miles",Petrol,Manual,Other,SUV,4X2,5.0,5.0,99 bhp,107 mph,,137 g/km
renault,Trafic Passenger,15995.0,2018,1598cc,"63,716 miles",Diesel,Manual,Silver,MPV,4X2,5.0,9.0,123 bhp,105 mph,11.8 seconds,145 g/km
renault,Clio,8495.0,2018,1149cc,"28,000 miles",Petrol,Manual,Grey,Hatchback,4X2,5.0,5.0,72 bhp,104 mph,14.5 seconds,127 g/km
renault,Clio,5250.0,2013,898cc,"80,998 miles",Petrol,Manual,Black,Hatchback,4X2,5.0,5.0,90 bhp,113 mph,12.2 seconds,105 g/km
renault,Kadjar,10780.0,2016,1461cc,"55,000 miles",Diesel,Automatic,Black,SUV,4X2,5.0,5.0,109 bhp,112 mph,11.7 seconds,103 g/km
renault,Laguna,1444.0,2006,1998cc,"114,000 miles",Petrol,Manual,Green,Hatchback,4X2,5.0,5.0,135 bhp,129 mph,9.8 seconds,187 g/km
renault,Scenic,1700.0,2006,1598cc,"97,411 miles",Petrol,Manual,Gold,MPV,4X2,5.0,5.0,111 bhp,112 mph,11.8 seconds,182 g/km
renault,Kadjar,11995.0,2017,1461cc,"23,000 miles",Diesel,Manual,RED,Hatchback,4X2,5.0,5.0,109 bhp,113 mph,11.9 seconds,103 g/km
renault,Kadjar,10500.0,2017,1598cc,"52,000 miles",Diesel,Manual,GREY,Hatchback,4X2,5.0,5.0,129 bhp,118 mph,9.9 seconds,117 g/km
renault,Captur,11049.0,2018,898cc,"22,595 miles",Petrol,,Orange,SUV,4X2,5.0,5.0,88 bhp,106 mph,,114 g/km
renault,Kadjar,14249.0,2017,1461cc,"19,995 miles",Diesel,,Blue,SUV,4X2,5.0,5.0,109 bhp,112 mph,11.7 seconds,103 g/km
renault,Captur,11699.0,2020,898cc,"24,594 miles",Petrol,,Grey,SUV,4X2,5.0,5.0,88 bhp,106 mph,13.1 seconds,125 g/km
renault,Clio,10549.0,2019,898cc,"33,282 miles",Petrol,,Black,Hatchback,4X2,5.0,5.0,88 bhp,110 mph,12.1 seconds,117 g/km
renault,Clio,15449.0,2022,999cc,"6,681 miles",Petrol,,Red,Hatchback,4X2,5.0,5.0,90 bhp,112 mph,,119 g/km
renault,Captur,11849.0,2018,1461cc,"33,338 miles",Diesel,,Orange,SUV,4X2,5.0,5.0,88 bhp,107 mph,13.8 seconds,113 g/km
renault,Kadjar,14299.0,2019,1333cc,"40,399 miles",Petrol,,Grey,SUV,4X2,5.0,5.0,138 bhp,126 mph,10.4 seconds,134 g/km
renault,Trafic,27598.0,2022,2L,"5,554 miles",Diesel,Manual,Grey,van,4X2,,,130 bhp,109 mph,,
renault,Arkana,23995.0,2021,1.6L,"11,689 miles",Hybrid,Semiauto,Red,SUV,,,,,,,
renault,Kadjar,15599.0,2020,1.3L,"12,252 miles",Petrol,Manual,White,SUV,,,,,,,
renault,Captur,8999.0,2016,1.5L,"30,329 miles",Diesel,Manual,Other,SUV,,,,,,,
renault,Koleos,19160.0,2019,2L,"19,246 miles",Diesel,Automatic,Silver,SUV,4X4,5.0,5.0,174 bhp,128 mph,10.2 seconds,168 g/km
renault,Captur,9965.0,2019,0.9L,"41,000 miles",Petrol,Manual,Other,SUV,4X2,5.0,5.0,88 bhp,106 mph,13.1 seconds,122 g/km
renault,Captur,25293.0,2023,1.6L,"1,311 miles",Hybrid,Automatic,Other,SUV,4X2,5.0,5.0,141 bhp,112 mph,,107 g/km
renault,Kadjar,21285.0,2022,1.3L,"9,053 miles",Petrol,Semiauto,Black,SUV,4X2,5.0,5.0,138 bhp,124 mph,,141 g/km
renault,Kadjar,14258.0,2020,1.3L,"12,963 miles",Petrol,Manual,Blue,SUV,4X2,5.0,5.0,138 bhp,126 mph,10.4 seconds,151 g/km
renault,Trafic,18495.0,2017,1.6L,"62,000 miles",Diesel,Manual,Blue,MPV,4X2,5.0,9.0,123 bhp,105 mph,11.8 seconds,145 g/km
renault,Captur,10695.0,2019,0.9L,"32,831 miles",Petrol,Manual,Other,SUV,4X2,5.0,5.0,88 bhp,106 mph,13.1 seconds,125 g/km
