Make,Model,Price,Year,Engine Size,Mileage,Fuel Type,Transmission,Color,Body Type,Wheel Drive,Doors,Seats,Engine Power,Top Speed,Acceleration,CO2 Rating
smart,Fortwo,3298.0,2009,999cc,"54,000 miles",Petrol,Automatic,BLACK/SILVER,Coupe,4X2,2.0,2.0,70 bhp,90 mph,13.3 seconds,104 g/km
smart,Fortwo,7750.0,2015,898cc,"33,000 miles",Petrol,Manual,WHITE,Coupe,4X2,2.0,2.0,88 bhp,96 mph,10.4 seconds,97 g/km
smart,Forfour,6299.0,2016,999cc,"64,741 miles",Petrol,Manual,RED,Hatchback,4X2,5.0,4.0,70 bhp,94 mph,15.9 seconds,97 g/km
smart,Fortwo,12995.0,2018,898cc,"16,000 miles",Petrol,Automatic,Silver,Convertible,4X2,2.0,2.0,88 bhp,96 mph,11.7 seconds,97 g/km
smart,Fortwo,4700.0,2015,999cc,"82,000 miles",Petrol,Manual,White,Coupe,4X2,2.0,2.0,70 bhp,94 mph,14.4 seconds,93 g/km
smart,Forfour,6290.0,2015,898cc,"65,474 miles",Petrol,Manual,White,Hatchback,4X2,5.0,4.0,88 bhp,102 mph,11.2 seconds,99 g/km
smart,Fortwo,2595.0,2012,999cc,"74,000 miles",Petrol,Automatic,Black,Coupe,4X2,2.0,2.0,70 bhp,90 mph,13.7 seconds,98 g/km
smart,Forfour,6995.0,2015,999cc,"25,000 miles",Petrol,Manual,BLACK,Hatchback,4X2,5.0,4.0,70 bhp,94 mph,15.9 seconds,97 g/km
smart,Fortwo,4475.0,2012,999cc,"57,664 miles",Petrol,Automatic,White,Coupe,4X2,2.0,2.0,83 bhp,90 mph,10.7 seconds,115 g/km
smart,Forfour,7995.0,2016,898cc,"39,766 miles",Petrol,Manual,WHITE,Hatchback,4X2,5.0,4.0,88 bhp,102 mph,11.2 seconds,99 g/km
smart,Fortwo,8295.0,2015,1L,"14,420 miles",Petrol,Automatic,Black,Coupe,4X2,2.0,2.0,70 bhp,94 mph,15.1 seconds,94 g/km
smart,Fortwo,8249.0,2017,999cc,"53,527 miles",Petrol,,Silver,Coupe,4X2,2.0,2.0,70 bhp,94 mph,15.1 seconds,94 g/km
smart,Fortwo,7599.0,2018,999cc,"26,711 miles",Petrol,,Black,Coupe,4X2,2.0,2.0,70 bhp,94 mph,14.4 seconds,93 g/km
smart,Fortwo,7795.0,2015,898cc,"37,000 miles",Petrol,Automatic,BLACK,Coupe,4X2,2.0,2.0,88 bhp,96 mph,10.4 seconds,96 g/km
smart,Forfour,13500.0,2018,0.9L,"22,030 miles",Petrol,Automatic,White,Hatchback,4X2,5.0,4.0,107 bhp,112 mph,,104 g/km
smart,Fortwo,10995.0,2017,999cc,"20,000 miles",Petrol,Automatic,BLACK,Convertible,4X2,2.0,2.0,70 bhp,94 mph,15.5 seconds,99 g/km
smart,Fortwo,9740.0,2019,999cc,"36,624 miles",Petrol,Manual,Orange,Convertible,4X2,2.0,2.0,70 bhp,94 mph,14.9 seconds,115 g/km
smart,Fortwo,9699.0,2017,898cc,"41,955 miles",Petrol,,Black,Coupe,4X2,2.0,2.0,88 bhp,96 mph,10.4 seconds,96 g/km
