Make,Model,Price,Year,Engine Size,Mileage,Fuel Type,Transmission,Color,Body Type,Wheel Drive,Doors,Seats,Engine Power,Top Speed,Acceleration,CO2 Rating
tesla,Model 3,23495.0,2019,1L,"58,477 miles",Other,Automatic,WHITE,Saloon,4X4,4.0,5.0,302 bhp,140 mph,4.5 seconds,0 g/km
tesla,Model 3,25990.0,2020,"49,684 miles",Electric,Automatic,White,Saloon,0.1 mpg,4X4,4.0,5.0,302 bhp,140 mph,4.5 seconds,0 g/km
tesla,Model 3,22760.0,2020,"41,709 miles",Electric,Automatic,Grey,Saloon,0.1 mpg,4X2,4.0,5.0,302 bhp,140 mph,5.6 seconds,0 g/km
tesla,Model 3,28990.0,2020,"19,893 miles",Electric,Automatic,Grey,Saloon,0.1 mpg,4X4,4.0,5.0,302 bhp,140 mph,4.5 seconds,0 g/km
tesla,Model 3,27540.0,2020,1L,"47,245 miles",Other,Automatic,WHITE,Saloon,4X2,4.0,5.0,302 bhp,140 mph,5.6 seconds,0 g/km
tesla,Model 3,25295.0,2020,1L,"29,000 miles",Other,Automatic,GREY,Saloon,4X2,4.0,5.0,302 bhp,140 mph,5.6 seconds,0 g/km
tesla,Model X,48495.0,2019,1L,"38,000 miles",Other,Automatic,WHITE,Hatchback,4X4,5.0,7.0,88 bhp,,,0 g/km
tesla,Model 3,28644.0,2020,1L,"16,148 miles",Other,Automatic,RED,Saloon,4X4,4.0,5.0,302 bhp,140 mph,4.5 seconds,0 g/km
tesla,Model 3,22944.0,2020,1L,"43,657 miles",Other,Automatic,RED,Saloon,4X2,4.0,5.0,302 bhp,140 mph,5.6 seconds,0 g/km
tesla,Model 3,23999.0,2020,"34,151 miles",Electric,,White,Saloon,0.1 mpg,4X2,4.0,5.0,302 bhp,140 mph,5.6 seconds,0 g/km
tesla,Model 3,22800.0,2020,"79,490 miles",Electric,Automatic,White,Saloon,0.1 mpg,4X4,4.0,5.0,302 bhp,140 mph,4.5 seconds,0 g/km
tesla,Model 3,31740.0,2020,1L,"28,643 miles",Other,Automatic,WHITE,Saloon,4X4,4.0,5.0,302 bhp,140 mph,4.5 seconds,0 g/km
tesla,Model 3,31140.0,2020,1L,"47,430 miles",Other,Automatic,GREY,Saloon,4X4,4.0,5.0,302 bhp,140 mph,4.5 seconds,0 g/km
