Make,Model,Price,Year,Engine Size,Mileage,Fuel Type,Transmission,Color,Body Type,Wheel Drive,Doors,Seats,Engine Power,Top Speed,Acceleration,CO2 Rating
unknown,OTHER,17995.0,2021,998cc,"18,300 miles",Petrol,Manual,Red,Hatchback,4X2,5.0,5.0,99 bhp,113 mph,,120 g/km
unknown,OTHER,4399.0,2023,693cc,307 miles,Petrol,Manual,White,Other,Chain,,,70 bhp,,,115 g/km
unknown,OTHER,78000.0,2023,0L,200 miles,Diesel,Automatic,WHITE,Other,,,,,,,
unknown,Unknown,49950.0,2023,2993cc,"2,599 miles",Diesel,Automatic,GREY,Van,,,,,,,
unknown,Unknown,19945.0,2021,1996cc,"14,762 miles",Diesel,Manual,White,Van,4X2,,,159 bhp,90 mph,,
unknown,Unknown,24900.0,2015,4485cc,"39,000 miles",Diesel,Other,White,Van,4X2,,,158 bhp,,,
unknown,Unknown,26500.0,2018,4485cc,0 miles,Diesel,Other,White,Van,4X2,,,158 bhp,,,
unknown,Unknown,23995.0,2023,1996cc,10 miles,Diesel,Manual,White,Van,,,,,,,
unknown,Unknown,22195.0,2021,1968cc,"91,000 miles",Diesel,Manual,White,Van,4X2,,,138 bhp,98 mph,,
unknown,Unknown,36950.0,2020,4500cc,"23,052 miles",Diesel,Manual,White,Van,4X2,,,181 bhp,,,
unknown,Unknown,26495.0,2023,1996cc,10 miles,Diesel,Manual,White,Van,4X2,5.0,5.0,139 bhp,106 mph,,
unknown,OTHER,8499.0,2017,1200cc,"35,509 miles",Petrol,Manual,GREEN,Hatchback,4X2,3.0,5.0,80 bhp,108 mph,,107 g/km
unknown,Unknown,9000.0,2011,3920cc,"195,000 miles",Diesel,Automatic,Green,Van,4X2,,,159 bhp,,,
