Make,Model,Price,Year,Engine Size,Mileage,Fuel Type,Transmission,Color,Body Type,Wheel Drive,Doors,Seats,Engine Power,Top Speed,Acceleration,CO2 Rating
vauxhall,Corsa,4488.0,2014,1229cc,"77,000 miles",Petrol,Manual,WHITE,Hatchback,4X2,3.0,5.0,84 bhp,107 mph,13.9 seconds,129 g/km
vauxhall,Corsa,3990.0,2013,1229cc,"83,314 miles",Petrol,Manual,BROWN,Hatchback,4X2,5.0,5.0,83 bhp,107 mph,13.6 seconds,129 g/km
vauxhall,Astra,7374.0,2016,1399cc,"83,345 miles",Petrol,Manual,BLACK,Hatchback,4X2,5.0,5.0,147 bhp,134 mph,8.3 seconds,128 g/km
vauxhall,Astra,6799.0,2014,1956cc,"53,400 miles",Diesel,Automatic,BROWN,Estate,4X2,5.0,5.0,162 bhp,129 mph,9.8 seconds,154 g/km
vauxhall,GTC,5500.0,2012,1956cc,"67,250 miles",Diesel,Automatic,WHITE,Hatchback,4X2,3.0,5.0,162 bhp,129 mph,9.2 seconds,151 g/km
vauxhall,Insignia,4995.0,2016,1598cc,"99,479 miles",Diesel,Manual,WHITE,Hatchback,4X2,5.0,5.0,134 bhp,130 mph,10.9 seconds,99 g/km
vauxhall,Corsa,7470.0,2019,1398cc,"32,525 miles",Petrol,Automatic,SILVER,Hatchback,4X2,5.0,5.0,89 bhp,106 mph,13.9 seconds,143 g/km
vauxhall,Zafira,5690.0,2013,1364cc,"79,361 miles",Petrol,Manual,GREY,MPV,4X2,5.0,7.0,138 bhp,124 mph,10.8 seconds,154 g/km
vauxhall,Corsa,6990.0,2018,1364cc,"69,978 miles",Petrol,Manual,GREY,Hatchback,4X2,5.0,5.0,99 bhp,115 mph,,119 g/km
vauxhall,Mokka,6795.0,2015,1686cc,"68,524 miles",Diesel,Manual,WHITE,Hatchback,4X2,5.0,5.0,129 bhp,119 mph,10.0 seconds,120 g/km
vauxhall,Grandland X,11488.0,2018,1199cc,"52,580 miles",Petrol,Manual,BLACK,Hatchback,4X2,5.0,5.0,128 bhp,117 mph,9.5 seconds,117 g/km
vauxhall,Zafira,4295.0,2013,1598cc,"84,821 miles",Petrol,Manual,BLACK,MPV,4X2,5.0,7.0,113 bhp,115 mph,13.4 seconds,157 g/km
vauxhall,Mokka X,11295.0,2019,1.4L,"26,505 miles",Petrol,Manual,Black,SUV,4X2,5.0,5.0,138 bhp,122 mph,9.3 seconds,150 g/km
