Make,Model,Price,Year,Engine Size,Mileage,Fuel Type,Transmission,Color,Body Type,Wheel Drive,Doors,Seats,Engine Power,Top Speed,Acceleration,CO2 Rating
yamaha,XV 1900 A,7500.0,2009,1854cc,"17,868 miles",Petrol,Manual,Black,bike,,,,,,,
yamaha,MT-09 1 PREVIOUS OWNER,5690.0,2015,847cc,"10,372 miles",Petrol,Manual,Grey,bike,,,,,,,
yamaha,MT-03 1 PREVIOUS OWNER,3590.0,2019,321cc,"7,051 miles",Petrol,Manual,Grey,bike,,,,40 bhp,,,
yamaha,XVS650 COMES WITH PANNIERS,3990.0,2008,650cc,"19,446 miles",Petrol,Manual,Black,bike,,,,,,,
yamaha,XMAX 300 1 PREVIOUS OWNER,3790.0,2019,292cc,"7,514 miles",Petrol,Automatic,Grey,bike,,,,28 bhp,,,
yamaha,XVS950 1 PREVIOUS OWNER,3990.0,2013,942cc,"33,834 miles",Petrol,Manual,Black,bike,,,,,,,
yamaha,R1,2590.0,1998,998cc,"30,224 miles",Petrol,Manual,Blue,bike,,,,,,,
yamaha,XJ900 Diversion FULL LUGGAGE,1990.0,1999,892cc,"55,564 miles",Petrol,Manual,Red,bike,,,,,,,
yamaha,FJR1300 1 OWNER FROM NEW,3790.0,2004,1298cc,"28,786 miles",Petrol,Manual,Blue,bike,,,,,,,
yamaha,TDM850,2190.0,1994,849cc,"18,125 miles",Petrol,Manual,Green,bike,,,,,,,
yamaha,XJ6,2790.0,2011,599cc,"30,198 miles",Petrol,Manual,Blue,bike,,,,,,,
yamaha,MT-09 TRACER Naked,6000.0,2017,847cc,"11,200 miles",Other,Other,Grey,Bike,,,,114 bhp,,,
yamaha,FZS1000,1590.0,2001,998cc,"50,654 miles",Petrol,Manual,Black,bike,,,,,,,
yamaha,XV535,2290.0,1993,535cc,"12,683 miles",Petrol,Manual,Red,Custom,,,,,,,
yamaha,Royal Star Venture,3490.0,1985,1294cc,"41,875 miles",Petrol,Manual,Brown,bike,,,,,,,
yamaha,XV1100 Virago,3790.0,1992,1063cc,"15,230 miles",Petrol,Manual,Blue,bike,,,,,,,
yamaha,Tracer 900 GT 1 OWNER FROM NEW,7490.0,2018,847cc,"12,082 miles",Petrol,Manual,Blue,bike,,,,113 bhp,,,
