Make,Model,Price,Year,Engine Size,Mileage,Fuel Type,Transmission,Color,Body Type,Wheel Drive,Doors,Seats,Engine Power,Top Speed,Acceleration,CO2 Rating
ds,DS 3,13572.0,2019,1.2L,"24,860 miles",Petrol,Manual,White,SUV,4X2,5.0,5.0,99 bhp,112 mph,,107 g/km
ds,DS 3,13295.0,2019,1.2L,"26,896 miles",Petrol,Manual,White,SUV,4X2,5.0,5.0,99 bhp,112 mph,,107 g/km
ds,DS 3,7995.0,2016,1199cc,"47,000 miles",Petrol,Manual,Purple,Hatchback,4X2,3.0,5.0,129 bhp,127 mph,8.9 seconds,105 g/km
ds,DS 3 Crossback,16949.0,2021,1499cc,"13,420 miles",Diesel,,White,SUV,4X2,5.0,5.0,101 bhp,112 mph,,121 g/km
ds,DS 3 Crossback,19349.0,2021,1199cc,"12,878 miles",Petrol,,Grey,SUV,4X2,5.0,5.0,129 bhp,124 mph,,138 g/km
ds,DS 3 Crossback,17849.0,2021,1199cc,"14,911 miles",Petrol,,Grey,SUV,4X2,5.0,5.0,129 bhp,124 mph,,138 g/km
ds,DS 3 Crossback,15599.0,2019,1199cc,"28,752 miles",Petrol,,White,SUV,4X2,5.0,5.0,153 bhp,129 mph,,115 g/km
ds,DS 3,13999.0,2020,1.5L,"45,532 miles",Diesel,Manual,Black,SUV,,,,,,,
ds,DS 4,8383.0,2015,1.6L,"35,388 miles",Diesel,Manual,White,Hatchback,4X2,5.0,5.0,118 bhp,117 mph,10.8 seconds,103 g/km
ds,DS 5,8350.0,2016,2000cc,"92,273 miles",Diesel,Manual,Black,Other,4X2,5.0,5.0,147 bhp,127 mph,10.6 seconds,105 g/km
ds,DS 4 Crossback,8995.0,1199cc,"42,363 miles",Petrol,Manual,Grey,Hatchback,54.3 mpg,4X2,5.0,5.0,129 bhp,123 mph,9.9 seconds,116 g/km
ds,DS 3,18750.0,2019,1.2L,"19,500 miles",Petrol,Semiauto,Other,SUV,4X2,5.0,5.0,153 bhp,129 mph,,123 g/km
ds,DS 4,30000.0,2022,1.6L,"10,073 miles",Hybrid,Semiauto,Other,Hatchback,4X2,5.0,5.0,225 bhp,145 mph,,30 g/km
ds,DS 4,32000.0,2022,1.6L,"2,250 miles",Hybrid,Semiauto,Black,Hatchback,4X2,5.0,5.0,225 bhp,145 mph,,30 g/km
ds,DS 3,17500.0,2019,1.2L,"20,000 miles",Petrol,Semiauto,Grey,SUV,4X2,5.0,5.0,129 bhp,124 mph,,111 g/km
ds,DS 3,21000.0,2021,1.2L,"4,891 miles",Petrol,Semiauto,Grey,SUV,4X2,5.0,5.0,129 bhp,124 mph,,138 g/km
ds,DS 7 Crossback,19750.0,2019,1.6L,"24,098 miles",Petrol,Semiauto,Red,SUV,4X2,5.0,5.0,178 bhp,137 mph,10.2 seconds,134 g/km
ds,DS 3,17450.0,2020,1.2L,"17,929 miles",Petrol,Semiauto,Grey,SUV,4X2,5.0,5.0,129 bhp,124 mph,,141 g/km
ds,DS 7 Crossback,22950.0,2018,2L,"27,014 miles",Diesel,Semiauto,Other,SUV,4X2,5.0,5.0,180 bhp,134 mph,9.4 seconds,128 g/km
ds,DS 3,15990.0,2021,1.2L,"30,292 miles",Petrol,Manual,Grey,SUV,4X2,5.0,5.0,99 bhp,112 mph,,129 g/km
ds,DS 7 Crossback,19495.0,2019,1.6L,"19,247 miles",Petrol,Semiauto,Black,SUV,4X2,5.0,5.0,178 bhp,137 mph,10.2 seconds,122 g/km
ds,DS 3,6450.0,2016,1560cc,"92,000 miles",Diesel,Manual,White,Hatchback,4X2,3.0,5.0,118 bhp,118 mph,9.0 seconds,94 g/km
ds,DS 3,15989.0,2022,1L,208 miles,Other,Automatic,GREY,Hatchback,4X2,5.0,5.0,134 bhp,93 mph,,0 g/km
ds,DS 3,7299.0,2016,1199cc,"48,021 miles",Petrol,,Red,Hatchback,4X2,3.0,5.0,80 bhp,108 mph,12.3 seconds,107 g/km
ds,DS 3,16995.0,2021,1500cc,"13,098 miles",Diesel,Manual,White,Hatchback,4X2,5.0,5.0,101 bhp,112 mph,,121 g/km
