Make,Model,Price,Year,Engine Size,Mileage,Fuel Type,Transmission,Color,Body Type,Wheel Drive,Doors,Seats,Engine Power,Top Speed,Acceleration,CO2 Rating
fiat,500,3495.0,2011,1242cc,"85,906 miles",Petrol,Manual,RED,Convertible,4X2,3.0,4.0,68 bhp,99 mph,12.9 seconds,113 g/km
fiat,500,6600.0,2014,1242cc,"33,250 miles",Petrol,Manual,WHITE,Hatchback,4X2,3.0,4.0,68 bhp,99 mph,12.9 seconds,113 g/km
fiat,500X,14750.0,2020,1332cc,"17,707 miles",Petrol,Automatic,BEIGE,Hatchback,4X2,5.0,5.0,147 bhp,124 mph,9.1 seconds,128 g/km
fiat,500,4450.0,2013,1242cc,"74,877 miles",Petrol,Manual,BLACK,Hatchback,4X2,3.0,4.0,68 bhp,99 mph,12.9 seconds,113 g/km
fiat,500,9144.0,2020,1242cc,"25,000 miles",Petrol,Manual,Red,Hatchback,4X2,3.0,4.0,68 bhp,101 mph,12.9 seconds,108 g/km
fiat,500,2995.0,2013,1242cc,"98,000 miles",Petrol,Manual,Black,Hatchback,4X2,3.0,4.0,68 bhp,99 mph,12.9 seconds,113 g/km
fiat,500,3495.0,2013,1.24L,"93,627 miles",Petrol,Manual,Blue,Hatchback,4X2,3.0,4.0,68 bhp,99 mph,12.9 seconds,113 g/km
fiat,500,9925.0,2018,0.9L,"5,661 miles",Petrol,Manual,Grey,Hatchback,4X2,3.0,4.0,83 bhp,107 mph,11.0 seconds,90 g/km
fiat,Qubo,7695.0,2017,1248cc,"73,000 miles",Diesel,Manual,Red,MPV,4X2,5.0,5.0,79 bhp,100 mph,13.9 seconds,118 g/km
fiat,500X,5779.0,2016,1400cc,"96,100 miles",Petrol,Manual,Passione Red,SUV,4X2,5.0,5.0,138 bhp,118 mph,9.8 seconds,139 g/km
fiat,Panda,3850.0,2016,1242cc,"88,750 miles",Petrol,Manual,White,Hatchback,4X2,5.0,5.0,67 bhp,99 mph,14.2 seconds,119 g/km
fiat,500,4291.0,2014,1242cc,"53,000 miles",Petrol,Manual,White,Hatchback,4X2,3.0,4.0,68 bhp,99 mph,12.9 seconds,113 g/km
fiat,Doblo,8995.0,2015,1598cc,"45,644 miles",Diesel,Manual,Grey,MPV,4X2,5.0,5.0,103 bhp,102 mph,13.4 seconds,145 g/km
fiat,500,5795.0,2013,1200cc,"34,895 miles",Petrol,Manual,White,Other,4X2,3.0,4.0,68 bhp,99 mph,12.9 seconds,113 g/km
fiat,Punto,1895.0,2009,1400cc,"85,459 miles",Petrol,Manual,Grey,Other,4X2,5.0,5.0,76 bhp,103 mph,13.6 seconds,139 g/km
fiat,500,7199.0,2014,1368cc,"58,915 miles",Petrol,Manual,WHITE,Hatchback,4X2,3.0,4.0,133 bhp,129 mph,7.9 seconds,155 g/km
fiat,500,10499.0,2020,999cc,"23,893 miles",Petrol,,White,Hatchback,4X2,3.0,4.0,68 bhp,104 mph,,119 g/km
fiat,500C,11599.0,2019,1242cc,"11,980 miles",Petrol,,Black,Convertible,4X2,2.0,4.0,68 bhp,101 mph,12.9 seconds,111 g/km
fiat,500,8649.0,2018,1242cc,"28,791 miles",Petrol,,Red,Hatchback,4X2,3.0,4.0,68 bhp,101 mph,12.9 seconds,116 g/km
fiat,500,8049.0,2017,1242cc,"40,685 miles",Petrol,,White,Hatchback,4X2,3.0,4.0,68 bhp,99 mph,12.9 seconds,110 g/km
