Make,Model,Price,Year,Engine Size,Mileage,Fuel Type,Transmission,Color,Body Type,Wheel Drive,Doors,Seats,Engine Power,Top Speed,Acceleration,CO2 Rating
ford,Galaxy,5999.0,2012,1997cc,"98,542 miles",Diesel,Manual,BLACK,MPV,4X2,5.0,7.0,161 bhp,126 mph,9.8 seconds,149 g/km
ford,EcoSport,6190.0,2015,998cc,"81,500 miles",Petrol,Manual,BLUE,Hatchback,4X2,5.0,5.0,123 bhp,112 mph,12.7 seconds,125 g/km
ford,S-MAX,8295.0,2014,1997cc,"71,129 miles",Diesel,Automatic,BLUE,MPV,4X2,5.0,7.0,138 bhp,119 mph,10.9 seconds,149 g/km
ford,Fiesta,6000.0,2014,998cc,"72,600 miles",Petrol,Manual,BLACK,Hatchback,4X2,3.0,5.0,138 bhp,125 mph,9.0 seconds,104 g/km
ford,Transit Connect,16989.0,2017,1499cc,"51,000 miles",Diesel,Automatic,GREY,Other,4X2,,,118 bhp,,,129 g/km
ford,Transit Connect,9995.0,2015,1560cc,"104,105 miles",Diesel,Manual,WHITE,Other,4X2,,,94 bhp,,,124 g/km
ford,Focus,4990.0,2008,2521cc,"103,800 miles",Petrol,Manual,WHITE,Hatchback,4X2,3.0,5.0,224 bhp,150 mph,6.8 seconds,224 g/km
ford,Kuga,19480.0,2020,1995cc,"47,496 miles",Diesel,Manual,BLACK,Hatchback,4X2,5.0,5.0,148 bhp,121 mph,,136 g/km
ford,Focus,4499.0,2006,2521cc,"103,000 miles",Petrol,Manual,BLUE,Hatchback,4X2,5.0,5.0,226 bhp,152 mph,6.5 seconds,224 g/km
ford,Fiesta,12494.0,2015,1596cc,"69,800 miles",Petrol,Manual,RED,Hatchback,4X2,3.0,5.0,180 bhp,122 mph,6.9 seconds,138 g/km
ford,Kuga,11990.0,2018,1498cc,"77,000 miles",Petrol,Automatic,BLACK,Hatchback,4X4,5.0,5.0,176 bhp,122 mph,11.4 seconds,208 g/km
ford,EcoSport,8599.0,2016,1499cc,"55,989 miles",Diesel,Manual,WHITE,Hatchback,4X2,5.0,5.0,94 bhp,99 mph,14.0 seconds,115 g/km
ford,Transit Custom,19788.0,2020,1995cc,"39,821 miles",Diesel,Manual,WHITE,Other,4X2,,,104 bhp,99 mph,,161 g/km
ford,Transit Custom,31188.0,2020,1995cc,"35,448 miles",Diesel,Automatic,GREY,Other,4X2,,,168 bhp,99 mph,,168 g/km
ford,Transit Courier,9890.0,2019,1499cc,"96,114 miles",Diesel,Manual,GREY,Other,4X2,,,98 bhp,109 mph,,117 g/km
ford,Fiesta,7399.0,2017,1084cc,"56,000 miles",Petrol,Manual,RED,Hatchback,4X2,3.0,5.0,84 bhp,105 mph,13.8 seconds,101 g/km
ford,Fiesta,12995.0,2021,999cc,"22,445 miles",Petrol,Manual,BLACK,Hatchback,4X2,5.0,5.0,94 bhp,110 mph,,118 g/km
ford,Kuga,11000.0,2016,1997cc,"75,230 miles",Diesel,Manual,BLUE,Hatchback,4X2,5.0,5.0,147 bhp,121 mph,10.1 seconds,122 g/km
ford,Focus,4995.0,2013,1560cc,"93,786 miles",Diesel,Manual,WHITE,Hatchback,4X2,5.0,5.0,113 bhp,120 mph,10.9 seconds,109 g/km
ford,Fiesta,5450.0,2014,998cc,"73,877 miles",Petrol,Manual,YELLOW,Hatchback,4X2,3.0,5.0,99 bhp,112 mph,11.2 seconds,99 g/km
ford,Fiesta,7995.0,2019,998cc,"92,000 miles",Petrol,Manual,GREY,Hatchback,4X2,5.0,5.0,98 bhp,113 mph,10.6 seconds,110 g/km
ford,Fiesta,6700.0,2017,1241.0cc,"40,818 miles",Petrol,Manual,Metallic Paint,Hatchback,4X2,5.0,5.0,80 bhp,104 mph,13.3 seconds,120 g/km
ford,Transit Custom,38158.0,2023,2L,"6,353 miles",Diesel,Manual,Grey,van,4X2,,,168 bhp,99 mph,,
