Make,Model,Price,Year,Engine Size,Mileage,Fuel Type,Transmission,Color,Body Type,Wheel Drive,Doors,Seats,Engine Power,Top Speed,Acceleration,CO2 Rating
harley-davidson,Flhcs Heritage STC 114 18,19995.0,2022,1868cc,"3,215 miles",Petrol,Manual,Black,bike,,,,94 bhp,,,
harley-davidson,Dyna LOW RIDER,6790.0,2005,1450cc,"27,655 miles",Petrol,Manual,Multicolour,bike,,,,,,,
harley-davidson,Softail FLFBS FATBOY 114,22995.0,2022,1868cc,303 miles,Petrol,Manual,Black,Motorcycle,,,,94 bhp,,,
harley-davidson,Sportster PANNIERS,4790.0,2004,883cc,"4,089 miles",Petrol,Manual,Silver,bike,,,,,,,
harley-davidson,Sportster,4990.0,2007,883cc,"11,054 miles",Petrol,Manual,Black,bike,,,,,,,
harley-davidson,Softail DEUCE EFI,7490.0,2004,1450cc,"18,846 miles",Petrol,Manual,Multicolour,bike,,,,,,,
harley-davidson,Dyna 1584 FXDB Street Bob 1 Owner Dyna,7400.0,2008,1584cc,"23,000 miles",Petrol,Manual,Black,bike,,,,,,,
harley-davidson,Dyna 100TH ANNIVERSARY,6290.0,2002,1450cc,"18,311 miles",Petrol,Manual,Grey,bike,,,,,,,
harley-davidson,XL 1200 C Custom Sportste Vance and Hines Exhaust,7995.0,2018,1202cc,"22,439 miles",Petrol,Manual,Black,bike,,,,67 bhp,,,
harley-davidson,Dyna FXDWG 100TH ANNIVERSARY,6590.0,2003,1450cc,"45,228 miles",Petrol,Manual,Multicolour,bike,,,,,,,
harley-davidson,XL 1000 // Sportster Ironhead // 1000cc // px swap,4990.0,1982,1L,"4,300 miles",Petrol,Automatic,Black,Bike,,,,,,,
