Make,Model,Price,Year,Engine Size,Mileage,Fuel Type,Transmission,Color,Body Type,Wheel Drive,Doors,Seats,Engine Power,Top Speed,Acceleration,CO2 Rating
honda,HRV,9995.0,2016,1597cc,"70,000 miles",Diesel,Manual,RED,Hatchback,4X2,5.0,5.0,118 bhp,119 mph,10.2 seconds,108 g/km
honda,CRV,9890.0,2014,2199cc,"75,261 miles",Diesel,Manual,SILVER,Estate,4X4,5.0,5.0,147 bhp,118 mph,9.7 seconds,149 g/km
honda,CRV,2500.0,2008,2204cc,"152,800 miles",Diesel,Manual,Blue,SUV,4X4,5.0,5.0,138 bhp,116 mph,10.3 seconds,173 g/km
honda,CRV,17412.0,2017,1597cc,"39,228 miles",Diesel,Automatic,Silver,Other,4X4,5.0,5.0,158 bhp,122 mph,10.4 seconds,139 g/km
honda,CRV,28990.0,2020,1993cc,"15,690 miles",Hybrid,Automatic,Red,Other,4X4,5.0,5.0,143 bhp,112 mph,9.2 seconds,168 g/km
honda,CRV,33291.0,2023,1993cc,"2,200 miles",Hybrid,Automatic,Blue,Estate,4X2,5.0,5.0,143 bhp,112 mph,,151 g/km
honda,HRV,26290.0,2022,1.5L,"5,415 miles",Hybrid,Automatic,White,SUV,4X2,5.0,5.0,129 bhp,106 mph,,122 g/km
honda,CRV,27290.0,2021,2L,"13,398 miles",Hybrid,Automatic,Grey,SUV,4X2,5.0,5.0,143 bhp,112 mph,,151 g/km
honda,CRV,18450.0,2018,1.6L,"33,924 miles",Diesel,Manual,White,SUV,4X4,5.0,5.0,158 bhp,125 mph,9.9 seconds,133 g/km
honda,Civic,11879.0,2019,1600cc,"74,800 miles",Diesel,Automatic,Black,Hatchback,4X2,5.0,5.0,118 bhp,124 mph,10.9 seconds,109 g/km
honda,Jazz,13990.0,2018,1.3L,"5,320 miles",Petrol,Automatic,Blue,Hatchback,4X2,5.0,5.0,101 bhp,113 mph,12.2 seconds,111 g/km
honda,Civic,10850.0,2019,988cc,"26,000 miles",Petrol,Manual,Grey,Hatchback,4X2,5.0,5.0,125 bhp,126 mph,,110 g/km
honda,Civic,3490.0,2009,1339cc,"84,000 miles",Petrol,Manual,Silver,Hatchback,4X2,3.0,5.0,98 bhp,110 mph,13.0 seconds,135 g/km
honda,Jazz,8250.0,2013,1339cc,"56,000 miles",Petrol,Automatic,Blue,Hatchback,4X2,5.0,5.0,98 bhp,109 mph,13.1 seconds,128 g/km
honda,CRV,2795.0,2007,2200cc,"104,376 miles",Diesel,Manual,Blue And Silver,Other,4X4,5.0,5.0,138 bhp,116 mph,10.3 seconds,173 g/km
honda,Jazz,4990.0,2009,1339cc,"24,148 miles",Petrol,Manual,RED,Hatchback,4X2,5.0,5.0,98 bhp,113 mph,11.8 seconds,130 g/km
honda,Civic,12799.0,2017,988cc,"52,232 miles",Petrol,,White,Hatchback,4X2,5.0,5.0,127 bhp,124 mph,,114 g/km
honda,CRV,18749.0,2016,1597cc,"19,309 miles",Diesel,,Black,SUV,4X4,5.0,5.0,158 bhp,122 mph,10.2 seconds,139 g/km
