Make,Model,Price,Year,Engine Size,Mileage,Fuel Type,Transmission,Color,Body Type,Wheel Drive,Doors,Seats,Engine Power,Top Speed,Acceleration,CO2 Rating
jaguar,E-PACE,23000.0,2017,1997cc,"46,500 miles",Petrol,Automatic,BLACK,Estate,4X4,5.0,5.0,246 bhp,143 mph,6.7 seconds,174 g/km
jaguar,XE,11495.0,2015,1999cc,"58,958 miles",Diesel,Automatic,GREY,Saloon,4X2,4.0,5.0,177 bhp,140 mph,7.8 seconds,111 g/km
jaguar,XE,13490.0,2015,1999cc,"65,000 miles",Diesel,Automatic,BLUE,Saloon,4X2,4.0,5.0,177 bhp,140 mph,7.8 seconds,111 g/km
jaguar,F-PACE,21990.0,2018,1999cc,"70,000 miles",Diesel,Automatic,WHITE,Estate,4X4,5.0,5.0,177 bhp,129 mph,9.0 seconds,139 g/km
jaguar,E-PACE,19999.0,2019,2L,"21,504 miles",Diesel,Manual,Red,SUV,4X2,5.0,5.0,148 bhp,124 mph,9.5 seconds,143 g/km
jaguar,E-PACE,21999.0,2018,2L,"23,583 miles",Diesel,Automatic,Grey,SUV,4X4,5.0,5.0,148 bhp,120 mph,9.9 seconds,147 g/km
jaguar,F-PACE,26999.0,2020,2L,"63,282 miles",Diesel,Automatic,Grey,SUV,4X4,5.0,5.0,177 bhp,129 mph,9.0 seconds,187 g/km
jaguar,XE,13499.0,2017,2L,"60,700 miles",Diesel,Automatic,Blue,Saloon,4X2,4.0,5.0,177 bhp,140 mph,7.8 seconds,111 g/km
jaguar,XF,17499.0,2018,2L,"43,388 miles",Diesel,Automatic,White,Saloon,4X2,4.0,5.0,177 bhp,136 mph,8.4 seconds,114 g/km
jaguar,XF,35990.0,2023,1998cc,"11,866 miles",Diesel,Automatic,Grey,Saloon,4X2,4.0,5.0,201 bhp,146 mph,7.6 seconds,138 g/km
jaguar,E-PACE,24795.0,2020,2L,"43,417 miles",Diesel,Automatic,Silver,SUV,4X4,5.0,5.0,148 bhp,120 mph,9.9 seconds,158 g/km
jaguar,E-PACE,19000.0,2019,1999cc,"31,281 miles",Diesel,Manual,White,Estate,4X2,5.0,5.0,148 bhp,124 mph,9.5 seconds,143 g/km
jaguar,F-TYPE,35995.0,2017,5000cc,"66,000 miles",Petrol,Automatic,Red,Coupe,4X4,2.0,2.0,541 bhp,186 mph,4.1 seconds,269 g/km
jaguar,XK8,11995.0,2001,3996cc,"66,000 miles",Petrol,Automatic,Blue,Convertible,,,,,,,
jaguar,F-PACE,27995.0,2020,1999cc,"35,000 miles",Diesel,Automatic,Silver,SUV,4X4,5.0,5.0,177 bhp,129 mph,9.0 seconds,151 g/km
jaguar,F-PACE,19990.0,2017,2993cc,"81,000 miles",Diesel,Automatic,Black,SUV,4X4,5.0,5.0,296 bhp,150 mph,6.4 seconds,159 g/km
jaguar,XE,18490.0,2017,1999cc,"25,050 miles",Diesel,Automatic,Black,Saloon,4X4,4.0,5.0,237 bhp,155 mph,,137 g/km
jaguar,I-PACE,24500.0,2020,1L,"33,335 miles",Other,Automatic,WHITE,Hatchback,4X4,5.0,5.0,395 bhp,124 mph,4.8 seconds,0 g/km
jaguar,XF,8671.0,2014,2993cc,"110,000 miles",Diesel,Automatic,BLUE,Saloon,4X2,4.0,5.0,276 bhp,155 mph,6.4 seconds,159 g/km
jaguar,X Type,3290.0,2009,1998cc,"75,079 miles",Diesel,Manual,BLUE,Saloon,4X2,4.0,5.0,129 bhp,125 mph,9.5 seconds,149 g/km
jaguar,E-PACE,27600.0,2019,1999cc,"42,075 miles",Diesel,Automatic,GREY,Estate,4X4,5.0,5.0,178 bhp,127 mph,8.6 seconds,158 g/km
jaguar,E-PACE,22049.0,2018,1999cc,"36,854 miles",Diesel,,Grey,SUV,4X4,5.0,5.0,178 bhp,127 mph,8.6 seconds,147 g/km
jaguar,XJ,26549.0,2017,2995cc,"33,064 miles",Petrol,,Blue,Saloon,4X2,4.0,5.0,296 bhp,155 mph,5.9 seconds,155 g/km
jaguar,E-PACE,23949.0,2019,1999cc,"35,631 miles",Diesel,,White,SUV,4X4,5.0,5.0,178 bhp,127 mph,8.6 seconds,158 g/km
jaguar,XF,27799.0,2018,2993cc,"31,082 miles",Diesel,,Black,Estate,4X2,5.0,5.0,296 bhp,155 mph,6.6 seconds,164 g/km
jaguar,F-PACE,17949.0,2018,1999cc,"59,121 miles",Diesel,,Black,SUV,4X2,5.0,5.0,161 bhp,121 mph,10.2 seconds,150 g/km
jaguar,XF,12549.0,2017,1999cc,"62,428 miles",Diesel,,Black,Saloon,4X2,4.0,5.0,161 bhp,132 mph,,104 g/km
jaguar,XF,18990.0,2020,2L,"50,900 miles",Petrol,Automatic,BLUE,Saloon,,,,,,,
jaguar,F-PACE,26000.0,2020,2000cc,"45,652 miles",Diesel,Automatic,BLACK,Estate,,,,,,,
jaguar,XE,13299.0,2016,2L,"31,823 miles",Diesel,Automatic,Red,Saloon,,,,,,,
jaguar,F-PACE,25999.0,2020,2L,"69,282 miles",Diesel,Automatic,Black,SUV,,,,,,,
jaguar,F-PACE,26599.0,2020,2L,"47,200 miles",Diesel,Automatic,Blue,SUV,,,,,,,
jaguar,E-PACE,26900.0,2019,1999cc,"37,371 miles",Diesel,Automatic,Grey,SUV,4X4,5.0,5.0,178 bhp,127 mph,8.6 seconds,158 g/km
jaguar,F-PACE,27900.0,2020,1999cc,"53,681 miles",Diesel,Automatic,Black,SUV,4X4,5.0,5.0,177 bhp,129 mph,9.0 seconds,155 g/km
jaguar,E-PACE,25490.0,2019,1999cc,"24,327 miles",Diesel,Automatic,Grey,SUV,4X4,5.0,5.0,178 bhp,127 mph,8.6 seconds,158 g/km
