Make,Model,Price,Year,Engine Size,Mileage,Fuel Type,Transmission,Color,Body Type,Wheel Drive,Doors,Seats,Engine Power,Top Speed,Acceleration,CO2 Rating
kawasaki,ZX-7R,2790.0,2000,749cc,"31,474 miles",Petrol,Manual,Green,bike,,,,,,,
kawasaki,KLE500,2790.0,2005,500cc,"14,053 miles",Petrol,Manual,Silver,bike,,,,,,,
kawasaki,ZX-9R,2690.0,1999,899cc,"35,726 miles",Petrol,Manual,Green,bike,,,,,,,
kawasaki,Z900 KAWASAKI ZR 900,7789.0,2022,948cc,"7,951 miles",Petrol,Manual,Red,Motorcycle,,,,124 bhp,,,
kawasaki,Z900 1 OWNER FROM NEW,6390.0,2020,948cc,"5,048 miles",Petrol,Manual,Green,bike,CHAIN,,,124 bhp,,,
kawasaki,Zephyr 1100,3990.0,1992,1062cc,"44,306 miles",Petrol,Manual,Green,bike,,,,,,,
kawasaki,Versys 650 FULL LUGGAGE,3290.0,2007,649cc,"25,794 miles",Petrol,Manual,Orange,bike,,,,,,,
kawasaki,ER,1690.0,2000,498cc,"31,268 miles",Petrol,Manual,Grey,bike,,,,,,,
kawasaki,Ninja ZX-10R 1 OWNER FROM NEW,7590.0,2014,998cc,"5,254 miles",Petrol,Manual,White,bike,,,,,,,
kawasaki,J300,3090.0,2020,299cc,"7,998 miles",Petrol,Automatic,Green,bike,BELT,,,27 bhp,,,
kawasaki,Z750,2990.0,2005,748cc,"22,704 miles",Petrol,Manual,Silver,bike,,,,,,,
kawasaki,Versys 1000 1 PREVIOUS OWNER,8490.0,2019,1043cc,"4,779 miles",Petrol,Manual,Green,bike,,,,118 bhp,,,
kawasaki,W650 1 PREVIOUS OWNER,3990.0,1999,676cc,"28,748 miles",Petrol,Manual,Red,bike,,,,,,,
kawasaki,Versys 1000,6690.0,2016,1043cc,"26,509 miles",Petrol,Manual,Green,Adventure Sport,,,,,,,
kawasaki,KLE500,2990.0,2008,498cc,"20,522 miles",Petrol,Manual,Grey,Sport/Tourer,,,,,,,
kawasaki,ER,990.0,1999,498cc,"46,071 miles",Petrol,Manual,Red,bike,,,,,,,
kawasaki,Zephyr 1100,1990.0,1992,1062cc,"67,586 miles",Petrol,Manual,Blue,bike,,,,,,,
