Make,Model,Price,Year,Engine Size,Mileage,Fuel Type,Transmission,Color,Body Type,Wheel Drive,Doors,Seats,Engine Power,Top Speed,Acceleration,CO2 Rating
kia,Rio,9499.0,2017,1368cc,"36,707 miles",Petrol,Manual,WHITE,Hatchback,4X2,5.0,5.0,98 bhp,108 mph,11.8 seconds,114 g/km
kia,Sportage,17993.0,2019,1591cc,"24,200 miles",Petrol,Manual,GREY,Estate,4X2,5.0,5.0,130 bhp,113 mph,11.1 seconds,156 g/km
kia,Sportage,11895.0,2016,1995cc,"80,711 miles",Diesel,Manual,WHITE,Estate,4X4,5.0,5.0,182 bhp,125 mph,9.2 seconds,154 g/km
kia,Sportage,12000.0,2016,1685cc,"60,968 miles",Diesel,Manual,RED,Other,4X2,5.0,5.0,114 bhp,109 mph,11.1 seconds,119 g/km
kia,Sportage,12499.0,2020,1591cc,"55,600 miles",Petrol,Manual,WHITE,Estate,4X2,5.0,5.0,130 bhp,113 mph,11.1 seconds,179 g/km
kia,Picanto,10499.0,2018,1248cc,"14,072 miles",Petrol,Manual,SILVER,Hatchback,4X2,5.0,5.0,83 bhp,107 mph,11.6 seconds,120 g/km
kia,Niro,18399.0,2020,1.6L,"20,836 miles",Hybrid,Automatic,Black,SUV,4X2,5.0,5.0,139 bhp,101 mph,11.5 seconds,119 g/km
kia,Niro,17399.0,2021,1.6L,"16,250 miles",Hybrid,Automatic,White,SUV,4X2,5.0,5.0,103 bhp,101 mph,11.5 seconds,110 g/km
kia,Niro,15699.0,2020,1.6L,"30,512 miles",Hybrid,Automatic,White,SUV,4X2,5.0,5.0,103 bhp,101 mph,11.1 seconds,110 g/km
kia,Rio,10495.0,2018,1L,"58,834 miles",Petrol,Manual,Red,Hatchback,4X2,5.0,5.0,99 bhp,116 mph,10.3 seconds,114 g/km
kia,Niro,23490.0,2020,1.6L,"16,869 miles",Hybrid,Automatic,Silver,SUV,4X2,5.0,5.0,139 bhp,101 mph,11.5 seconds,120 g/km
kia,Sportage,17555.0,2019,1.6L,"54,336 miles",Petrol,Automatic,Black,SUV,4X4,5.0,5.0,174 bhp,125 mph,8.8 seconds,168 g/km
kia,Sportage,19007.0,2019,1.6L,"26,654 miles",Petrol,Automatic,Red,SUV,4X4,5.0,5.0,174 bhp,125 mph,8.8 seconds,174 g/km
kia,Sportage,14279.0,2017,1685cc,"29,000 miles",Diesel,Manual,Black,Other,4X2,5.0,5.0,114 bhp,109 mph,11.1 seconds,119 g/km
kia,Niro,16706.0,2019,1580cc,"16,499 miles",Hybrid,Automatic,White,Other,4X2,5.0,5.0,103 bhp,101 mph,11.5 seconds,86 g/km
kia,Sportage,27849.0,2022,1.6L,"4,234 miles",Petrol,Manual,Grey,SUV,4X2,5.0,5.0,148 bhp,113 mph,,154 g/km
kia,Rio,4779.0,2013,1300cc,"51,000 miles",Petrol,Manual,Black,Hatchback,4X2,3.0,5.0,83 bhp,104 mph,12.6 seconds,119 g/km
kia,Sportage,20990.0,2020,1.6L,"14,318 miles",Petrol,Manual,Blue,SUV,4X4,5.0,5.0,174 bhp,126 mph,,201 g/km
kia,Sportage,21480.0,2021,1.6L,"12,155 miles",Hybrid,Automatic,Brown,SUV,4X2,5.0,5.0,134 bhp,112 mph,,155 g/km
kia,Sorento,6250.0,2011,2199cc,"100,000 miles",Diesel,Manual,Silver,SUV,4X4,5.0,7.0,194 bhp,118 mph,9.2 seconds,177 g/km
kia,Niro,25795.0,2023,1580cc,"10,382 miles",Other,Automatic,Steel Grey,Other,4X2,5.0,5.0,139 bhp,102 mph,,100 g/km
kia,Sportage,14995.0,2019,1591cc,"25,260 miles",Petrol,Manual,Copper Stone,Estate,4X2,5.0,5.0,130 bhp,113 mph,11.1 seconds,156 g/km
kia,Carens,13995.0,2018,1685cc,"20,685 miles",Diesel,Manual,Mysterious Blue,MPV,4X2,5.0,7.0,114 bhp,110 mph,,109 g/km
kia,Niro,21995.0,2022,1580cc,"3,511 miles",Other,Automatic,Ocean Blue,Estate,4X2,5.0,5.0,103 bhp,101 mph,11.5 seconds,110 g/km
kia,Soul,5485.0,2012,1582cc,"46,320 miles",Diesel,Manual,Blue,SUV,4X2,5.0,5.0,126 bhp,112 mph,10.3 seconds,129 g/km
kia,Rio,5995.0,2012,1248cc,"25,500 miles",Petrol,Manual,White,Hatchback,4X2,5.0,5.0,83 bhp,107 mph,12.6 seconds,114 g/km
kia,Sportage,5995.0,2011,2000cc,"99,980 miles",Petrol,Manual,Black,Other,4X4,5.0,5.0,161 bhp,113 mph,10.3 seconds,188 g/km
kia,Picanto,5000.0,2014,1000cc,"57,230 miles",Petrol,Manual,Red,Other,4X2,5.0,5.0,68 bhp,95 mph,13.9 seconds,99 g/km
kia,Sportage,14449.0,2019,1591cc,"33,600 miles",Petrol,Manual,BLACK,Estate,4X2,5.0,5.0,130 bhp,113 mph,11.1 seconds,162 g/km
kia,Rio,9795.0,2015,1396cc,"35,000 miles",Petrol,Automatic,BLACK,Hatchback,4X2,5.0,5.0,107 bhp,106 mph,12.7 seconds,147 g/km
kia,Sportage,27588.0,2022,1598cc,"9,000 miles",Petrol,Manual,BLACK,Estate,4X2,5.0,5.0,148 bhp,113 mph,,152 g/km
kia,Sportage,13695.0,2016,1995cc,"50,000 miles",Diesel,Manual,GREY,Estate,4X4,5.0,5.0,134 bhp,114 mph,10.1 seconds,139 g/km
kia,Picanto,10899.0,2020,1248cc,"42,266 miles",Petrol,,Black,Hatchback,4X2,5.0,5.0,83 bhp,107 mph,11.6 seconds,131 g/km
kia,Rio,9999.0,2017,1248cc,"42,398 miles",Petrol,,White,Hatchback,4X2,5.0,5.0,83 bhp,107 mph,,109 g/km
kia,Xceed,19049.0,2022,1482cc,"10,972 miles",Petrol,,Grey,Hatchback,4X2,5.0,5.0,158 bhp,129 mph,,141 g/km
kia,Stonic,11499.0,2018,1582cc,"52,451 miles",Diesel,,White,SUV,4X2,5.0,5.0,108 bhp,112 mph,,109 g/km
kia,Sportage,13449.0,2016,1995cc,"68,878 miles",Diesel,,White,SUV,4X4,5.0,5.0,134 bhp,114 mph,11.6 seconds,154 g/km
kia,Sportage,14399.0,2018,1591cc,"60,088 miles",Petrol,,Grey,SUV,4X2,5.0,5.0,130 bhp,113 mph,11.1 seconds,162 g/km
kia,Stonic,11049.0,2017,1582cc,"46,892 miles",Diesel,,Red,SUV,4X2,5.0,5.0,108 bhp,112 mph,10.9 seconds,109 g/km
kia,Sportage,13949.0,2018,1685cc,"59,372 miles",Diesel,,White,SUV,4X2,5.0,5.0,114 bhp,109 mph,,119 g/km
kia,Niro,18599.0,2020,1580cc,"40,979 miles",Hybrid,,Black,SUV,4X2,5.0,5.0,139 bhp,101 mph,11.5 seconds,119 g/km
kia,Sportage,15199.0,2016,1591cc,"47,285 miles",Petrol,,Red,SUV,4X4,5.0,5.0,174 bhp,125 mph,8.8 seconds,175 g/km
kia,Sportage,14499.0,2019,1591cc,"27,546 miles",Petrol,,Black,SUV,4X2,5.0,5.0,130 bhp,113 mph,11.1 seconds,158 g/km
kia,Stonic,13949.0,2017,998cc,"25,612 miles",Petrol,,Yellow,SUV,4X2,5.0,5.0,118 bhp,115 mph,9.9 seconds,115 g/km
kia,Niro,25499.0,2021,1580cc,"13,128 miles",Petrol/Electric,Semi Auto,Black,Estate,,,,,,,
kia,Sportage,16499.0,2021,1591cc,"42,044 miles",Petrol,Manual,White,Estate,,,,,,,
kia,Sportage,9299.0,2015,1685cc,"67,201 miles",Diesel,Manual,Silver,Estate,,,,,,,
kia,Niro,19495.0,2020,1.6L,"6,500 miles",Hybrid,Automatic,Grey,SUV,,,,,,,
