Make,Model,Price,Year,Engine Size,Mileage,Fuel Type,Transmission,Color,Body Type,Wheel Drive,Doors,Seats,Engine Power,Top Speed,Acceleration,CO2 Rating
ktm,1290 Super Duke R 1290 Super Duke R akra full system,13400.0,2023,1301cc,"2,700 miles",Petrol,Manual,Orange,bike,,,,177 bhp,,,
ktm,1090 Adventure R,6990.0,2018,1050cc,"19,027 miles",Petrol,Manual,White,bike,,,,123 bhp,,,
ktm,390 Duke,3490.0,2018,373cc,"4,179 miles",Petrol,Manual,White,bike,,,,43 bhp,,,
ktm,Enduro,5290.0,2013,690cc,"29,804 miles",Petrol,Manual,Black,bike,,,,,,,
ktm,790 Duke 1 OWNER FROM NEW,5890.0,2020,799cc,"1,313 miles",Petrol,Manual,Orange,bike,,,,103 bhp,,,
ktm,Supermoto SMT,5290.0,2010,1000cc,"21,107 miles",Petrol,Manual,Silver,bike,,,,,,,
ktm,1090 Adventure ONE OWNER,6290.0,2017,1050cc,"14,022 miles",Petrol,Manual,Orange,bike,,,,123 bhp,,,
ktm,1290 Super Adventure ONE OWNER,7490.0,2019,1301cc,"37,306 miles",Petrol,Manual,Orange,bike,,,,158 bhp,,,
ktm,390 Adventure 1 OWNER FROM NEW,4490.0,2021,373cc,"2,704 miles",Petrol,Manual,White,bike,,,,43 bhp,,,
ktm,990 Super Duke,4490.0,2006,999cc,"14,031 miles",Petrol,Manual,Black,bike,,,,,,,
