Make,Model,Price,Year,Engine Size,Mileage,Fuel Type,Transmission,Color,Body Type,Wheel Drive,Doors,Seats,Engine Power,Top Speed,Acceleration,CO2 Rating
land,Rover Range Rover Sport,40000.0,2019,1997cc,"49,095 miles",Other,Automatic,GREY,Estate,4X4,5.0,5.0,399 bhp,137 mph,6.3 seconds,71 g/km
land,Rover Discovery,24000.0,2016,2993cc,"93,810 miles",Diesel,Automatic,BLUE,SUV,4X4,,,252 bhp,112 mph,11.7 seconds,213 g/km
land,Rover Range Rover Evoque,13990.0,2016,1999cc,"43,861 miles",Diesel,Manual,GREY,Estate,4X2,5.0,5.0,147 bhp,113 mph,11.2 seconds,113 g/km
land,Rover Discovery Sport,18995.0,2018,1999cc,"64,768 miles",Diesel,Automatic,BLUE,Estate,4X4,5.0,7.0,177 bhp,117 mph,8.9 seconds,139 g/km
land,Rover Freelander,11874.0,2012,2179cc,"90,000 miles",Diesel,Automatic,SILVER,Estate,4X4,5.0,5.0,190 bhp,118 mph,9.5 seconds,185 g/km
land,Rover Range Rover,49995.0,2018,4367cc,"33,000 miles",Diesel,Automatic,GREY,Estate,,,,,,,
land,Rover Range Rover Evoque,39699.0,2022,1.5L,"15,381 miles",Hybrid,Automatic,Grey,SUV,4X4,5.0,5.0,305 bhp,132 mph,6.4 seconds,34 g/km
land,Rover Range Rover Velar,45995.0,2022,2L,"9,500 miles",Diesel,Automatic,Red,SUV,4X4,5.0,5.0,201 bhp,130 mph,8.2 seconds,172 g/km
land,Rover Range Rover Evoque,20995.0,2017,1999cc,"31,954 miles",Diesel,Automatic,White,SUV,4X4,5.0,5.0,177 bhp,121 mph,9.0 seconds,134 g/km
land,Rover Discovery Sport,14500.0,2016,1999cc,"78,498 miles",Diesel,Manual,Grey,SUV,4X4,5.0,7.0,177 bhp,117 mph,9.9 seconds,139 g/km
land,Rover Range Rover Evoque,39990.0,2021,1997cc,"15,108 miles",Diesel,Automatic,Grey,SUV,4X4,5.0,5.0,201 bhp,120 mph,8.5 seconds,182 g/km
land,Rover Range Rover Evoque,26400.0,2019,1997cc,"18,309 miles",Petrol,Automatic,Grey,SUV,4X4,5.0,5.0,198 bhp,134 mph,8.5 seconds,173 g/km
land,Rover Range Rover Sport,88990.0,2022,3L,"13,016 miles",Diesel,Semiauto,Grey,SUV,4X4,5.0,5.0,346 bhp,145 mph,6.9 seconds,203 g/km
land,Rover Range Rover Sport,59495.0,2019,5L,"44,331 miles",Petrol,Semiauto,Grey,SUV,4X4,5.0,5.0,568 bhp,176 mph,,290 g/km
land,Rover Range Rover Evoque,28500.0,2020,2L,"23,821 miles",Diesel,Automatic,Black,SUV,4X4,5.0,5.0,178 bhp,127 mph,9.3 seconds,182 g/km
land,Rover Range Rover Evoque,25750.0,2021,2L,"19,752 miles",Diesel,Manual,White,SUV,4X2,5.0,5.0,161 bhp,120 mph,10.1 seconds,160 g/km
land,Rover Range Rover Evoque,46299.0,2022,1.5L,"5,424 miles",Hybrid,Automatic,Silver,SUV,4X4,5.0,5.0,305 bhp,132 mph,6.4 seconds,34 g/km
land,Rover Freelander,7250.0,2011,2179cc,"82,183 miles",Diesel,Manual,Grey,Estate,4X2,5.0,5.0,147 bhp,112 mph,11.7 seconds,158 g/km
