Make,Model,Price,Year,Engine Size,Mileage,Fuel Type,Transmission,Color,Body Type,Wheel Drive,Doors,Seats,Engine Power,Top Speed,Acceleration,CO2 Rating
mazda,323,1495.0,1997,1489cc,"127,649 miles",Petrol,Manual,GREEN,Hatchback,4X2,5.0,5.0,88 bhp,109 mph,11.9 seconds,0 g/km
mazda,MADZA3,8999.0,2018,1998cc,"46,814 miles",Petrol,Manual,RED,Hatchback,4X2,5.0,5.0,118 bhp,121 mph,8.9 seconds,119 g/km
mazda,CX-3,13995.0,2016,1998cc,"26,000 miles",Petrol,Automatic,GREY,Hatchback,4X2,5.0,5.0,118 bhp,116 mph,9.9 seconds,136 g/km
mazda,CX-60,39990.0,2023,3.3L,"3,841 miles",Diesel,Automatic,Red,SUV,4X4,5.0,5.0,251 bhp,136 mph,,138 g/km
mazda,MADZA2,16190.0,2023,1.5L,"9,169 miles",Petrol,Automatic,Grey,Hatchback,4X2,5.0,5.0,88 bhp,110 mph,,122 g/km
mazda,CX-5,31990.0,2023,2L,"8,216 miles",Petrol,Automatic,Grey,SUV,4X2,5.0,5.0,163 bhp,119 mph,,156 g/km
mazda,MADZA2,23518.0,2023,1.5L,"3,000 miles",Hybrid,Semiauto,Grey,Hatchback,4X2,5.0,5.0,115 bhp,109 mph,,92 g/km
mazda,CX-30,21495.0,2020,2L,"30,845 miles",Petrol,Automatic,Blue,SUV,4X4,5.0,5.0,177 bhp,127 mph,,160 g/km
mazda,CX-5,18499.0,2019,2191cc,"35,084 miles",Diesel,Manual,Grey,Estate,4X2,5.0,5.0,147 bhp,127 mph,9.9 seconds,128 g/km
mazda,CX-3,14652.0,2019,1998cc,"26,500 miles",Petrol,Manual,Blue,Other,4X2,5.0,5.0,120 bhp,119 mph,9.0 seconds,141 g/km
mazda,CX-5,15990.0,2018,2L,"47,897 miles",Petrol,Manual,Red,SUV,4X2,5.0,5.0,162 bhp,120 mph,,149 g/km
mazda,Mazda3,2590.0,2010,1598cc,"130,480 miles",Petrol,Manual,Blue,Hatchback,4X2,5.0,5.0,103 bhp,114 mph,12.2 seconds,149 g/km
mazda,MADZA6,22149.0,2021,2.5L,"17,000 miles",Petrol,Automatic,Red,Saloon,4X2,4.0,5.0,192 bhp,142 mph,,167 g/km
mazda,MADZA6,7750.0,2014,2191cc,"70,453 miles",Diesel,Manual,Blue,Saloon,4X2,4.0,5.0,147 bhp,131 mph,9.0 seconds,108 g/km
mazda,MX-5,14490.0,2016,1496cc,"19,500 miles",Petrol,Manual,GREY,Convertible,4X2,2.0,2.0,129 bhp,127 mph,8.3 seconds,139 g/km
mazda,CX-3,13049.0,2018,1998cc,"39,469 miles",Petrol,,Red,SUV,4X2,5.0,5.0,118 bhp,119 mph,,137 g/km
mazda,CX-5,21549.0,2021,1998cc,"30,032 miles",Petrol,,Blue,SUV,4X2,5.0,5.0,162 bhp,125 mph,,153 g/km
mazda,CX-5,20599.0,2020,1998cc,"33,503 miles",Petrol,,Silver,SUV,4X2,5.0,5.0,162 bhp,125 mph,,160 g/km
mazda,Mazda2,14599.0,2020,1496cc,"12,482 miles",Petrol,,Black,Hatchback,4X2,5.0,5.0,88 bhp,114 mph,,94 g/km
mazda,MX-5,13049.0,2016,1998cc,"43,430 miles",Petrol,,Black,Convertible,4X2,2.0,2.0,158 bhp,133 mph,7.3 seconds,161 g/km
