Make,Model,Price,Year,Engine Size,Mileage,Fuel Type,Transmission,Color,Body Type,Wheel Drive,Doors,Seats,Engine Power,Top Speed,Acceleration,CO2 Rating
mg,ZS,16599.0,2021,1L,"4,003 miles",Other,Automatic,BLACK,Hatchback,4X2,5.0,5.0,141 bhp,87 mph,8.5 seconds,0 g/km
mg,ZS,11892.0,2019,1.5L,"40,000 miles",Petrol,Manual,White,SUV,4X2,5.0,5.0,105 bhp,109 mph,10.9 seconds,140 g/km
mg,HS,22690.0,2023,1.5L,"3,989 miles",Petrol,Semiauto,White,SUV,4X2,5.0,5.0,160 bhp,118 mph,,174 g/km
mg,MG3,12890.0,2023,1.5L,"3,000 miles",Petrol,Manual,Silver,Hatchback,4X2,5.0,5.0,105 bhp,108 mph,,147 g/km
mg,MG3,12890.0,2023,1.5L,"3,000 miles",Petrol,Manual,White,Hatchback,4X2,5.0,5.0,105 bhp,108 mph,,147 g/km
mg,HS,22290.0,2023,1.5L,"3,000 miles",Petrol,Manual,Blue,SUV,4X2,5.0,5.0,160 bhp,118 mph,,168 g/km
mg,MG3,6999.0,2015,1498cc,"46,500 miles",Petrol,Manual,White,Hatchback,4X2,5.0,5.0,106 bhp,108 mph,10.9 seconds,136 g/km
mg,MG3,12850.0,2023,1498cc,"1,604 miles",Petrol,Manual,Black,Hatchback,4X2,5.0,5.0,105 bhp,108 mph,,147 g/km
mg,HS,14674.0,2020,1.5L,"19,020 miles",Petrol,Manual,Red,SUV,4X2,5.0,5.0,160 bhp,118 mph,,172 g/km
mg,HS,18999.0,2022,1.5L,532 miles,Petrol,Manual,Red,SUV,4X2,5.0,5.0,160 bhp,118 mph,,168 g/km
mg,GS,7995.0,2016,1490cc,"60,950 miles",Petrol,Manual,Orange,SUV,4X2,5.0,5.0,163 bhp,118 mph,9.8 seconds,139 g/km
mg,MG6,3300.0,2013,1849cc,"22,000 miles",Diesel,Manual,GREY,Saloon,4X2,4.0,5.0,147 bhp,120 mph,9.4 seconds,129 g/km
mg,HS,17049.0,2020,1490cc,"23,183 miles",Petrol,,White,SUV,4X2,5.0,5.0,160 bhp,118 mph,,148 g/km
mg,HS,17000.0,2021,1.5L,"7,785 miles",Petrol,Manual,BLUE,MPV,,,,,,,
mg,ZS,15600.0,2020,1L,"21,935 miles",Petrol,Automatic,Dynamic Red Metallic,MPV,,,,,,,
mg,MG3,10495.0,2020,1.5L,"19,071 miles",Petrol,Manual,Black,Hatchback,4X2,5.0,5.0,106 bhp,108 mph,10.9 seconds,140 g/km
mg,MG3,8495.0,2018,1.5L,"36,688 miles",Petrol,Manual,Red,Hatchback,4X2,5.0,5.0,106 bhp,108 mph,10.9 seconds,140 g/km
mg,MG3,9995.0,2021,1.5L,"26,036 miles",Petrol,Manual,White,Hatchback,4X2,5.0,5.0,106 bhp,108 mph,,152 g/km
mg,HS,16495.0,2022,1.5L,"19,779 miles",Petrol,Semiauto,Black,SUV,4X2,5.0,5.0,160 bhp,118 mph,,174 g/km
mg,ZS,14999.0,2021,1.5L,"15,462 miles",Petrol,Manual,Red,SUV,,,,,,,
mg,MG3,11393.0,2020,1498cc,"17,500 miles",Petrol,Manual,White,Hatchback,4X2,5.0,5.0,106 bhp,108 mph,10.9 seconds,152 g/km
mg,ZS,16696.0,2021,1498cc,"21,156 miles",Petrol,Manual,Black,Other,4X2,5.0,5.0,105 bhp,109 mph,,149 g/km
mg,MG3,17499.0,2023,1.5L,"5,000 miles",Petrol,Manual,Black,Estate,4X2,5.0,5.0,160 bhp,118 mph,,168 g/km
mg,MG3,13000.0,2021,999cc,"38,318 miles",Petrol,Automatic,Red,SUV,4X2,5.0,5.0,110 bhp,112 mph,,163 g/km
mg,HS,19000.0,2000,1490cc,"6,466 miles",Petrol,Automatic,Black,SUV,4X2,5.0,5.0,160 bhp,118 mph,,174 g/km
mg,ZS,9812.0,2019,1498cc,"62,345 miles",Petrol,Manual,BLUE,Hatchback,4X2,5.0,5.0,105 bhp,109 mph,10.9 seconds,140 g/km
mg,MG3,6995.0,2017,1498cc,"19,385 miles",Petrol,Manual,BLUE,Hatchback,4X2,5.0,5.0,106 bhp,108 mph,10.9 seconds,124 g/km
mg,MG5,18975.0,2022,1L,"11,000 miles",Other,Automatic,SILVER,Estate,,,,,,,
mg,ZS,17495.0,2023,999cc,"12,102 miles",Petrol,Automatic,BLACK,Hatchback,4X2,5.0,5.0,110 bhp,112 mph,,163 g/km
mg,MG3,7495.0,2016,1498cc,"15,000 miles",Petrol,Manual,YELLOW,Hatchback,4X2,5.0,5.0,106 bhp,108 mph,10.9 seconds,124 g/km
mg,MG3,10299.0,2019,1498cc,"13,416 miles",Petrol,,Red,Hatchback,4X2,5.0,5.0,106 bhp,108 mph,10.9 seconds,140 g/km
mg,ZS,14549.0,2021,1498cc,"8,773 miles",Petrol,,Blue,SUV,4X2,5.0,5.0,105 bhp,109 mph,,149 g/km
mg,ZS,16800.0,2022,1.5L,"3,954 miles",Petrol,Manual,SILVER,Hatchback,4X2,5.0,5.0,105 bhp,109 mph,,149 g/km
mg,ZS,12900.0,2019,1L,"46,393 miles",Petrol,Automatic,BLACK,SUV,4X2,5.0,5.0,110 bhp,112 mph,12.4 seconds,145 g/km
mg,MG3,11440.0,2022,1498cc,"2,048 miles",Petrol,Manual,Black,Hatchback,4X2,5.0,5.0,105 bhp,108 mph,,147 g/km
mg,ZS,11995.0,2018,999cc,"38,805 miles",Petrol,Automatic,Black,Hatchback,4X2,5.0,5.0,110 bhp,112 mph,12.4 seconds,144 g/km
mg,HS,15789.0,2022,1490.0cc,"25,285 miles",Petrol,Automatic,Solid - Arctic White,Hatchback,4X2,5.0,5.0,160 bhp,118 mph,,177 g/km
mg,HS,18000.0,2023,1490cc,"10,519 miles",Petrol,Manual,Blue,Hatchback,4X2,5.0,5.0,160 bhp,118 mph,,168 g/km
mg,ZS,15300.0,2020,1498cc,"10,347 miles",Petrol,Manual,White,Hatchback,4X2,5.0,5.0,105 bhp,109 mph,,155 g/km
mg,ZS,13990.0,2021,1.5L,"13,018 miles",Petrol,Manual,Silver,SUV,4X2,5.0,5.0,105 bhp,109 mph,,149 g/km
mg,ZS,16995.0,2022,1.5L,"7,420 miles",Petrol,Manual,Silver,SUV,4X2,5.0,5.0,105 bhp,109 mph,,149 g/km
mg,ZS,10500.0,2018,1.5L,"31,829 miles",Petrol,Manual,Blue,SUV,4X2,5.0,5.0,105 bhp,109 mph,10.9 seconds,129 g/km
mg,HS,16750.0,2021,1.5L,"22,548 miles",Petrol,Manual,Red,SUV,4X2,5.0,5.0,160 bhp,118 mph,,168 g/km
mg,ZS,18995.0,2023,1L,"5,095 miles",Petrol,Semiauto,Red,SUV,4X2,5.0,5.0,110 bhp,112 mph,,163 g/km
mg,HS,20644.0,2022,1.5L,"7,474 miles",Petrol,Manual,Red,SUV,4X2,5.0,5.0,160 bhp,118 mph,,168 g/km
mg,HS,17000.0,2020,1.5L,"15,828 miles",Petrol,Manual,Blue,SUV,4X2,5.0,5.0,160 bhp,118 mph,,172 g/km
mg,MG3,7488.0,2019,1.5L,"30,217 miles",Petrol,Manual,Orange,Hatchback,4X2,5.0,5.0,106 bhp,108 mph,10.9 seconds,140 g/km
mg,ZS,15630.0,2021,999cc,"17,500 miles",Petrol,Automatic,Artic White,Hatchback,4X2,5.0,5.0,110 bhp,112 mph,,163 g/km
mg,MG3,9250.0,2011,1796cc,"31,000 miles",Petrol,Manual,Blue,Convertible,4X2,2.0,2.0,137 bhp,127 mph,,185 g/km
mg,ZS,15985.0,2021,1L,"16,642 miles",Other,Automatic,WHITE,Hatchback,4X2,5.0,5.0,141 bhp,87 mph,8.5 seconds,0 g/km
mg,MG3,9950.0,2020,1.5L,"30,661 miles",Petrol,Manual,White,Hatchback,4X2,5.0,5.0,106 bhp,108 mph,10.9 seconds,152 g/km
