Make,Model,Price,Year,Engine Size,Mileage,Fuel Type,Transmission,Color,Body Type,Wheel Drive,Doors,Seats,Engine Power,Top Speed,Acceleration,CO2 Rating
nissan,Juke,10000.0,2017,1197cc,"26,000 miles",Petrol,Manual,YELLOW,Hatchback,,,,,,,
nissan,X Trail,10620.0,2016,1598cc,"81,179 miles",Diesel,Manual,GREEN,Estate,4X2,5.0,7.0,129 bhp,117 mph,10.5 seconds,133 g/km
nissan,Qashqai,9299.0,2017,1461cc,"98,000 miles",Diesel,Manual,GREY,Hatchback,4X2,5.0,5.0,109 bhp,113 mph,12.4 seconds,99 g/km
nissan,X Trail,10500.0,2016,1598cc,"81,204 miles",Diesel,Manual,GREY,Estate,4X2,5.0,7.0,129 bhp,117 mph,10.5 seconds,133 g/km
nissan,Juke,9750.0,2017,1197cc,"43,000 miles",Petrol,Manual,BLACK,Hatchback,4X2,5.0,5.0,114 bhp,111 mph,11.0 seconds,128 g/km
nissan,Pulsar,8699.0,2018,1198cc,"43,311 miles",Petrol,Manual,SILVER,Hatchback,4X2,5.0,5.0,114 bhp,118 mph,10.7 seconds,117 g/km
nissan,Qashqai,12495.0,2018,1461cc,"47,812 miles",Diesel,Manual,SILVER,Hatchback,4X2,5.0,5.0,114 bhp,112 mph,12.3 seconds,100 g/km
nissan,Navara,22500.0,2020,2299cc,"36,248 miles",Diesel,Manual,WHITE,Other,4X4,,,188 bhp,114 mph,11.2 seconds,184 g/km
nissan,Qashqai,23289.0,2021,1332.0cc,6 miles,Petrol,Manual,Pearl - Storm White,Hatchback,4X2,5.0,5.0,138 bhp,122 mph,,144 g/km
nissan,Qashqai,20789.0,2022,1332.0cc,"10,367 miles",Petrol,Manual,Metallic - Blade Silver,Hatchback,4X2,5.0,5.0,138 bhp,122 mph,,143 g/km
nissan,X Trail,21499.0,2019,1.7L,"34,766 miles",Diesel,Automatic,Black,SUV,4X4,5.0,5.0,148 bhp,118 mph,12.7 seconds,168 g/km
nissan,Micra,10999.0,2021,1L,"20,681 miles",Petrol,Manual,White,Hatchback,4X2,5.0,5.0,91 bhp,111 mph,,124 g/km
nissan,Qashqai,13899.0,2019,1.3L,"35,030 miles",Petrol,Manual,Blue,SUV,4X2,5.0,5.0,140 bhp,120 mph,10.9 seconds,130 g/km
nissan,Qashqai,12599.0,2017,1.2L,"58,818 miles",Petrol,Automatic,White,SUV,4X2,5.0,5.0,114 bhp,107 mph,,129 g/km
nissan,Qashqai,12526.0,2018,1.6L,"56,783 miles",Diesel,Manual,Black,SUV,4X2,5.0,5.0,129 bhp,118 mph,,116 g/km
nissan,Juke,9000.0,2014,1598cc,"42,082 miles",Petrol,Automatic,Red,SUV,4X2,5.0,5.0,115 bhp,104 mph,12.0 seconds,145 g/km
nissan,Navara 2.3 DCI 190 BHP 4WD TEKNA EDITION ( CANOPY / NO VAT ! ),23989.0,2018,2.3L,"23,000 miles",Diesel,Manual,Grey,Van,4X4,,,188 bhp,114 mph,10.8 seconds,
nissan,Micra,1950.0,2007,1240cc,"152,000 miles",Petrol,Manual,Blue,Hatchback,4X2,5.0,5.0,79 bhp,90 mph,13.5 seconds,139 g/km
nissan,Qashqai,12195.0,2017,1.5L,"43,204 miles",Diesel,Manual,Blue,SUV,4X2,5.0,5.0,109 bhp,113 mph,,99 g/km
nissan,Qashqai,14840.0,2019,1.3L,"28,000 miles",Petrol,Manual,Grey,SUV,4X2,5.0,5.0,140 bhp,120 mph,10.9 seconds,130 g/km
nissan,X Trail,18130.0,2019,1.7L,"41,057 miles",Diesel,Manual,Black,SUV,4X2,5.0,5.0,148 bhp,121 mph,10.7 seconds,143 g/km
nissan,Juke,26500.0,2023,1.6L,"2,000 miles",Hybrid,Automatic,Grey,SUV,4X2,5.0,5.0,141 bhp,103 mph,,113 g/km
nissan,Juke,22250.0,2023,1L,"2,000 miles",Petrol,Manual,Red,SUV,4X2,5.0,5.0,113 bhp,112 mph,,134 g/km
nissan,Qashqai,12200.0,2018,1461cc,"51,087 miles",Diesel,Manual,Blue,Hatchback,4X2,5.0,5.0,109 bhp,113 mph,,99 g/km
nissan,Juke,15995.0,2020,1L,"6,100 miles",Petrol,Manual,Red,SUV,4X2,5.0,5.0,113 bhp,112 mph,,134 g/km
nissan,Juke,17870.0,2022,1L,"19,649 miles",Petrol,Manual,Grey,SUV,4X2,5.0,5.0,113 bhp,112 mph,,137 g/km
nissan,X Trail,19474.0,2020,1.7L,"19,235 miles",Diesel,Manual,White,SUV,4X2,5.0,5.0,148 bhp,121 mph,10.7 seconds,173 g/km
nissan,Qashqai,27371.0,2023,1.3L,591 miles,Hybrid,Semiauto,Black,SUV,4X2,5.0,5.0,155 bhp,124 mph,,143 g/km
nissan,Navara,28188.0,2020,2.3L,"36,500 miles",Diesel,Automatic,White,Pick Up,4X4,,,188 bhp,112 mph,11.2 seconds,194 g/km
nissan,Juke,10499.0,2018,1.2L,"25,000 miles",Petrol,Manual,White,SUV,4X2,5.0,5.0,114 bhp,111 mph,11.0 seconds,128 g/km
nissan,Qashqai,16999.0,2021,1.3L,"22,818 miles",Petrol,Manual,Black,SUV,4X2,5.0,5.0,138 bhp,120 mph,,153 g/km
nissan,Juke,22999.0,2022,1.6L,"7,097 miles",Hybrid,Automatic,Black,SUV,4X2,5.0,5.0,141 bhp,103 mph,,115 g/km
nissan,Micra,10999.0,2021,1L,"22,482 miles",Petrol,Manual,Red,Hatchback,4X2,5.0,5.0,91 bhp,111 mph,,124 g/km
nissan,Juke,16250.0,2020,1L,"15,197 miles",Petrol,Manual,Black,SUV,4X2,5.0,5.0,116 bhp,112 mph,,118 g/km
nissan,Navara,4500.0,2012,2488cc,"185,711 miles",Diesel,Manual,Black,Van,4X4,,,188 bhp,112 mph,11.1 seconds,
nissan,Qashqai,13950.0,2019,1461cc,"51,000 miles",Diesel,Manual,Silver,SUV,4X2,5.0,5.0,114 bhp,112 mph,12.3 seconds,110 g/km
nissan,Qashqai,7195.0,2014,1197cc,"107,600 miles",Petrol,Manual,Silver,SUV,4X2,5.0,5.0,114 bhp,114 mph,11.3 seconds,129 g/km
nissan,Qashqai,5395.0,2014,1197cc,"127,800 miles",Petrol,Manual,Blue,SUV,4X2,5.0,5.0,114 bhp,114 mph,11.3 seconds,129 g/km
nissan,Qashqai,6999.0,2010,1997cc,"73,000 miles",Petrol,Automatic,Black,SUV,4X2,5.0,5.0,139 bhp,114 mph,10.7 seconds,179 g/km
nissan,X Trail,12995.0,2015,1598cc,"61,000 miles",Diesel,Automatic,BLACK,Estate,4X2,5.0,5.0,129 bhp,112 mph,11.4 seconds,139 g/km
nissan,Note,4195.0,2012,1461cc,"55,540 miles",Diesel,Manual,WHITE,MPV,4X2,5.0,5.0,88 bhp,102 mph,13.3 seconds,110 g/km
nissan,Note,2795.0,2008,1598cc,"124,100 miles",Petrol,Automatic,Blue,MPV,4X2,5.0,5.0,109 bhp,108 mph,11.7 seconds,159 g/km
nissan,Qashqai,6490.0,2015,1461cc,"132,561 miles",Diesel,Manual,BLUE,Hatchback,4X2,5.0,5.0,109 bhp,113 mph,12.4 seconds,103 g/km
nissan,Micra,11000.0,2018,898cc,"12,000 miles",Petrol,Manual,BLUE,Hatchback,4X2,5.0,5.0,88 bhp,109 mph,,99 g/km
nissan,Juke,8689.0,2015,1197.0cc,"42,980 miles",Petrol,Manual,RED,Hatchback,4X2,5.0,5.0,114 bhp,111 mph,11.0 seconds,128 g/km
nissan,Micra,9199.0,2017,898cc,"37,122 miles",Petrol,,Black,Hatchback,4X2,5.0,5.0,88 bhp,109 mph,,99 g/km
nissan,Qashqai,17199.0,2019,1332cc,"27,437 miles",Petrol,,Blue,SUV,4X2,5.0,5.0,140 bhp,120 mph,10.9 seconds,130 g/km
