Make,Model,Price,Year,Engine Size,Mileage,Fuel Type,Transmission,Color,Body Type,Wheel Drive,Doors,Seats,Engine Power,Top Speed,Acceleration,CO2 Rating
seat,Ibiza,6299.0,2014,1197cc,"67,000 miles",Petrol,Manual,WHITE,Hatchback,4X2,3.0,5.0,103 bhp,118 mph,9.8 seconds,119 g/km
seat,Ibiza,8790.0,2016,1197cc,"37,875 miles",Petrol,Manual,WHITE,Hatchback,4X2,3.0,5.0,88 bhp,114 mph,10.7 seconds,116 g/km
seat,Alhambra,10890.0,2013,1968cc,"82,189 miles",Diesel,Automatic,WHITE,MPV,4X2,5.0,7.0,174 bhp,127 mph,9.6 seconds,154 g/km
seat,Ibiza,9964.0,2019,999cc,"41,573 miles",Petrol,Manual,GOLD,Hatchback,4X2,5.0,5.0,79 bhp,105 mph,14.7 seconds,112 g/km
seat,Mii,5395.0,2013,999cc,"27,703 miles",Petrol,Manual,BLACK,Hatchback,4X2,3.0,4.0,74 bhp,106 mph,13.2 seconds,108 g/km
seat,Ateca,13750.0,2019,1598cc,"52,005 miles",Diesel,Automatic,BLACK,Hatchback,4X2,5.0,5.0,114 bhp,114 mph,11.5 seconds,128 g/km
seat,Tarraco,17950.0,2020,1498cc,"38,000 miles",Petrol,Manual,WHITE,Estate,4X2,5.0,7.0,147 bhp,125 mph,9.7 seconds,137 g/km
seat,Ibiza,9995.0,2018,999cc,"36,630 miles",Petrol,Manual,ORANGE,Hatchback,4X2,5.0,5.0,74 bhp,104 mph,14.7 seconds,112 g/km
seat,Arona,13799.0,2020,1L,"27,167 miles",Petrol,Semiauto,Red,SUV,4X2,5.0,5.0,114 bhp,113 mph,10.0 seconds,137 g/km
seat,Leon,26995.0,2023,2L,"1,001 miles",Petrol,Semiauto,Grey,Estate,4X2,5.0,5.0,188 bhp,145 mph,,152 g/km
seat,Ateca,32995.0,2023,2L,"1,001 miles",Petrol,Semiauto,Green,SUV,4X4,5.0,5.0,188 bhp,133 mph,,184 g/km
seat,Ateca,25850.0,2023,1.5L,"4,512 miles",Petrol,Manual,Grey,SUV,4X2,5.0,5.0,148 bhp,126 mph,,152 g/km
seat,Arona,16490.0,2021,1L,"7,829 miles",Petrol,Manual,Grey,SUV,4X2,5.0,5.0,109 bhp,118 mph,,121 g/km
seat,Arona,15895.0,2021,1L,"14,517 miles",Petrol,Manual,Grey,SUV,4X2,5.0,5.0,109 bhp,118 mph,,124 g/km
seat,Tarraco,30995.0,2023,2L,"9,088 miles",Diesel,Automatic,Green,SUV,4X2,5.0,7.0,147 bhp,122 mph,,147 g/km
seat,Arona,21995.0,2023,1L,31 miles,Petrol,Semiauto,Blue,SUV,4X2,5.0,5.0,109 bhp,118 mph,,138 g/km
seat,Ateca,25295.0,2023,1.5L,"5,478 miles",Petrol,Semiauto,White,SUV,4X2,5.0,5.0,148 bhp,126 mph,,153 g/km
seat,Tarraco,24520.0,2019,2L,"18,302 miles",Diesel,Automatic,Grey,SUV,4X4,5.0,7.0,147 bhp,123 mph,9.8 seconds,146 g/km
seat,Leon,21795.0,2020,2L,"30,350 miles",Petrol,Semiauto,Black,Estate,4X4,5.0,5.0,296 bhp,155 mph,5.2 seconds,161 g/km
seat,Ibiza,7295.0,2015,1.4L,"33,212 miles",Petrol,Manual,Red,Estate,4X2,5.0,5.0,84 bhp,110 mph,11.8 seconds,139 g/km
seat,Ateca,24999.0,2023,1.5L,"7,110 miles",Petrol,Manual,White,SUV,4X2,5.0,5.0,148 bhp,126 mph,,152 g/km
seat,Tarraco,24750.0,2020,1968cc,"23,000 miles",Diesel,Automatic,Silver,SUV,4X4,5.0,7.0,147 bhp,123 mph,9.8 seconds,146 g/km
seat,Leon,9750.0,2019,1598cc,"75,995 miles",Diesel,Manual,White,Hatchback,4X2,5.0,5.0,114 bhp,122 mph,9.8 seconds,111 g/km
seat,Leon,12150.0,2019,1598cc,"33,350 miles",Diesel,Manual,Purple,Hatchback,4X2,5.0,5.0,114 bhp,122 mph,9.8 seconds,111 g/km
