Make,Model,Price,Year,Engine Size,Mileage,Fuel Type,Transmission,Color,Body Type,Wheel Drive,Doors,Seats,Engine Power,Top Speed,Acceleration,CO2 Rating
skoda,Fabia,6990.0,2013,1197cc,"41,600 miles",Petrol,Automatic,BLUE,Estate,4X2,5.0,5.0,103 bhp,117 mph,10.2 seconds,124 g/km
skoda,Karoq,15450.0,2020,1498cc,"44,838 miles",Petrol,Automatic,BLUE,Estate,4X2,5.0,5.0,147 bhp,126 mph,9.0 seconds,120 g/km
skoda,Karoq,17399.0,2019,1498cc,"20,693 miles",Petrol,Automatic,GREEN,Estate,4X2,5.0,5.0,147 bhp,126 mph,9.0 seconds,123 g/km
skoda,Citigo,8450.0,2019,999cc,"29,000 miles",Petrol,Manual,YELLOW,Hatchback,4X2,5.0,4.0,59 bhp,100 mph,14.4 seconds,96 g/km
skoda,Kamiq,14899.0,2020,1L,"16,132 miles",Petrol,Manual,Blue,SUV,4X2,5.0,5.0,114 bhp,120 mph,9.9 seconds,136 g/km
skoda,Kamiq,16950.0,2020,1L,"15,498 miles",Petrol,Semiauto,Silver,SUV,4X2,5.0,5.0,114 bhp,119 mph,10.0 seconds,113 g/km
skoda,Kodiaq,27500.0,2022,1.5L,"17,899 miles",Petrol,Manual,Blue,SUV,4X2,5.0,7.0,147 bhp,128 mph,,158 g/km
skoda,Fabia,12850.0,2020,1L,"15,000 miles",Petrol,Manual,Black,Hatchback,4X2,5.0,5.0,94 bhp,115 mph,10.7 seconds,125 g/km
skoda,Fabia,17450.0,2023,1L,"3,871 miles",Petrol,Manual,Blue,Hatchback,4X2,5.0,5.0,109 bhp,126 mph,,116 g/km
skoda,Superb,22980.0,2022,1.5L,"3,496 miles",Petrol,Semiauto,Black,Hatchback,4X2,5.0,5.0,147 bhp,137 mph,,141 g/km
skoda,Karoq,26750.0,2023,1.5L,"8,142 miles",Petrol,Automatic,Silver,SUV,4X2,5.0,5.0,147 bhp,130 mph,,148 g/km
skoda,Karoq,20990.0,2023,1L,"8,088 miles",Petrol,Manual,Blue,SUV,4X2,5.0,5.0,109 bhp,118 mph,,133 g/km
skoda,Fabia,12350.0,2020,1L,"18,367 miles",Petrol,Manual,Grey,Estate,4X2,5.0,5.0,109 bhp,123 mph,,106 g/km
skoda,Octavia,17395.0,2019,1.5L,"29,481 miles",Petrol,Semiauto,Grey,Estate,4X2,5.0,5.0,147 bhp,132 mph,8.8 seconds,118 g/km
skoda,Karoq,19995.0,2020,150cc,"15,071 miles",Petrol,Manual,Petrol Blue,Estate,4X2,5.0,5.0,147 bhp,126 mph,8.9 seconds,123 g/km
skoda,Octavia,2500.0,2010,1984cc,"140,300 miles",Petrol,Manual,Red,Hatchback,4X2,5.0,5.0,197 bhp,149 mph,7.3 seconds,175 g/km
skoda,Karoq,14995.0,2019,1.5L,"28,604 miles",Petrol,Manual,White,SUV,4X2,5.0,5.0,147 bhp,126 mph,8.9 seconds,124 g/km
skoda,Scala,14890.0,2020,1L,"13,522 miles",Petrol,Manual,Grey,Hatchback,4X2,5.0,5.0,114 bhp,125 mph,9.8 seconds,129 g/km
skoda,Scala,18991.0,2023,1.5L,"4,623 miles",Petrol,Manual,Blue,Hatchback,4X2,5.0,5.0,147 bhp,137 mph,,132 g/km
skoda,Kamiq,17491.0,2022,1L,"2,700 miles",Petrol,Manual,Blue,SUV,4X2,5.0,5.0,109 bhp,123 mph,,123 g/km
skoda,Kamiq,15391.0,2022,1L,"7,346 miles",Petrol,Manual,Black,SUV,4X2,5.0,5.0,94 bhp,117 mph,,123 g/km
skoda,Kamiq,18999.0,2021,1L,"11,892 miles",Petrol,Manual,White,SUV,4X2,5.0,5.0,109 bhp,123 mph,,129 g/km
skoda,Fabia,12500.0,2019,1L,"19,382 miles",Petrol,Manual,Silver,Hatchback,4X2,5.0,5.0,94 bhp,114 mph,10.7 seconds,106 g/km
skoda,Kamiq,12800.0,2021,1L,"25,356 miles",Petrol,Manual,White,SUV,4X2,5.0,5.0,94 bhp,113 mph,,128 g/km
skoda,Octavia,1750.0,2006,2000cc,"153,133 miles",Petrol,Manual,Black,Hatchback,4X2,5.0,5.0,200 bhp,149 mph,7.3 seconds,187 g/km
skoda,Octavia,12999.0,2020,1.5L,"51,537 miles",Petrol,Manual,Grey,Hatchback,4X2,5.0,5.0,147 bhp,142 mph,,127 g/km
skoda,Octavia,21499.0,2020,2L,"30,225 miles",Petrol,Semiauto,Grey,Estate,4X2,5.0,5.0,241 bhp,151 mph,,144 g/km
skoda,Citigo,7800.0,2019,1L,"31,298 miles",Petrol,Manual,Blue,Hatchback,4X2,3.0,4.0,59 bhp,100 mph,14.4 seconds,96 g/km
skoda,Fabia,8790.0,2018,1000cc,"46,943 miles",Petrol,Manual,White,Hatchback,4X2,5.0,5.0,74 bhp,107 mph,,111 g/km
skoda,Fabia,11990.0,2020,1000cc,"4,011 miles",Petrol,Manual,Silver,Hatchback,4X2,5.0,5.0,94 bhp,115 mph,10.7 seconds,124 g/km
skoda,Fabia,8990.0,2019,1000cc,"55,238 miles",Petrol,Manual,Brill Silver,Hatchback,4X2,5.0,5.0,74 bhp,104 mph,14.9 seconds,111 g/km
skoda,Fabia,11290.0,2020,1000cc,"33,125 miles",Petrol,Manual,Blue,Hatchback,4X2,5.0,5.0,59 bhp,98 mph,16.4 seconds,110 g/km
skoda,Octavia,16490.0,2020,1000cc,"20,080 miles",Petrol,Manual,Brilliant Silver,Estate,4X2,5.0,5.0,114 bhp,123 mph,10.1 seconds,114 g/km
skoda,Kodiaq,19990.0,2020,2000cc,"83,589 miles",Diesel,Automatic,Grey,Hatchback,4X2,5.0,7.0,147 bhp,123 mph,,156 g/km
skoda,Superb,14990.0,2016,2000cc,"68,588 miles",Diesel,Automatic,Silver,Estate,4X2,5.0,5.0,188 bhp,145 mph,7.8 seconds,120 g/km
skoda,Fabia,10795.0,2019,999cc,"12,000 miles",Petrol,Manual,Blue,Hatchback,4X2,5.0,5.0,74 bhp,104 mph,14.9 seconds,111 g/km
skoda,Octavia,3290.0,2012,1968cc,"111,000 miles",Diesel,Manual,BLUE,Hatchback,4X2,5.0,5.0,138 bhp,131 mph,9.5 seconds,126 g/km
skoda,Fabia,18349.0,2022,999cc,565 miles,Petrol,,Blue,Hatchback,4X2,5.0,5.0,109 bhp,126 mph,,117 g/km
skoda,Kodiaq,17949.0,2017,1395cc,"61,814 miles",Petrol,,Blue,SUV,4X4,5.0,7.0,147 bhp,121 mph,,156 g/km
skoda,Fabia,12150.0,2019,999cc,"7,031 miles",Petrol,Manual,White,Hatchback,,,,,,,
skoda,Karoq,19299.0,2021,1598cc,"42,009 miles",Diesel,Automatic,Grey,Estate,,,,,,,
skoda,Octavia,12399.0,2020,1498cc,"49,140 miles",Petrol,Manual,Blue,Hatchback,,,,,,,
skoda,Yeti Outdoor,12123.0,2014,1197cc,"39,028 miles",Petrol,Automatic,Silver,Estate,,,,,,,
skoda,Octavia,22495.0,2021,1.5L,"17,398 miles",Hybrid,Semiauto,Blue,Estate,,,,,,,
skoda,Fabia,10795.0,2020,1L,"38,015 miles",Petrol,Manual,Black,Hatchback,,,,,,,
skoda,Scala,14995.0,2020,1.5L,"18,111 miles",Petrol,Manual,White,Hatchback,,,,,,,
skoda,Fabia,8990.0,2018,1L,"44,767 miles",Petrol,Manual,Green,Hatchback,,,,,,,
skoda,Karoq,23000.0,2023,2L,"5,158 miles",Diesel,Manual,Grey,SUV,,,,,,,
skoda,Karoq,22894.0,2023,1.5L,"2,965 miles",Petrol,Manual,White,SUV,,,,,,,
skoda,Karoq,24872.0,2023,1.5L,"6,506 miles",Petrol,Manual,White,SUV,,,,,,,
skoda,Kamiq,14995.0,2020,1L,"32,556 miles",Petrol,Manual,Blue,SUV,4X2,5.0,5.0,114 bhp,120 mph,,135 g/km
skoda,Karoq,30450.0,2022,2L,"2,014 miles",Petrol,Automatic,White,SUV,4X4,5.0,5.0,188 bhp,137 mph,,173 g/km
skoda,Karoq,14750.0,2019,2L,"89,850 miles",Diesel,Manual,Red,SUV,4X4,5.0,5.0,147 bhp,121 mph,8.9 seconds,134 g/km
skoda,Citigo,6742.0,2016,1L,"58,291 miles",Petrol,Manual,Blue,Hatchback,4X2,5.0,4.0,74 bhp,107 mph,,96 g/km
