Make,Model,Price,Year,Engine Size,Mileage,Fuel Type,Transmission,Color,Body Type,Wheel Drive,Doors,Seats,Engine Power,Top Speed,Acceleration,CO2 Rating
ssangyong,Tivoli,23495.0,2023,1.5L,5 miles,Petrol,Manual,Silver,SUV,4X2,5.0,5.0,161 bhp,112 mph,,161 g/km
ssangyong,Musso,35700.0,2022,2157cc,"17,137 miles",Diesel,Automatic,GREY,Other,4X4,,,178 bhp,107 mph,,236 g/km
ssangyong,Musso,32495.0,2023,2157cc,"8,905 miles",Diesel,Automatic,GREY,Other,4X4,,,178 bhp,107 mph,,236 g/km
ssangyong,Musso,20399.0,2018,2157cc,"60,800 miles",Diesel,Automatic,WHITE,Other,4X4,4.0,,178 bhp,115 mph,,226 g/km
ssangyong,Tivoli,24354.0,2023,1500cc,5 miles,Petrol,Manual,BLACK,Other,4X2,5.0,5.0,161 bhp,112 mph,,161 g/km
ssangyong,Tivoli,15995.0,2021,1597cc,"9,198 miles",Diesel,Manual,Grey,Hatchback,4X2,5.0,5.0,134 bhp,108 mph,,146 g/km
ssangyong,Tivoli,20995.0,2023,1497cc,"2,608 miles",Petrol,Automatic,Red,Hatchback,4X2,5.0,5.0,161 bhp,109 mph,,175 g/km
ssangyong,Turismo,18750.0,2019,2157cc,"21,906 miles",Diesel,Automatic,Blue,MPV,4X4,5.0,7.0,174 bhp,116 mph,10.0 seconds,205 g/km
ssangyong,Korando,6495.0,2016,1998cc,"42,050 miles",Diesel,Manual,Blue,SUV,4X2,5.0,5.0,146 bhp,112 mph,10.0 seconds,147 g/km
ssangyong,Rodius,17249.0,2018,2157cc,"30,855 miles",Diesel,Automatic,BLACK,MPV,4X4,5.0,7.0,174 bhp,116 mph,10.0 seconds,210 g/km
ssangyong,Musso,40194.0,2023,600 miles,Diesel,Automatic,BLUE,Other,31.4 mpg,4X4,,,178 bhp,107 mph,,236 g/km
ssangyong,Tivoli,14700.0,2022,1200cc,"16,741 miles",Petrol,,Red,,4X2,5.0,5.0,126 bhp,112 mph,,158 g/km
ssangyong,Korando,30500.0,2023,1L,500 miles,Other,Automatic,Black,Hatchback,4X2,5.0,5.0,188 bhp,97 mph,,
ssangyong,Rexton,6400.0,2012,2.7L,"57,000 miles",Diesel,Automatic,THUNDER GREY,Estate,4X4,5.0,7.0,162 bhp,112 mph,13.2 seconds,250 g/km
ssangyong,Rexton,6400.0,2012,2.7L,"57,000 miles",Diesel,Automatic,THUNDER GREY,Estate,4X4,5.0,7.0,162 bhp,112 mph,13.2 seconds,250 g/km
ssangyong,Rexton,42499.0,2023,2.2L,500 miles,Diesel,Automatic,Grey,SUV,4X4,5.0,7.0,199 bhp,114 mph,,227 g/km
ssangyong,Korando,19490.0,2019,1597cc,"32,321 miles",Diesel,Automatic,Red,Estate,4X4,5.0,5.0,134 bhp,112 mph,12.0 seconds,170 g/km
