Make,Model,Price,Year,Engine Size,Mileage,Fuel Type,Transmission,Color,Body Type,Wheel Drive,Doors,Seats,Engine Power,Top Speed,Acceleration,CO2 Rating
subaru,XV,4595.0,2012,1998cc,"82,000 miles",Diesel,Manual,Silver,SUV,4X4,5.0,5.0,145 bhp,123 mph,8.9 seconds,146 g/km
subaru,Outback,23990.0,2021,2.5L,"42,250 miles",Petrol,Semiauto,Blue,Estate,,,,,,,
subaru,Forester,39900.0,2023,2L,"2,000 miles",Hybrid,Semiauto,Black,SUV,,,,,,,
subaru,BRZ,22497.0,2020,1998cc,"29,500 miles",Petrol,Manual,BLUE,Coupe,4X2,2.0,4.0,197 bhp,140 mph,,191 g/km
subaru,XV,29990.0,2023,2L,"4,000 miles",Hybrid,Semiauto,Blue,SUV,4X4,5.0,5.0,147 bhp,119 mph,,180 g/km
subaru,Outback,24990.0,2021,2.5L,"22,550 miles",Petrol,Semiauto,Blue,Estate,4X4,5.0,5.0,173 bhp,123 mph,10.2 seconds,193 g/km
subaru,Forester,9999.0,2016,2L,"88,868 miles",Diesel,Manual,Silver,SUV,4X4,5.0,5.0,145 bhp,118 mph,10.2 seconds,148 g/km
subaru,Legacy,8995.0,2007,2000cc,"45,611 miles",Petrol,Automatic,White,Estate,,,,,,,
subaru,Exiga,8995.0,2008,2000cc,"54,296 miles",Petrol,Automatic,Blue,Estate,,,,,,,
subaru,XV,24995.0,2022,1995cc,"14,098 miles",Petrol Hybrid,Automatic,Yellow,SUV,4X4,5.0,5.0,147 bhp,119 mph,,180 g/km
subaru,Forester,26995.0,2021,1995cc,"14,250 miles",Other,Automatic,Red,Estate,4X4,5.0,5.0,147 bhp,117 mph,,185 g/km
subaru,XV,7995.0,2014,1998cc,"67,000 miles",Diesel,Manual,Silver,Hatchback,4X4,5.0,5.0,145 bhp,123 mph,8.9 seconds,146 g/km
subaru,Legacy,12985.0,2008,0L,"82,642 miles",Petrol,Manual,Grey,Saloon,,,,,,,
subaru,Impreza,8795.0,2015,1.6L,"31,000 miles",Petrol,Manual,White,Hatchback,4X4,5.0,5.0,113 bhp,115 mph,12.3 seconds,147 g/km
subaru,Forester,21599.0,2021,2L,"48,107 miles",Hybrid,Semiauto,Green,SUV,4X4,5.0,5.0,147 bhp,117 mph,,185 g/km
subaru,Impreza,6250.0,2015,1.6L,"85,159 miles",Petrol,Manual,Blue,Hatchback,4X4,5.0,5.0,113 bhp,115 mph,13.1 seconds,147 g/km
subaru,Forester,7995.0,2007,2457cc,"61,000 miles",Petrol,Automatic,Grey,Other,4X4,5.0,5.0,226 bhp,132 mph,7.6 seconds,250 g/km
subaru,Impreza,3750.0,2008,1994cc,"91,000 miles",Petrol,Automatic,Silver,Hatchback,4X4,5.0,5.0,147 bhp,113 mph,11.6 seconds,194 g/km
