Make,Model,Price,Year,Engine Size,Mileage,Fuel Type,Transmission,Color,Body Type,Wheel Drive,Doors,Seats,Engine Power,Top Speed,Acceleration,CO2 Rating
suzuki,Vitara,10495.0,2015,1586cc,"53,491 miles",Petrol,Manual,TURQUOISE,Hatchback,4X2,5.0,5.0,118 bhp,112 mph,11.5 seconds,123 g/km
suzuki,Vitara,10950.0,2020,1373cc,"63,787 miles",Other,Manual,GREY,Hatchback,4X2,5.0,5.0,127 bhp,118 mph,,129 g/km
suzuki,Vitara,11499.0,2017,1.6L,"52,553 miles",Petrol,Manual,Other,SUV,4X2,5.0,5.0,118 bhp,112 mph,11.5 seconds,123 g/km
suzuki,SX4,16699.0,2021,1.4L,"24,197 miles",Hybrid,Semiauto,White,SUV,4X2,5.0,5.0,127 bhp,118 mph,,129 g/km
suzuki,Alto,4750.0,2011,1L,"65,000 miles",Petrol,Automatic,Brown,Hatchback,4X2,5.0,4.0,67 bhp,93 mph,17.0 seconds,122 g/km
suzuki,GSX-S1000GT 1 OWNER FROM NEW,10490.0,2023,999cc,143 miles,Petrol,Manual,Black,bike,,,,150 bhp,,,
suzuki,GSX-8S 1 OWNER FROM NEW,7190.0,2023,776cc,283 miles,Petrol,Manual,Blue,bike,Chain,,,82 bhp,,,
suzuki,SX4,8995.0,2017,1373cc,"103,800 miles",Petrol,Manual,Grey,Hatchback,4X4,5.0,5.0,138 bhp,124 mph,10.2 seconds,127 g/km
suzuki,Swift,9587.0,2020,1.2L,"24,223 miles",Hybrid,Manual,Silver,Hatchback,4X2,5.0,5.0,88 bhp,112 mph,,113 g/km
suzuki,SX4,3250.0,2008,1586cc,"49,500 miles",Petrol,Manual,Orange,Other,4X2,5.0,5.0,106 bhp,112 mph,10.8 seconds,165 g/km
suzuki,Swift,1795.0,2007,1328cc,"100,100 miles",Petrol,Manual,Grey,Hatchback,4X2,3.0,5.0,91 bhp,109 mph,,143 g/km
suzuki,Swift,5750.0,2012,1200cc,"67,422 miles",Petrol,Manual,White,Other,4X2,5.0,5.0,92 bhp,103 mph,11.9 seconds,116 g/km
suzuki,SX4,8490.0,2016,1586cc,"57,035 miles",Petrol,Manual,WHITE,Hatchback,4X2,5.0,5.0,118 bhp,112 mph,11.0 seconds,127 g/km
suzuki,Swift,10199.0,2019,998cc,"36,568 miles",Petrol,,Red,Hatchback,4X2,5.0,5.0,110 bhp,122 mph,10.6 seconds,98 g/km
suzuki,Vitara,15349.0,2020,1373cc,"29,653 miles",Petrol,,White,SUV,4X2,5.0,5.0,138 bhp,124 mph,,156 g/km
suzuki,Celerio,8049.0,2019,998cc,"22,644 miles",Petrol,,White,Hatchback,4X2,5.0,5.0,67 bhp,96 mph,13.5 seconds,89 g/km
suzuki,Vitara,14299.0,2018,1373cc,"48,121 miles",Petrol,,Red,SUV,4X4,5.0,5.0,138 bhp,125 mph,10.2 seconds,127 g/km
suzuki,Ignis,11499.0,2019,1242cc,"11,669 miles",Petrol,,Blue,SUV,4X2,5.0,4.0,88 bhp,105 mph,,107 g/km
suzuki,Vitara,13849.0,2019,1373cc,"17,596 miles",Petrol,,Grey,SUV,4X2,5.0,5.0,138 bhp,124 mph,9.5 seconds,131 g/km
suzuki,Vitara,12499.0,2016,1586cc,"38,300 miles",Petrol,Automatic,White,Hatchback,,,,,,,
suzuki,Vitara,15195.0,2018,1.6L,"7,245 miles",Petrol,Automatic,Grey,SUV,,,,,,,
suzuki,Ignis,12490.0,2021,1200cc,"22,000 miles",Petrol,Manual,Hatchback,55.4 mpg,4X2,5.0,4.0,82 bhp,103 mph,,
suzuki,Vitara,12995.0,2020,1.39L,"31,426 miles",Other,Manual,Grey,Hatchback,4X2,5.0,5.0,127 bhp,118 mph,,129 g/km
suzuki,Swift,10996.0,2020,1242cc,"22,476 miles",Petrol,Manual,Red,Hatchback,4X2,5.0,5.0,88 bhp,112 mph,,113 g/km
suzuki,Celerio,7193.0,2017,998cc,"35,725 miles",Petrol,Manual,Red,Hatchback,4X2,5.0,5.0,67 bhp,97 mph,13.5 seconds,99 g/km
suzuki,Vitara,14495.0,2017,1598cc,"35,000 miles",Diesel,Manual,White,Hatchback,4X4,5.0,5.0,118 bhp,112 mph,12.4 seconds,111 g/km
suzuki,SX4,6495.0,2013,1586cc,"28,105 miles",Petrol,Manual,Silver,Hatchback,4X2,5.0,5.0,118 bhp,115 mph,17.2 seconds,141 g/km
suzuki,GN250,1790.0,1991,249cc,"24,811 miles",Petrol,Manual,Multicolour,bike,,,,,,,
suzuki,Vitara,21500.0,2023,1373cc,8 miles,Petrol Hybrid,Manual,Atlantis Turquo,SUV,4X2,5.0,5.0,127 bhp,118 mph,,
suzuki,Baleno,7995.0,2018,1L,"27,780 miles",Petrol,Manual,White,Hatchback,4X2,5.0,5.0,110 bhp,125 mph,11.4 seconds,103 g/km
suzuki,Grand Vitara,6250.0,2011,1586cc,"37,000 miles",Petrol,Manual,Silver,SUV,4X4,3.0,4.0,105 bhp,99 mph,14.4 seconds,195 g/km
