Make,Model,Price,Year,Engine Size,Mileage,Fuel Type,Transmission,Color,Body Type,Wheel Drive,Doors,Seats,Engine Power,Top Speed,Acceleration,CO2 Rating
triumph,Bonneville LIMITED EDITION T214 NO. 385,5990.0,2015,865cc,"3,697 miles",Petrol,Manual,White,bike,,,,,,,
triumph,Tiger XCA 1 PREVIOUS OWNER,9490.0,2020,800cc,"3,472 miles",Petrol,Manual,White,bike,,,,94 bhp,,,
triumph,Tiger T100SS // 500cc // MATCHING NUMBERS // px swap,6490.0,1965,0.5L,"11,916 miles",Petrol,Automatic,Black,Bike,,,,,,,
triumph,Tiger XRX 1 PREVIOUS OWNER,6990.0,2018,800cc,"14,702 miles",Petrol,Manual,Blue,bike,,,,94 bhp,,,
triumph,Street Cup,5490.0,2017,900cc,"12,728 miles",Petrol,Manual,Black,bike,,,,,,,
triumph,Stag,13000.0,1977,2997cc,"88,409 miles",Petrol,Automatic,Red,Convertible,4X2,2.0,,146 bhp,,,
triumph,Tiger XCA 1 OWNER FROM NEW,8090.0,2019,800cc,"12,918 miles",Petrol,Manual,Red,bike,,,,94 bhp,,,
triumph,Explorer FULL LUGGAGE,6790.0,2016,1215cc,"19,245 miles",Petrol,Manual,Black,bike,,,,,,,
triumph,Trophy FULL LUGGAGE,1390.0,1997,1180cc,"36,617 miles",Petrol,Manual,Green,bike,,,,,,,
triumph,Explorer XCA 1 PREVIOUS OWNER,8990.0,2017,1215cc,"3,573 miles",Petrol,Manual,Blue,bike,,,,139 bhp,,,
triumph,Sprint ST 955 FULL LUGGAGE,2490.0,2004,955cc,"20,992 miles",Petrol,Manual,Silver,bike,,,,,,,
triumph,Tiger PANNIERS INCLUDED,6190.0,2016,800cc,"26,379 miles",Petrol,Manual,White,bike,,,,,,,
triumph,Legend,4990.0,1999,885cc,"10,364 miles",Petrol,Manual,Green,Custom,,,,,,,
triumph,Sprint ST 955 PANNIERS,2690.0,1999,955cc,"16,109 miles",Petrol,Manual,Black,bike,,,,,,,
triumph,Trident 1 PREVIOUS OWNER,5990.0,2022,660cc,"3,742 miles",Petrol,Manual,Black,Naked,,,,80 bhp,,,
triumph,Thruxton 1200,6790.0,2016,1200cc,"8,987 miles",Petrol,Manual,White,bike,,,,,,,
triumph,955 Daytona,2690.0,2000,955cc,"13,876 miles",Petrol,Manual,Yellow,bike,,,,,,,
triumph,TR3,28995.0,1959,1991cc,"72,000 miles",Petrol,Manual,White,Other,4X2,2.0,,,,,0 g/km
triumph,Scrambler 900 1 PREVIOUS OWNER,3790.0,2006,865cc,"19,470 miles",Petrol,Manual,Multicolour,bike,,,,,,,
triumph,Daytona 600,2990.0,2004,599cc,"24,642 miles",Petrol,Manual,Red,bike,,,,,,,
triumph,Street Triple Naked,8200.0,2020,765cc,"5,800 miles",Other,Other,Silver,Bike,,,,121 bhp,,,
triumph,Tiger Adventure,8500.0,2017,1200cc,"17,500 miles",Other,Other,Red,Bike,,,,139 bhp,,,
triumph,Street Triple RS MOTO 2 INSPIRED TRACK BIKE,11490.0,2017,765cc,"11,715 miles",Petrol,Manual,Grey,bike,,,,121 bhp,,,
triumph,Speed Triple,4190.0,2004,1050cc,"11,911 miles",Petrol,Manual,Yellow,Naked,,,,,,,
triumph,Street Twin,5990.0,2016,900cc,"5,152 miles",Petrol,Manual,Black,bike,,,,,,,
triumph,Explorer,4990.0,2012,1215cc,"35,568 miles",Petrol,Manual,Blue,bike,,,,,,,
triumph,TT600,2490.0,2001,599cc,"17,905 miles",Petrol,Manual,Silver,bike,,,,,,,
triumph,America,4290.0,2007,865cc,"20,977 miles",Petrol,Manual,Black,bike,,,,,,,
triumph,Speed Triple,3990.0,2006,1050cc,"19,552 miles",Petrol,Manual,White,bike,,,,,,,
triumph,Tiger SPORT,7490.0,2016,1050cc,"5,906 miles",Petrol,Manual,Silver,bike,,,,,,,
triumph,Tiger,2090.0,2002,955cc,"39,222 miles",Petrol,Manual,Silver,bike,,,,,,,
triumph,Thunderbird 900,4390.0,2000,885cc,"15,013 miles",Petrol,Manual,Silver,bike,,,,,,,
triumph,Stag,16995.0,1971,2997cc,"21,000 miles",Petrol,Automatic,White,Coupe,4X2,2.0,,146 bhp,,,0 g/km
