Make,Model,Price,Year,Engine Size,Mileage,Fuel Type,Transmission,Color,Body Type,Wheel Drive,Doors,Seats,Engine Power,Top Speed,Acceleration,CO2 Rating
volvo,V60,11795.0,2016,1969cc,"78,948 miles",Diesel,Automatic,BLUE,Estate,4X2,5.0,5.0,147 bhp,130 mph,9.1 seconds,111 g/km
volvo,XC90,36580.0,2019,1969cc,"51,020 miles",Diesel,Automatic,BLACK,Estate,4X4,5.0,7.0,231 bhp,137 mph,7.6 seconds,156 g/km
volvo,XC60,16995.0,2017,1969cc,"22,373 miles",Diesel,Automatic,GREY,Estate,4X2,5.0,5.0,188 bhp,130 mph,8.1 seconds,124 g/km
volvo,XC60,28490.0,2018,2L,"22,687 miles",Petrol,Semiauto,Black,SUV,4X4,5.0,5.0,246 bhp,137 mph,6.8 seconds,169 g/km
volvo,XC60,53490.0,2023,2L,"5,500 miles",Hybrid,Semiauto,Grey,SUV,4X4,5.0,5.0,247 bhp,112 mph,,196 g/km
volvo,XC40,26490.0,2020,1.5L,"32,754 miles",Hybrid,Semiauto,Black,SUV,4X2,5.0,5.0,257 bhp,112 mph,,48 g/km
volvo,XC40,45990.0,2023,1.5L,700 miles,Hybrid,Semiauto,Black,SUV,4X2,5.0,5.0,257 bhp,112 mph,,49 g/km
volvo,XC40,23990.0,2020,2L,"34,771 miles",Diesel,Semiauto,Black,SUV,4X2,5.0,5.0,147 bhp,124 mph,10.2 seconds,131 g/km
volvo,V60,23890.0,2020,2L,"22,625 miles",Hybrid,Semiauto,Black,Estate,4X2,5.0,5.0,161 bhp,112 mph,,155 g/km
volvo,XC60,45499.0,2023,2L,"4,000 miles",Hybrid,Semiauto,Black,SUV,4X4,5.0,5.0,247 bhp,112 mph,,182 g/km
volvo,S60,39999.0,2023,2L,"5,000 miles",Hybrid,Automatic,Grey,Saloon,4X4,4.0,5.0,247 bhp,112 mph,,163 g/km
volvo,V40,16990.0,2017,1.5L,"9,139 miles",Petrol,Semiauto,Silver,Hatchback,4X2,5.0,5.0,150 bhp,130 mph,8.5 seconds,131 g/km
volvo,XC40,34490.0,2023,2L,691 miles,Hybrid,Semiauto,Grey,SUV,4X2,5.0,5.0,161 bhp,112 mph,,152 g/km
volvo,XC40,34390.0,2023,2L,"2,077 miles",Hybrid,Semiauto,Grey,SUV,4X2,5.0,5.0,161 bhp,112 mph,,152 g/km
volvo,XC40,34490.0,2023,2L,"2,077 miles",Hybrid,Semiauto,Black,SUV,4X2,5.0,5.0,161 bhp,112 mph,,152 g/km
volvo,XC40,34390.0,2023,2L,"2,077 miles",Hybrid,Semiauto,Black,SUV,4X2,5.0,5.0,161 bhp,112 mph,,152 g/km
volvo,XC40,34390.0,2023,2L,"2,077 miles",Hybrid,Semiauto,Black,SUV,4X2,5.0,5.0,161 bhp,112 mph,,152 g/km
volvo,XC40,34490.0,2023,2L,"2,077 miles",Hybrid,Semiauto,Black,SUV,4X2,5.0,5.0,161 bhp,112 mph,,152 g/km
volvo,XC40,34390.0,2023,2L,961 miles,Hybrid,Semiauto,Grey,SUV,4X2,5.0,5.0,161 bhp,112 mph,,152 g/km
volvo,XC70,16190.0,2015,2.4L,"87,728 miles",Diesel,Semiauto,White,SUV,4X4,5.0,5.0,217 bhp,130 mph,8.2 seconds,153 g/km
volvo,XC40,34770.0,2023,2L,"4,115 miles",Hybrid,Semiauto,Other,SUV,4X2,5.0,5.0,161 bhp,112 mph,,152 g/km
volvo,V90,19995.0,2018,1969cc,"41,203 miles",Diesel,Automatic,White,Estate,,,,,,,
volvo,V40,12280.0,2017,1.5L,"65,406 miles",Petrol,Semiauto,Blue,Hatchback,4X2,5.0,5.0,150 bhp,130 mph,8.5 seconds,131 g/km
volvo,XC40,35458.0,2023,2L,"13,144 miles",Hybrid,Semiauto,Black,SUV,4X4,5.0,5.0,194 bhp,112 mph,,160 g/km
volvo,XC60,49989.0,2022,2L,"9,116 miles",Hybrid,Semiauto,Black,SUV,4X4,5.0,5.0,247 bhp,112 mph,,196 g/km
volvo,XC60,43990.0,2023,2L,"5,858 miles",Diesel,Semiauto,Blue,SUV,4X4,5.0,5.0,194 bhp,112 mph,,167 g/km
volvo,XC40,26117.0,2020,1969cc,"21,531 miles",Hybrid,Automatic,Blue,Other,4X2,5.0,5.0,194 bhp,112 mph,,163 g/km
volvo,V40,6995.0,2014,1969cc,"117,000 miles",Diesel,Manual,White,Hatchback,4X2,5.0,5.0,188 bhp,143 mph,7.4 seconds,99 g/km
volvo,XC60,27350.0,2019,2L,"25,435 miles",Diesel,Semiauto,Blue,SUV,4X4,5.0,5.0,188 bhp,127 mph,8.4 seconds,144 g/km
volvo,V60,25000.0,2020,2L,"19,578 miles",Petrol,Semiauto,Grey,Estate,4X2,5.0,5.0,188 bhp,137 mph,7.2 seconds,173 g/km
volvo,V90,35990.0,2023,2L,"6,018 miles",Hybrid,Semiauto,Blue,Estate,4X2,5.0,5.0,194 bhp,112 mph,,159 g/km
volvo,V90,46490.0,2023,2L,"2,015 miles",Hybrid,Semiauto,White,Estate,4X2,5.0,5.0,247 bhp,112 mph,,163 g/km
volvo,V60,34990.0,2023,2L,"6,875 miles",Hybrid,Semiauto,Grey,Estate,4X2,5.0,5.0,161 bhp,112 mph,,142 g/km
volvo,XC60,51490.0,2023,2L,"4,275 miles",Hybrid,Semiauto,Blue,SUV,4X4,5.0,5.0,247 bhp,112 mph,,190 g/km
volvo,S90,43990.0,2023,2L,"1,112 miles",Hybrid,Semiauto,Blue,Saloon,4X4,4.0,5.0,306 bhp,112 mph,,18 g/km
volvo,XC40,24490.0,2020,1.5L,"21,024 miles",Petrol,Manual,Blue,SUV,4X2,5.0,5.0,161 bhp,112 mph,,159 g/km
volvo,S80,3491.0,2008,2400cc,"162,800 miles",Diesel,Manual,Grey,Saloon,4X2,4.0,5.0,161 bhp,130 mph,9.0 seconds,167 g/km
volvo,XC60,11779.0,2016,2000cc,"89,700 miles",Diesel,Manual,Onyx Black,SUV,4X2,5.0,5.0,188 bhp,130 mph,8.1 seconds,117 g/km
volvo,XC60,29657.0,2019,2L,"27,500 miles",Diesel,Semiauto,Blue,SUV,4X4,5.0,5.0,188 bhp,127 mph,8.4 seconds,153 g/km
volvo,XC90,64210.0,2023,2L,"10,000 miles",Hybrid,Semiauto,Grey,SUV,4X4,5.0,7.0,306 bhp,112 mph,,32 g/km
volvo,XC40,39870.0,2023,1.5L,"6,000 miles",Hybrid,Semiauto,Other,SUV,4X2,5.0,5.0,257 bhp,112 mph,,49 g/km
volvo,V60,29857.0,2023,2L,"9,680 miles",Hybrid,Semiauto,Red,Estate,4X2,5.0,5.0,161 bhp,112 mph,,141 g/km
volvo,XC60,29340.0,2018,2L,"53,873 miles",Hybrid,Semiauto,Silver,SUV,4X4,5.0,5.0,385 bhp,140 mph,5.5 seconds,55 g/km
volvo,XC60,31960.0,2019,2L,"28,775 miles",Diesel,Semiauto,Other,SUV,4X4,5.0,5.0,188 bhp,127 mph,8.4 seconds,148 g/km
volvo,XC60,31775.0,2020,2L,"30,810 miles",Petrol,Semiauto,Grey,SUV,4X4,5.0,5.0,246 bhp,137 mph,6.8 seconds,178 g/km
volvo,XC90,34750.0,2020,1969cc,"47,806 miles",Other,Automatic,Grey,SUV,4X4,5.0,7.0,231 bhp,137 mph,7.6 seconds,176 g/km
volvo,XC70,4995.0,2007,2401cc,"119,330 miles",Diesel,Automatic,Black,Estate,4X4,5.0,5.0,182 bhp,127 mph,9.5 seconds,224 g/km
volvo,XC60,17995.0,2015,2400cc,"52,000 miles",Diesel,Automatic,Black Sapphire,Estate,4X4,5.0,5.0,217 bhp,130 mph,8.2 seconds,149 g/km
volvo,XC90,13799.0,2012,2400cc,"62,000 miles",Diesel,Automatic,GREY,Estate,4X4,5.0,7.0,197 bhp,127 mph,10.3 seconds,215 g/km
volvo,XC40,23049.0,2019,1969cc,"41,136 miles",Diesel,,Grey,SUV,4X2,5.0,5.0,147 bhp,124 mph,9.9 seconds,128 g/km
volvo,XC60,19649.0,2017,2400cc,"52,256 miles",Diesel,,Grey,SUV,4X4,5.0,5.0,217 bhp,130 mph,8.2 seconds,149 g/km
volvo,V60,18499.0,2019,1969cc,"56,716 miles",Diesel,,Silver,Estate,4X2,5.0,5.0,188 bhp,137 mph,7.9 seconds,119 g/km
volvo,V40,15399.0,2019,1498cc,"44,873 miles",Petrol,,Black,Hatchback,4X2,5.0,5.0,150 bhp,130 mph,8.3 seconds,136 g/km
volvo,XC90,70999.0,2023,2L,"5,000 miles",Hybrid,Semiauto,Black,SUV,,,,,,,
volvo,XC40,33790.0,2023,2L,"2,932 miles",Hybrid,Semiauto,Silver,SUV,4X2,5.0,5.0,161 bhp,112 mph,,152 g/km
volvo,V60,24980.0,2021,2L,"44,845 miles",Hybrid,Semiauto,Grey,Estate,4X2,5.0,5.0,194 bhp,112 mph,,157 g/km
volvo,XC90,46980.0,2020,2L,"27,561 miles",Hybrid,Semiauto,Silver,SUV,4X4,5.0,7.0,385 bhp,112 mph,,69 g/km
volvo,V60,18980.0,2019,2L,"34,011 miles",Diesel,Manual,Silver,Estate,4X2,5.0,5.0,147 bhp,127 mph,9.9 seconds,117 g/km
volvo,XC60,29795.0,2020,2L,"30,504 miles",Hybrid,Semiauto,White,SUV,4X4,5.0,5.0,247 bhp,112 mph,,179 g/km
volvo,C30,4995.0,2012,1999cc,"73,000 miles",Petrol,Manual,Silver,Hatchback,4X2,3.0,4.0,143 bhp,130 mph,9.4 seconds,177 g/km
volvo,XC40,25399.0,2020,1.5L,"47,000 miles",Other,Automatic,Silver,Estate,4X2,5.0,5.0,257 bhp,112 mph,,49 g/km
volvo,XC90,53000.0,2021,1969cc,"12,500 miles",Petrol Plug-in Hybrid,Automatic,Black,SUV,4X4,5.0,7.0,306 bhp,112 mph,,31 g/km
volvo,V60,15000.0,2019,1969cc,"98,330 miles",Diesel,Automatic,Grey,Estate,4X2,5.0,5.0,147 bhp,127 mph,9.9 seconds,123 g/km
volvo,XC40,22950.0,2020,1477cc,"52,872 miles",Petrol,Automatic,Grey,SUV,4X2,5.0,5.0,161 bhp,112 mph,,166 g/km
volvo,XC40,26450.0,2020,1477cc,"12,542 miles",Petrol,Automatic,White,SUV,4X2,5.0,5.0,161 bhp,112 mph,,166 g/km
volvo,XC40,22750.0,2018,1969cc,"38,540 miles",Petrol,Automatic,Blue,SUV,4X4,5.0,5.0,188 bhp,130 mph,8.5 seconds,161 g/km
volvo,XC40,18800.0,2018,1477cc,"23,917 miles",Petrol,Manual,White,SUV,4X2,5.0,5.0,154 bhp,124 mph,9.4 seconds,144 g/km
volvo,XC60,13880.0,2016,2.4L,"92,586 miles",Diesel,Semiauto,Black,SUV,4X4,5.0,5.0,217 bhp,130 mph,8.2 seconds,149 g/km
volvo,V90,22800.0,2019,2L,"27,966 miles",Diesel,Semiauto,Black,Estate,4X2,5.0,5.0,188 bhp,137 mph,,127 g/km
volvo,XC60,18946.0,2016,2L,"35,250 miles",Diesel,Semiauto,White,SUV,4X2,5.0,5.0,188 bhp,130 mph,8.1 seconds,124 g/km
volvo,V60,19999.0,2019,2L,"42,174 miles",Diesel,Manual,Blue,Estate,4X2,5.0,5.0,188 bhp,137 mph,7.9 seconds,119 g/km
volvo,XC40,28495.0,2019,1969cc,"26,925 miles",Petrol,Automatic,Onyx Black,SUV,4X4,5.0,5.0,244 bhp,140 mph,6.5 seconds,164 g/km
volvo,V90,20929.0,2020,1969cc,"51,428 miles",Hybrid,Automatic,Black,Estate,4X2,5.0,5.0,194 bhp,112 mph,,149 g/km
