Make,Model,Price,Year,Engine Size,Mileage,Fuel Type,Transmission,Color,Body Type,Wheel Drive,Doors,Seats,Engine Power,Top Speed,Acceleration,CO2 Rating
Seat,Ibiza,"14,500",2020,1L,"25,000 miles",Petrol,Manual,Silver,Hatchback,4X2,5,5,114 bhp,121 mph,9.3 seconds,107 g/km
Mercedes-Benz,A Class,"16,270",2019,1.3L,"29,910 miles",Petrol,Manual,White,Hatchback,4X2,5,5,134 bhp,134 mph,9.2 seconds,126 g/km
Honda,HRV,"17,970",2020,1.5L,"35,263 miles",Petrol,Automatic,Black,Hatchback,4X2,5,5,129 bhp,116 mph,10.9 seconds,153 g/km
Ford,Focus,"10,940",2019,1.5L,"56,910 miles",Diesel,Manual,Black,Hatchback,4X2,5,5,94 bhp,114 mph,11.4 seconds,91 g/km
Honda,HRV,"14,940",2017,1.5L,"24,969 miles",Petrol,Manual,Silver,Hatchback,4X2,5,5,129 bhp,119 mph,10.7 seconds,134 g/km
Audi,Q2,"16,270",2020,1L,"72,610 miles",Petrol,Manual,Grey,Other,4X2,5,5,114 bhp,122 mph,10.1 seconds,141 g/km
Ford,Fiesta,"12,570",2019,1L,"32,940 miles",Petrol,Automatic,Blue,Hatchback,4X2,5,5,98 bhp,111 mph,12.4 seconds,125 g/km
Skoda,Superb,"13,740",2019,1.5L,"68,956 miles",Petrol,Automatic,Grey,Hatchback,4X2,5,5,147 bhp,134 mph,8.9 seconds,123 g/km
Citroen,C3,"7,970",2019,1.2L,"76,542 miles",Petrol,Manual,Grey,Hatchback,4X2,5,5,81 bhp,105 mph,13.2 seconds,109 g/km
Mercedes-Benz,A Class,"13,470",2016,1.6L,"39,163 miles",Petrol,Manual,White,Hatchback,4X2,5,5,121 bhp,126 mph,8.9 seconds,131 g/km
Audi,A3,"16,940",2020,2L,"43,034 miles",Diesel,Manual,Black,Hatchback,4X2,5,5,115 bhp,128 mph,,112 g/km
Kia,Ceed,"9,770",2019,1.6L,"69,569 miles",Diesel,Manual,White,Hatchback,4X2,5,5,114 bhp,118 mph,10.6 seconds,99 g/km
Ford,Focus,"11,570",2019,1.5L,"73,481 miles",Petrol,Manual,White,Estate,4X2,5,5,147 bhp,129 mph,9.0 seconds,125 g/km
BMW,3 Series,"12,420",2018,2L,"94,364 miles",Other,Automatic,Grey,Saloon,4X2,4,5,181 bhp,140 mph,6.1 seconds,45 g/km
Audi,A3,"16,970",2017,2L,"43,021 miles",Diesel,Automatic,Grey,Hatchback,4X2,5,5,147 bhp,135 mph,,116 g/km
Mercedes-Benz,C Class,"13,490",2017,2.1L,"98,148 miles",Diesel,Automatic,Silver,Saloon,4X2,4,5,168 bhp,146 mph,,117 g/km
Volkswagen,Tiguan,"14,420",2017,2L,"91,635 miles",Diesel,Automatic,Blue,Estate,4X2,5,5,147 bhp,125 mph,9.3 seconds,129 g/km
